frequency,attack,chord,free,suction,scaled
800,0.0,0.3048,71.3,0.00266337,126.201
1000,0.0,0.3048,71.3,0.00266337,125.201
1250,0.0,0.3048,71.3,0.00266337,125.951
1600,0.0,0.3048,71.3,0.00266337,127.591
2000,0.0,0.3048,71.3,0.00266337,127.461
2500,0.0,0.3048,71.3,0.00266337,125.571
3150,0.0,0.3048,71.3,0.00266337,125.201
4000,0.0,0.3048,71.3,0.00266337,123.061
8000,0.0,0.3048,71.3,0.00266337,117.151
10000,0.0,0.3048,71.3,0.00266337,115.391
12500,0.0,0.3048,71.3,0.00266337,112.241
16000,0.0,0.3048,71.3,0.00266337,108.721
500,0.0,0.3048,55.5,0.00283081,126.416
630,0.0,0.3048,55.5,0.00283081,127.696
800,0.0,0.3048,55.5,0.00283081,128.086
1000,0.0,0.3048,55.5,0.00283081,126.966
1250,0.0,0.3048,55.5,0.00283081,126.086
2000,0.0,0.3048,55.5,0.00283081,126.616
2500,0.0,0.3048,55.5,0.00283081,124.106
3150,0.0,0.3048,55.5,0.00283081,123.236
4000,0.0,0.3048,55.5,0.00283081,121.106
5000,0.0,0.3048,55.5,0.00283081,119.606
6300,0.0,0.3048,55.5,0.00283081,117.976
8000,0.0,0.3048,55.5,0.00283081,116.476
10000,0.0,0.3048,55.5,0.00283081,113.076
12500,0.0,0.3048,55.5,0.00283081,111.076
200,0.0,0.3048,39.6,0.00310138,118.129
250,0.0,0.3048,39.6,0.00310138,119.319
400,0.0,0.3048,39.6,0.00310138,124.809
500,0.0,0.3048,39.6,0.00310138,126.959
800,0.0,0.3048,39.6,0.00310138,129.099
1000,0.0,0.3048,39.6,0.00310138,127.899
1250,0.0,0.3048,39.6,0.00310138,125.499
1600,0.0,0.3048,39.6,0.00310138,124.049
2500,0.0,0.3048,39.6,0.00310138,121.399
3150,0.0,0.3048,39.6,0.00310138,120.319
4000,0.0,0.3048,39.6,0.00310138,119.229
8000,0.0,0.3048,39.6,0.00310138,114.779
10000,0.0,0.3048,39.6,0.00310138,112.139
12500,0.0,0.3048,39.6,0.00310138,109.619
200,0.0,0.3048,31.7,0.00331266,117.195
315,0.0,0.3048,31.7,0.00331266,122.765
500,0.0,0.3048,31.7,0.00331266,127.315
630,0.0,0.3048,31.7,0.00331266,129.095
800,0.0,0.3048,31.7,0.00331266,129.235
1000,0.0,0.3048,31.7,0.00331266,127.365
1250,0.0,0.3048,31.7,0.00331266,124.355
2000,0.0,0.3048,31.7,0.00331266,122.375
2500,0.0,0.3048,31.7,0.00331266,120.755
3150,0.0,0.3048,31.7,0.00331266,119.135
4000,0.0,0.3048,31.7,0.00331266,118.145
5000,0.0,0.3048,31.7,0.00331266,115.645
10000,0.0,0.3048,31.7,0.00331266,108.265
800,1.5,0.3048,71.3,0.00336729,127.122
1000,1.5,0.3048,71.3,0.00336729,125.992
1250,1.5,0.3048,71.3,0.00336729,125.872
1600,1.5,0.3048,71.3,0.00336729,126.632
2000,1.5,0.3048,71.3,0.00336729,126.642
2500,1.5,0.3048,71.3,0.00336729,124.512
3150,1.5,0.3048,71.3,0.00336729,123.392
4000,1.5,0.3048,71.3,0.00336729,121.762
5000,1.5,0.3048,71.3,0.00336729,119.632
6300,1.5,0.3048,71.3,0.00336729,118.122
8000,1.5,0.3048,71.3,0.00336729,115.372
10000,1.5,0.3048,71.3,0.00336729,113.492
12500,1.5,0.3048,71.3,0.00336729,109.222
315,1.5,0.3048,39.6,0.00392107,121.851
500,1.5,0.3048,39.6,0.00392107,126.661
630,1.5,0.3048,39.6,0.00392107,128.311
800,1.5,0.3048,39.6,0.00392107,128.831
1000,1.5,0.3048,39.6,0.00392107,127.581
1250,1.5,0.3048,39.6,0.00392107,125.211
2500,1.5,0.3048,39.6,0.00392107,120.981
3150,1.5,0.3048,39.6,0.00392107,119.111
4000,1.5,0.3048,39.6,0.00392107,117.741
6300,1.5,0.3048,39.6,0.00392107,114.751
8000,1.5,0.3048,39.6,0.00392107,112.251
630,3.0,0.3048,71.3,0.00425727,129.354
800,3.0,0.3048,71.3,0.00425727,129.494
1000,3.0,0.3048,71.3,0.00425727,129.004
1250,3.0,0.3048,71.3,0.00425727,127.634
1600,3.0,0.3048,71.3,0.00425727,126.514
2000,3.0,0.3048,71.3,0.00425727,125.524
3150,3.0,0.3048,71.3,0.00425727,121.514
4000,3.0,0.3048,71.3,0.00425727,120.264
5000,3.0,0.3048,71.3,0.00425727,118.134
6300,3.0,0.3048,71.3,0.00425727,116.134
8000,3.0,0.3048,71.3,0.00425727,114.634
10000,3.0,0.3048,71.3,0.00425727,110.224
400,3.0,0.3048,55.5,0.00452492,126.159
500,3.0,0.3048,55.5,0.00452492,128.179
630,3.0,0.3048,55.5,0.00452492,129.569
1000,3.0,0.3048,55.5,0.00452492,129.329
1250,3.0,0.3048,55.5,0.00452492,127.329
1600,3.0,0.3048,55.5,0.00452492,124.439
2000,3.0,0.3048,55.5,0.00452492,123.069
2500,3.0,0.3048,55.5,0.00452492,122.439
5000,3.0,0.3048,55.5,0.00452492,117.309
8000,3.0,0.3048,55.5,0.00452492,113.799
10000,3.0,0.3048,55.5,0.00452492,112.169
315,3.0,0.3048,39.6,0.00495741,123.312
400,3.0,0.3048,39.6,0.00495741,125.472
500,3.0,0.3048,39.6,0.00495741,127.632
630,3.0,0.3048,39.6,0.00495741,129.292
800,3.0,0.3048,39.6,0.00495741,129.552
1250,3.0,0.3048,39.6,0.00495741,125.802
1600,3.0,0.3048,39.6,0.00495741,122.782
2000,3.0,0.3048,39.6,0.00495741,120.532
2500,3.0,0.3048,39.6,0.00495741,120.162
3150,3.0,0.3048,39.6,0.00495741,118.922
4000,3.0,0.3048,39.6,0.00495741,116.792
5000,3.0,0.3048,39.6,0.00495741,115.792
8000,3.0,0.3048,39.6,0.00495741,110.652
315,3.0,0.3048,31.7,0.00529514,123.118
400,3.0,0.3048,31.7,0.00529514,125.398
630,3.0,0.3048,31.7,0.00529514,128.698
800,3.0,0.3048,31.7,0.00529514,128.708
1000,3.0,0.3048,31.7,0.00529514,126.838
1250,3.0,0.3048,31.7,0.00529514,124.838
2000,3.0,0.3048,31.7,0.00529514,120.088
2500,3.0,0.3048,31.7,0.00529514,119.598
3150,3.0,0.3048,31.7,0.00529514,118.108
5000,3.0,0.3048,31.7,0.00529514,113.858
6300,3.0,0.3048,31.7,0.00529514,109.718
250,4.0,0.3048,71.3,0.00497773,126.395
315,4.0,0.3048,71.3,0.00497773,128.175
400,4.0,0.3048,71.3,0.00497773,129.575
500,4.0,0.3048,71.3,0.00497773,130.715
630,4.0,0.3048,71.3,0.00497773,131.615
800,4.0,0.3048,71.3,0.00497773,131.755
1250,4.0,0.3048,71.3,0.00497773,129.395
1600,4.0,0.3048,71.3,0.00497773,126.645
2000,4.0,0.3048,71.3,0.00497773,124.395
2500,4.0,0.3048,71.3,0.00497773,123.775
3150,4.0,0.3048,71.3,0.00497773,121.775
4000,4.0,0.3048,71.3,0.00497773,119.535
5000,4.0,0.3048,71.3,0.00497773,117.785
8000,4.0,0.3048,71.3,0.00497773,113.665
10000,4.0,0.3048,71.3,0.00497773,110.905
12500,4.0,0.3048,71.3,0.00497773,107.405
250,4.0,0.3048,39.6,0.00579636,123.543
315,4.0,0.3048,39.6,0.00579636,126.843
400,4.0,0.3048,39.6,0.00579636,128.633
500,4.0,0.3048,39.6,0.00579636,130.173
630,4.0,0.3048,39.6,0.00579636,131.073
800,4.0,0.3048,39.6,0.00579636,130.723
1000,4.0,0.3048,39.6,0.00579636,128.723
1250,4.0,0.3048,39.6,0.00579636,126.343
1600,4.0,0.3048,39.6,0.00579636,123.213
