Iy,PF,e,dIf,If
30.0,0.66,0.34,0.383,1.563
30.0,0.68,0.32,0.372,1.552
30.0,0.7,0.3,0.36,1.54
30.0,0.72,0.28,0.338,1.518
30.0,0.74,0.26,0.317,1.497
30.0,0.76,0.24,0.301,1.481
30.0,0.78,0.22,0.29,1.47
30.0,0.8,0.2,0.28,1.46
30.0,0.82,0.18,0.25,1.43
30.0,0.84,0.16,0.221,1.401
30.0,0.86,0.14,0.192,1.372
30.0,0.88,0.12,0.165,1.345
30.0,0.9,0.1,0.138,1.318
30.0,0.92,0.08,0.098,1.278
30.0,0.94,0.06,0.057,1.237
30.0,0.96,0.04,0.037,1.217
30.0,1.0,0.0,0.037,1.217
31.0,0.66,0.34,0.397,1.577
31.0,0.7,0.3,0.442,1.622
31.0,0.72,0.28,0.369,1.549
31.0,0.74,0.26,0.385,1.565
31.0,0.76,0.24,0.31,1.49
31.0,0.78,0.22,0.325,1.505
31.0,0.8,0.2,0.349,1.529
31.0,0.84,0.16,0.277,1.457
31.0,0.86,0.14,0.193,1.373
31.0,0.88,0.12,0.2,1.38
31.0,0.9,0.1,0.216,1.396
31.0,0.94,0.06,0.124,1.304
31.0,0.96,0.04,0.139,1.319
31.0,1.0,0.0,0.139,1.319
32.0,0.66,0.34,0.393,1.573
32.0,0.68,0.32,0.409,1.589
32.0,0.7,0.3,0.436,1.616
32.0,0.72,0.28,0.361,1.541
32.0,0.74,0.26,0.377,1.557
32.0,0.76,0.24,0.306,1.486
32.0,0.78,0.22,0.318,1.498
32.0,0.82,0.18,0.258,1.438
32.0,0.84,0.16,0.266,1.446
32.0,0.86,0.14,0.183,1.363
32.0,0.9,0.1,0.202,1.382
32.0,0.92,0.08,0.102,1.282
32.0,0.98,0.02,0.118,1.298
32.0,1.0,0.0,0.118,1.298
33.0,0.66,0.34,0.389,1.569
33.0,0.68,0.32,0.405,1.585
33.0,0.72,0.28,0.355,1.535
33.0,0.74,0.26,0.369,1.549
33.0,0.78,0.22,0.312,1.492
33.0,0.82,0.18,0.25,1.43
33.0,0.84,0.16,0.255,1.435
33.0,0.86,0.14,0.174,1.354
33.0,0.88,0.12,0.181,1.361
33.0,0.9,0.1,0.188,1.368
33.0,0.92,0.08,0.091,1.271
33.0,0.94,0.06,0.095,1.275
33.0,0.96,0.04,0.098,1.278
33.0,0.98,0.02,0.098,1.278
33.0,1.0,0.0,0.098,1.278
34.0,0.66,0.34,0.385,1.565
34.0,0.68,0.32,0.402,1.582
34.0,0.7,0.3,0.424,1.604
34.0,0.76,0.24,0.299,1.479
34.0,0.78,0.22,0.306,1.486
34.0,0.8,0.2,0.317,1.497
34.0,0.82,0.18,0.238,1.418
34.0,0.86,0.14,0.164,1.344
34.0,0.9,0.1,0.174,1.354
34.0,0.92,0.08,0.074,1.254
34.0,0.96,0.04,0.077,1.257
34.0,1.0,0.0,0.077,1.257
35.0,0.66,0.34,0.372,1.552
35.0,0.68,0.32,0.395,1.575
35.0,0.7,0.3,0.418,1.598
35.0,0.72,0.28,0.328,1.508
35.0,0.74,0.26,0.349,1.529
35.0,0.76,0.24,0.285,1.465
35.0,0.82,0.18,0.216,1.396
35.0,0.84,0.16,0.225,1.405
35.0,0.86,0.14,0.142,1.322
35.0,0.88,0.12,0.151,1.331
35.0,0.92,0.08,0.045,1.225
35.0,0.94,0.06,0.052,1.232
35.0,0.96,0.04,0.056,1.236
35.0,0.98,0.02,0.056,1.236
35.0,1.0,0.0,0.056,1.236
36.0,0.66,0.34,0.457,1.637
36.0,0.68,0.32,0.476,1.656
38.0,0.92,0.08,0.112,1.292
38.0,0.94,0.06,0.116,1.296
38.0,0.96,0.04,0.119,1.299
38.0,0.98,0.02,0.119,1.299
38.0,1.0,0.0,0.119,1.299
37.0,0.92,0.08,0.123,1.303
37.0,0.94,0.06,0.131,1.311
36.0,0.92,0.08,0.14,1.32
37.0,0.96,0.04,0.14,1.32
37.0,0.98,0.02,0.14,1.32
37.0,1.0,0.0,0.14,1.32
36.0,0.96,0.04,0.162,1.342
37.0,0.86,0.14,0.21,1.39
38.0,0.88,0.12,0.21,1.39
36.0,0.86,0.14,0.22,1.4
37.0,0.88,0.12,0.221,1.401
38.0,0.9,0.1,0.222,1.402
36.0,0.88,0.12,0.235,1.415
36.0,0.9,0.1,0.261,1.441
38.0,0.82,0.18,0.287,1.467
37.0,0.82,0.18,0.295,1.475
38.0,0.84,0.16,0.299,1.479
36.0,0.84,0.16,0.322,1.502
38.0,0.76,0.24,0.345,1.525
37.0,0.76,0.24,0.353,1.533
