dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_1,cart,5,0.1,3,20,20,quantile,1,0.9036290618241004,10774064.239204548,0.001316070556640625,8889391.431863455,0.919976916247885,11220398.701672101,0.8797419114498198,29
auction,outer_1,cart,5,0.08,3,20,20,quantile,1,0.9036290618241004,10774064.239204548,0.0013151168823242188,8889391.431863455,0.919976916247885,11220398.701672101,0.8797419114498198,29
auction,outer_1,cart,5,0.05,3,20,20,quantile,1,0.9036290618241004,10774064.239204548,0.0013232231140136719,8889391.431863455,0.919976916247885,11220398.701672101,0.8797419114498198,29
auction,outer_1,cart,5,0.03,3,20,20,quantile,1,0.9036290618241004,10774064.239204548,0.0013506412506103516,8889391.431863455,0.919976916247885,11220398.701672101,0.8797419114498198,29
auction,outer_1,cart,5,0.01,3,20,20,quantile,1,0.9036290618358294,10774064.2378403,0.0013287067413330078,8889391.41444464,0.9199769164046907,11220398.701672101,0.8797419114498198,30
auction,outer_1,cart,5,0.008,3,20,20,quantile,1,0.9036290619364346,10774064.227492891,0.0013093948364257812,8889391.41444464,0.9199769164046907,11220398.701672101,0.8797419114498198,30
auction,outer_1,cart,5,0.005,3,20,20,quantile,1,0.9036290619364346,10774064.227492891,0.001310586929321289,8889391.41444464,0.9199769164046907,11220398.701672101,0.8797419114498198,30
auction,outer_1,cart,5,0.003,3,20,20,quantile,1,0.9036290619364346,10774064.227492891,0.0013170242309570312,8889391.411198167,0.9199769164339158,11220398.701672101,0.8797419114498198,31
auction,outer_1,cart,5,0.001,3,20,20,quantile,1,0.9036290619565933,10774064.225419529,0.0013453960418701172,8889391.411198167,0.9199769164339158,11220398.701672101,0.8797419114498198,31
auction,outer_1,cart,5,0.0005,3,20,20,quantile,1,0.9036290619565933,10774064.225419529,0.0013077259063720703,8889391.411198167,0.9199769164339158,11220398.701672101,0.8797419114498198,31
auction,outer_1,cart,5,0.0001,3,20,20,quantile,1,0.9036290619565933,10774064.225419529,0.001306772232055664,8889391.411198167,0.9199769164339158,11220398.701672101,0.8797419114498198,31
