dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_0,cart,5,0.1,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0013005733489990234,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.08,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0013279914855957031,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.05,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.001287698745727539,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.03,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0013098716735839844,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.01,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0012798309326171875,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.008,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0013346672058105469,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.005,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0012788772583007812,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.003,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.001332998275756836,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.001,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0012781620025634766,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.0005,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0013370513916015625,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
insurance,outer_0,cart,5,0.0001,3,20,20,quantile,1,0.8339500606274285,24275836.933724184,0.0012619495391845703,17954363.17084822,0.8766672955149379,23063496.05738762,0.8464284254243974,32
