dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_0,cart,5,0.1,3,20,20,quantile,1,-0.01821033110298405,0.04320314213710861,0.0010929107666015625,0.04277513654332133,0.0,0.03648068831045028,-2.3348604478723445e-06,1
optical_net,outer_0,cart,5,0.08,3,20,20,quantile,1,-0.01821033110298405,0.04320314213710861,0.0010509490966796875,0.04277513654332133,0.0,0.03648068831045028,-2.3348604478723445e-06,1
optical_net,outer_0,cart,5,0.05,3,20,20,quantile,1,-0.01821033110298405,0.04320314213710861,0.0010738372802734375,0.04277513654332133,0.0,0.03648068831045028,-2.3348604478723445e-06,1
optical_net,outer_0,cart,5,0.03,3,20,20,quantile,1,-0.01821033110298405,0.04320314213710861,0.0011131763458251953,0.04277513654332133,0.0,0.03648068831045028,-2.3348604478723445e-06,1
optical_net,outer_0,cart,5,0.01,3,20,20,quantile,1,0.500716083378269,0.02115769395970185,0.001054525375366211,0.020553815436302452,0.519491529489656,0.02001066562050847,0.45147108595295105,2
optical_net,outer_0,cart,5,0.008,3,20,20,quantile,1,0.500716083378269,0.02115769395970185,0.0010559558868408203,0.020553815436302452,0.519491529489656,0.02001066562050847,0.45147108595295105,2
optical_net,outer_0,cart,5,0.005,3,20,20,quantile,1,0.500716083378269,0.02115769395970185,0.0010488033294677734,0.020553815436302452,0.519491529489656,0.02001066562050847,0.45147108595295105,2
optical_net,outer_0,cart,5,0.003,3,20,20,quantile,1,0.6078666291983345,0.016601740041237996,0.0011355876922607422,0.014202262559693405,0.6679785569986482,0.01630809602031991,0.5529652851210964,4
optical_net,outer_0,cart,5,0.001,3,20,20,quantile,1,0.7319614319473668,0.011418136905583786,0.001054525375366211,0.011243239490477747,0.7371547960088698,0.015085775195055185,0.5864713327266491,6
optical_net,outer_0,cart,5,0.0005,3,20,20,quantile,1,0.7813375282876405,0.00929189961562344,0.0010521411895751953,0.008174260321585239,0.8089015960637179,0.011480422050923337,0.6853006511717046,10
optical_net,outer_0,cart,5,0.0001,3,20,20,quantile,1,0.8186528140666893,0.0077101309122284455,0.0010480880737304688,0.005229507242295833,0.8777442302960378,0.011044284404103315,0.6972559811103567,22
