dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_1,cart,5,0.1,3,20,20,quantile,1,0.5387457303241908,81.86593094672511,0.0009367465972900391,26.024420627271155,0.8555132565674187,131.39893615953207,0.34129740635607353,28
real_estate,outer_1,cart,5,0.08,3,20,20,quantile,1,0.5393232588030048,81.7611372325564,0.0009343624114990234,25.925761009949902,0.8560610115787297,131.13185958657357,0.3426362606607667,29
real_estate,outer_1,cart,5,0.05,3,20,20,quantile,1,0.5402328001697995,81.5747439761402,0.0009543895721435547,25.925761009949902,0.8560610115787297,131.13185958657357,0.3426362606607667,29
real_estate,outer_1,cart,5,0.03,3,20,20,quantile,1,0.5408512203118507,81.45229590795839,0.0009572505950927734,25.88978820028223,0.8562607314570487,130.78164030946513,0.3443919091684179,30
real_estate,outer_1,cart,5,0.01,3,20,20,quantile,1,0.5404140609387488,81.52245683024431,0.0009186267852783203,25.86524892535776,0.8563969727194697,129.49012675524827,0.35086626392922105,31
real_estate,outer_1,cart,5,0.008,3,20,20,quantile,1,0.5404140609387488,81.52245683024431,0.0009243488311767578,25.86524892535776,0.8563969727194697,129.49012675524827,0.35086626392922105,31
real_estate,outer_1,cart,5,0.005,3,20,20,quantile,1,0.5404140609387488,81.52245683024431,0.0009229183197021484,25.86524892535776,0.8563969727194697,129.49012675524827,0.35086626392922105,31
real_estate,outer_1,cart,5,0.003,3,20,20,quantile,1,0.5404140609387488,81.52245683024431,0.0009450912475585938,25.86524892535776,0.8563969727194697,129.49012675524827,0.35086626392922105,31
real_estate,outer_1,cart,5,0.001,3,20,20,quantile,1,0.5405044651190308,81.50524232407146,0.0009202957153320312,25.86524892535776,0.8563969727194697,129.49012675524827,0.35086626392922105,31
real_estate,outer_1,cart,5,0.0005,3,20,20,quantile,1,0.5405044651190308,81.50524232407146,0.0009386539459228516,25.86524892535776,0.8563969727194697,129.49012675524827,0.35086626392922105,31
real_estate,outer_1,cart,5,0.0001,3,20,20,quantile,1,0.5405044651190308,81.50524232407146,0.000949859619140625,25.86524892535776,0.8563969727194697,129.49012675524827,0.35086626392922105,31
