dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_1,cart,5,0.1,3,20,20,quantile,1,-0.0023167957243284873,0.03181705578032173,0.0008962154388427734,0.031768987683373315,-2.220446049250313e-16,0.03600963579174714,-0.05520589751480842,1
synch,outer_1,cart,5,0.08,3,20,20,quantile,1,-0.0023167957243284873,0.03181705578032173,0.0009150505065917969,0.031768987683373315,-2.220446049250313e-16,0.03600963579174714,-0.05520589751480842,1
synch,outer_1,cart,5,0.05,3,20,20,quantile,1,-0.0023167957243284873,0.03181705578032173,0.0008921623229980469,0.031768987683373315,-2.220446049250313e-16,0.03600963579174714,-0.05520589751480842,1
synch,outer_1,cart,5,0.03,3,20,20,quantile,1,-0.0023167957243284873,0.03181705578032173,0.0008826255798339844,0.031768987683373315,-2.220446049250313e-16,0.03600963579174714,-0.05520589751480842,1
synch,outer_1,cart,5,0.01,3,20,20,quantile,1,0.7047714824809511,0.009286194015570544,0.0008854866027832031,0.008921957182213445,0.7191614265102044,0.009951598188006967,0.7083840236981986,2
synch,outer_1,cart,5,0.008,3,20,20,quantile,1,0.7047714824809511,0.009286194015570544,0.0008823871612548828,0.008921957182213445,0.7191614265102044,0.009951598188006967,0.7083840236981986,2
synch,outer_1,cart,5,0.005,3,20,20,quantile,1,0.7047714824809511,0.009286194015570544,0.0008924007415771484,0.008921957182213445,0.7191614265102044,0.009951598188006967,0.7083840236981986,2
synch,outer_1,cart,5,0.003,3,20,20,quantile,1,0.884898247454233,0.0035356642889064604,0.0008826255798339844,0.005268591745983324,0.8341592814195743,0.006046012208963108,0.8228310950924265,3
synch,outer_1,cart,5,0.001,3,20,20,quantile,1,0.9227015337537301,0.0024440019653256674,0.0008828639984130859,0.0023862531806670144,0.924887339676993,0.0026314089466407376,0.9228906880556423,4
synch,outer_1,cart,5,0.0005,3,20,20,quantile,1,0.934867573473912,0.0020846485032677124,0.0008916854858398438,0.00186908765280549,0.9411662823054415,0.0021030012176826342,0.9383748477709368,5
synch,outer_1,cart,5,0.0001,3,20,20,quantile,1,0.9809878841094607,0.0006105565472492849,0.0008962154388427734,0.0005625993718070243,0.9822909254328721,0.0005333766469177556,0.9843702339374041,9
