dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_min,outer_1,cart,5,0.1,3,20,20,quantile,1,0.7214435297174516,1.7279101769727825,0.014830589294433594,1.74398353233868,0.7184231882564243,1.74864100264936,0.7152353971828185,5
temperature_min,outer_1,cart,5,0.08,3,20,20,quantile,1,0.7474156671968206,1.5660843714938697,0.014766931533813477,1.4734808795950047,0.7620974965944185,1.4693052707904901,0.7607249680066294,8
temperature_min,outer_1,cart,5,0.05,3,20,20,quantile,1,0.7560793788659593,1.5113458449854889,0.014767885208129883,1.4734808795950047,0.7620974965944185,1.4693052707904901,0.7607249680066294,8
temperature_min,outer_1,cart,5,0.03,3,20,20,quantile,1,0.7663154933490186,1.449129764390877,0.014784097671508789,1.4081542710121362,0.7726448772466414,1.3808966803695681,0.7751222268486085,10
temperature_min,outer_1,cart,5,0.01,3,20,20,quantile,1,0.7893012879409614,1.3050450584150999,0.014820098876953125,1.269074895455985,0.7951000933781109,1.2424422881455164,0.7976693991671352,17
temperature_min,outer_1,cart,5,0.008,3,20,20,quantile,1,0.7911437540834423,1.2940213282594837,0.014800786972045898,1.2307805168252879,0.801282955109651,1.2201020353293952,0.8013074890954736,21
temperature_min,outer_1,cart,5,0.005,3,20,20,quantile,1,0.7904393982415807,1.2980270802593463,0.014772176742553711,1.1837554852066177,0.8088754341840203,1.1774038610643915,0.8082608480852094,28
temperature_min,outer_1,cart,5,0.003,3,20,20,quantile,1,0.7900930157854699,1.2999906372076897,0.014783143997192383,1.1694201016446308,0.811189969570196,1.1827198759121107,0.8073951398841621,32
temperature_min,outer_1,cart,5,0.001,3,20,20,quantile,1,0.7898777508688056,1.3014055154184716,0.01477956771850586,1.1694201016446308,0.811189969570196,1.1827198759121107,0.8073951398841621,32
temperature_min,outer_1,cart,5,0.0005,3,20,20,quantile,1,0.7898777508688056,1.3014055154184716,0.0147705078125,1.1694201016446308,0.811189969570196,1.1827198759121107,0.8073951398841621,32
temperature_min,outer_1,cart,5,0.0001,3,20,20,quantile,1,0.7898777508688056,1.3014055154184716,0.015262365341186523,1.1694201016446308,0.811189969570196,1.1827198759121107,0.8073951398841621,32
