dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_2,cart,5,0.1,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.0031332969665527344,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.08,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.0031447410583496094,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.05,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.003101348876953125,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.03,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.0031499862670898438,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.01,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.003140687942504883,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.008,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.0031414031982421875,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.005,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.0031714439392089844,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.003,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.0031213760375976562,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.001,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.0031251907348632812,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.0005,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.003122568130493164,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
walmart,outer_2,cart,5,0.0001,3,20,20,quantile,1,0.10775302764975865,284768362296.38074,0.003132343292236328,274977293211.1795,0.1390683287231841,280442632549.8925,0.10891138008811685,32
