dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_3,cart,5,0.1,3,20,20,quantile,1,0.9898299153802297,2.275351148300033,0.0008802413940429688,0.8685188295177317,0.9961752194030739,1.882425078485218,0.9919954364851206,15
yacht,outer_3,cart,5,0.08,3,20,20,quantile,1,0.9906229246173881,2.078866420260378,0.0008258819580078125,0.6078932007697485,0.9973229617593915,1.6401894796220269,0.9930254855738341,18
yacht,outer_3,cart,5,0.05,3,20,20,quantile,1,0.9899999071100204,2.210058789301709,0.0008742809295654297,0.4890675925310343,0.997846245613884,1.3994973748443458,0.9940489713222143,20
yacht,outer_3,cart,5,0.03,3,20,20,quantile,1,0.990581735471381,2.0730360989212477,0.0008280277252197266,0.425933267294867,0.9981242763645788,1.4152478889609215,0.9939819960188786,22
yacht,outer_3,cart,5,0.01,3,20,20,quantile,1,0.9914089212434122,1.8849046376364758,0.0008287429809570312,0.3527170141580072,0.9984467058788968,1.32558836100489,0.9943632517694744,26
yacht,outer_3,cart,5,0.008,3,20,20,quantile,1,0.9914089212434122,1.8849046376364758,0.0008790493011474609,0.34306748970585116,0.9984892004255201,1.3185236711337989,0.9943932926775734,27
yacht,outer_3,cart,5,0.005,3,20,20,quantile,1,0.9915988440127865,1.8349956176417275,0.0008182525634765625,0.33620510778952184,0.9985194209622664,1.3185236711337989,0.9943932926775734,28
yacht,outer_3,cart,5,0.003,3,20,20,quantile,1,0.9916243405201776,1.8295854509750609,0.0008516311645507812,0.3284980729949126,0.9985533611788057,1.310029172140066,0.9944294135078255,30
yacht,outer_3,cart,5,0.001,3,20,20,quantile,1,0.9916366902442538,1.826232338525262,0.0008420944213867188,0.3284980729949126,0.9985533611788057,1.310029172140066,0.9944294135078255,30
yacht,outer_3,cart,5,0.0005,3,20,20,quantile,1,0.9916366902442538,1.826232338525262,0.00081634521484375,0.3284980729949126,0.9985533611788057,1.310029172140066,0.9944294135078255,30
yacht,outer_3,cart,5,0.0001,3,20,20,quantile,1,0.9916366902442538,1.826232338525262,0.0028390884399414062,0.3284980729949126,0.9985533611788057,1.310029172140066,0.9944294135078255,30
