dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_2,guide,5,2.0,3,20,20,quantile,1,0.040290674,46.51685,0.053615,48.68917,0.0,43.05017,-3.88491e-05,1
airfoil,outer_2,guide,5,4.0,3,20,20,quantile,1,0.3169485,33.14553,0.057292,30.24809,0.3788,26.33588,0.3882277,4
airfoil,outer_2,guide,5,6.0,3,20,20,quantile,1,0.39390713333333327,29.403086666666667,0.055697,30.24809,0.3788,26.33588,0.3882277,4
airfoil,outer_2,guide,5,8.0,3,20,20,quantile,1,0.41764053333333334,28.240820000000003,0.056344,26.31322,0.4596,21.44228,0.5019041,7
airfoil,outer_2,guide,5,10.0,3,20,20,quantile,1,0.46352333333333334,26.042626666666667,0.055071,23.12431,0.5251,20.07344,0.5337016,10
airfoil,outer_2,guide,5,12.0,3,20,20,quantile,1,0.5031016333333334,24.077946666666666,0.056106,21.66972,0.5549,19.62394,0.5441433,12
airfoil,outer_2,guide,5,14.0,3,20,20,quantile,1,0.5384817666666667,22.351123333333334,0.04491,21.09821,0.5667,19.33178,0.5509301,13
airfoil,outer_2,guide,5,16.0,3,20,20,quantile,1,0.5418058,22.192896666666666,0.04916,19.75361,0.5943,18.03869,0.5809682,16
airfoil,outer_2,guide,5,20.0,3,20,20,quantile,1,0.5808626333333333,20.30595666666667,0.046337,18.28867,0.6244,17.0668,0.6035447,20
airfoil,outer_2,guide,5,24.0,3,20,20,quantile,1,0.5876439333333333,19.96778,0.05787,17.44947,0.6416,16.31434,0.6210243,24
airfoil,outer_2,guide,5,28.0,3,20,20,quantile,1,0.5974811333333333,19.502019999999998,0.057252,17.05974,0.6496,15.57619,0.638171,28
airfoil,outer_2,guide,5,32.0,3,20,20,quantile,1,0.6011544333333334,19.329413333333335,0.056827,16.9787,0.6513,15.43446,0.6414635,30
