dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_1,guide,5,2.0,3,20,20,quantile,1,-0.002237978933333333,111221148.66666667,0.070954,111085340.0,0.0,93744712.0,-0.0047379,1
auction,outer_1,guide,5,4.0,3,20,20,quantile,1,0.8562377333333333,16054969.333333334,0.071669,15885742.0,0.857,18257150.0,0.8043234,4
auction,outer_1,guide,5,6.0,3,20,20,quantile,1,0.8606042333333334,15487145.666666666,0.078752,13491164.0,0.8786,17095995.0,0.8167684,6
auction,outer_1,guide,5,8.0,3,20,20,quantile,1,0.8769317,13689315.666666666,0.073917,12686106.0,0.8858,16287137.0,0.8254376,7
auction,outer_1,guide,5,10.0,3,20,20,quantile,1,0.8861874,12686976.333333334,0.07139,10532611.0,0.9052,14400467.0,0.8456585,10
auction,outer_1,guide,5,12.0,3,20,20,quantile,1,0.8950149,11708211.0,0.079738,9824486.0,0.9116,12352392.0,0.8676094,12
auction,outer_1,guide,5,14.0,3,20,20,quantile,1,0.8961849000000001,11568412.333333334,0.081477,9560908.0,0.9139,12216468.0,0.8690662,14
auction,outer_1,guide,5,16.0,3,20,20,quantile,1,0.8971649333333334,11458452.333333334,0.079232,9526642.0,0.9142,12171461.0,0.8695486,16
auction,outer_1,guide,5,20.0,3,20,20,quantile,1,0.8974550333333333,11425813.0,0.072166,9498554.0,0.9145,12139176.0,0.8698946,20
auction,outer_1,guide,5,24.0,3,20,20,quantile,1,0.8974880666666666,11422097.333333334,0.083358,9493917.0,0.9145,12132825.0,0.8699627,24
auction,outer_1,guide,5,28.0,3,20,20,quantile,1,0.8974959,11421214.0,0.080575,9493109.0,0.9145,12131516.0,0.8699767,28
auction,outer_1,guide,5,32.0,3,20,20,quantile,1,0.8974961,11421188.666666666,0.081628,9493058.0,0.9145,12131401.0,0.869978,30
