dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auto_mpg,outer_3,guide,5,2.0,3,20,20,quantile,1,0.6032858333333334,23.431893333333335,0.021878,22.07341,0.6274,39.96624,0.3914883,2
auto_mpg,outer_3,guide,5,4.0,3,20,20,quantile,1,0.7175653666666667,16.676416666666668,0.020703,14.41694,0.7566,29.70616,0.5477046,4
auto_mpg,outer_3,guide,5,6.0,3,20,20,quantile,1,0.7959048000000001,12.042416666666668,0.023212,10.47578,0.8232,22.19773,0.6620253,6
auto_mpg,outer_3,guide,5,8.0,3,20,20,quantile,1,0.7939846999999999,12.164233333333334,0.024604,8.639043,0.8542,21.6233,0.6707714,8
auto_mpg,outer_3,guide,5,10.0,3,20,20,quantile,1,0.7972482666666667,11.99956,0.030027,7.561503,0.8724,16.81798,0.7439355,10
auto_mpg,outer_3,guide,5,12.0,3,20,20,quantile,1,0.7940304333333333,12.183896666666667,0.022215,6.854045,0.8843,15.70591,0.7608674,12
auto_mpg,outer_3,guide,5,14.0,3,20,20,quantile,1,0.7992162666666666,11.860176666666666,0.029518,6.366358,0.8925,15.63002,0.7620229,14
auto_mpg,outer_3,guide,5,16.0,3,20,20,quantile,1,0.7991674666666667,11.863863333333333,0.030044,6.040164,0.898,16.28005,0.7521258,16
auto_mpg,outer_3,guide,5,20.0,3,20,20,quantile,1,0.7998001,11.815733333333334,0.029516,5.529756,0.9067,15.41658,0.7652726,20
auto_mpg,outer_3,guide,5,24.0,3,20,20,quantile,1,0.8020057666666666,11.688003333333334,0.031718,5.135117,0.9133,15.49265,0.7641145,24
auto_mpg,outer_3,guide,5,28.0,3,20,20,quantile,1,0.8020057666666666,11.688003333333334,0.022994,5.08573,0.9141,15.51643,0.7637524,25
auto_mpg,outer_3,guide,5,32.0,3,20,20,quantile,1,0.8020057666666666,11.688003333333334,0.030816,5.08573,0.9141,15.51643,0.7637524,25
