dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
california_housing,outer_4,guide,5,2.0,3,20,20,quantile,1,0.30381176666666665,9297226216.666666,1.0849,9221378404.0,0.3099,9289171972.0,0.295005,2
california_housing,outer_4,guide,5,4.0,3,20,20,quantile,1,0.4921709,6782338917.666667,1.0844,6769557611.0,0.4934,6897422528.0,0.4765251,4
california_housing,outer_4,guide,5,6.0,3,20,20,quantile,1,0.540679,6134073422.0,1.0852,6025537493.0,0.549,6051953855.0,0.5406914,6
california_housing,outer_4,guide,5,8.0,3,20,20,quantile,1,0.5645068333333333,5816057951.333333,1.0915,5738581047.0,0.5705,5672383699.0,0.5694986,8
california_housing,outer_4,guide,5,10.0,3,20,20,quantile,1,0.5818886666666666,5582518542.333333,1.1025,5738581047.0,0.5705,5672383699.0,0.5694986,8
california_housing,outer_4,guide,5,12.0,3,20,20,quantile,1,0.5927297,5438249390.666667,1.0852,5498748086.0,0.5885,5412654486.0,0.5892105,11
california_housing,outer_4,guide,5,14.0,3,20,20,quantile,1,0.5993634,5348802717.0,1.0885,5320274248.0,0.6018,5237268476.0,0.6025213,14
california_housing,outer_4,guide,5,16.0,3,20,20,quantile,1,0.6099158333333333,5207536480.333333,1.0872,5214292255.0,0.6098,5130392967.0,0.6106326,16
california_housing,outer_4,guide,5,20.0,3,20,20,quantile,1,0.6160950333333334,5127548661.0,1.0825,5069682803.0,0.6206,5031736814.0,0.61812,20
california_housing,outer_4,guide,5,24.0,3,20,20,quantile,1,0.6204283,5069303784.666667,1.0779,5010728667.0,0.625,4959147011.0,0.6236291,23
california_housing,outer_4,guide,5,28.0,3,20,20,quantile,1,0.6228856333333334,5036652139.333333,1.0837,4958031070.0,0.6289,4941975487.0,0.6249324,28
california_housing,outer_4,guide,5,32.0,3,20,20,quantile,1,0.625111,5006702596.333333,1.0824,4944877204.0,0.6299,4931069359.0,0.6257601,31
