dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_h,outer_4,guide,5,2.0,3,20,20,quantile,1,0.7887827,21.751396666666665,0.043465,21.46061,0.7921,20.39836,0.7863438,2
energe_h,outer_4,guide,5,4.0,3,20,20,quantile,1,0.9001417333333334,10.274111666666668,0.041296,9.675446,0.9063,9.868183,0.8966388,4
energe_h,outer_4,guide,5,6.0,3,20,20,quantile,1,0.9285915,7.3401803333333335,0.039729,6.905055,0.9331,7.025238,0.9264164,6
energe_h,outer_4,guide,5,8.0,3,20,20,quantile,1,0.9419466,5.961808666666667,0.040114,5.49164,0.9468,5.415451,0.9432776,8
energe_h,outer_4,guide,5,10.0,3,20,20,quantile,1,0.9504189666666667,5.093552,0.043643,4.637408,0.9551,4.631335,0.9514906,10
energe_h,outer_4,guide,5,12.0,3,20,20,quantile,1,0.9576861000000001,4.340220333333334,0.042067,4.049476,0.9608,4.166635,0.9563579,12
energe_h,outer_4,guide,5,14.0,3,20,20,quantile,1,0.9617746,3.9219043333333334,0.040043,3.560358,0.9655,4.02646,0.9578261,14
energe_h,outer_4,guide,5,16.0,3,20,20,quantile,1,0.9647010666666667,3.625171,0.042469,3.093165,0.97,3.638617,0.9618885,16
energe_h,outer_4,guide,5,20.0,3,20,20,quantile,1,0.9709691666666668,2.9730693333333336,0.041161,2.481217,0.976,3.04244,0.9681329,20
energe_h,outer_4,guide,5,24.0,3,20,20,quantile,1,0.9722371666666666,2.838048,0.042784,2.175314,0.9789,2.40923,0.9747653,24
energe_h,outer_4,guide,5,28.0,3,20,20,quantile,1,0.9725857666666666,2.8021573333333336,0.031287,2.023577,0.9804,2.30433,0.975864,28
energe_h,outer_4,guide,5,32.0,3,20,20,quantile,1,0.9725857666666666,2.8021573333333336,0.045799,2.002118,0.9806,2.280715,0.9761114,30
