dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_4,guide,5,2.0,3,20,20,quantile,1,0.6326015666666667,56774134.666666664,0.064715,56294981.0,0.6364,54286450.0,0.5183655,2
insurance,outer_4,guide,5,4.0,3,20,20,quantile,1,0.8263637666666667,26972080.666666668,0.059632,27849103.0,0.8201,22327729.0,0.8019063,4
insurance,outer_4,guide,5,6.0,3,20,20,quantile,1,0.8362994,25447540.333333332,0.068766,24881858.0,0.8393,21770158.0,0.8068531,6
insurance,outer_4,guide,5,8.0,3,20,20,quantile,1,0.8483972333333334,23577701.333333332,0.067126,23138337.0,0.8505,20214555.0,0.8206546,8
insurance,outer_4,guide,5,10.0,3,20,20,quantile,1,0.8513436666666667,23135357.0,0.067137,22499174.0,0.8547,20471945.0,0.818371,10
insurance,outer_4,guide,5,12.0,3,20,20,quantile,1,0.8515389,23122262.0,0.067873,21875398.0,0.8587,19848297.0,0.823904,12
insurance,outer_4,guide,5,14.0,3,20,20,quantile,1,0.8529225666666668,22893733.333333332,0.068622,21277252.0,0.8626,19537971.0,0.8266573,14
insurance,outer_4,guide,5,16.0,3,20,20,quantile,1,0.8525790333333333,22943669.666666668,0.063231,20700570.0,0.8663,18807605.0,0.8331372,16
insurance,outer_4,guide,5,20.0,3,20,20,quantile,1,0.8529416666666667,22895827.333333332,0.059103,20218665.0,0.8694,19466788.0,0.8272888,20
insurance,outer_4,guide,5,24.0,3,20,20,quantile,1,0.8548080333333333,22618097.0,0.06838,19959741.0,0.8711,18716102.0,0.833949,24
insurance,outer_4,guide,5,28.0,3,20,20,quantile,1,0.8538278666666667,22770654.333333332,0.066299,19864336.0,0.8717,18448258.0,0.8363253,28
insurance,outer_4,guide,5,32.0,3,20,20,quantile,1,0.8538278666666667,22770654.333333332,0.068514,19844418.0,0.8718,18417201.0,0.8366009,30
