dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_1,guide,5,2.0,3,20,20,quantile,1,0.45395513333333337,0.022421676666666668,0.038757,0.02088242,0.493,0.01939945,0.5467066,2
optical_net,outer_1,guide,5,4.0,3,20,20,quantile,1,0.5960474666666666,0.016551483333333335,0.030352,0.01446896,0.6487,0.01262845,0.7049198,4
optical_net,outer_1,guide,5,6.0,3,20,20,quantile,1,0.6803116,0.013155366666666666,0.038553,0.01122634,0.7274,0.01125882,0.736923,6
optical_net,outer_1,guide,5,8.0,3,20,20,quantile,1,0.6999462333333333,0.012348903333333333,0.030671,0.009929488,0.7589,0.008779383,0.7948583,8
optical_net,outer_1,guide,5,10.0,3,20,20,quantile,1,0.7225043333333333,0.011426752666666666,0.03965,0.009484829,0.7697,0.008249476,0.8072403,9
optical_net,outer_1,guide,5,12.0,3,20,20,quantile,1,0.7388160666666667,0.010745717333333333,0.039396,0.008282298,0.7989,0.007503015,0.8246823,12
optical_net,outer_1,guide,5,14.0,3,20,20,quantile,1,0.7501361000000001,0.010282780666666666,0.040712,0.007729148,0.8123,0.006485866,0.8484493,14
optical_net,outer_1,guide,5,16.0,3,20,20,quantile,1,0.7518232,0.010218976,0.030819,0.007348009,0.8216,0.006080344,0.8579249,16
optical_net,outer_1,guide,5,20.0,3,20,20,quantile,1,0.7593696333333334,0.009905384666666668,0.032662,0.006973016,0.8307,0.005870216,0.8628348,20
optical_net,outer_1,guide,5,24.0,3,20,20,quantile,1,0.7582448666666667,0.009950798,0.040588,0.006826062,0.8343,0.005559682,0.8700908,23
optical_net,outer_1,guide,5,28.0,3,20,20,quantile,1,0.7582448666666667,0.009950798,0.031237,0.006826062,0.8343,0.005559682,0.8700908,23
optical_net,outer_1,guide,5,32.0,3,20,20,quantile,1,0.7582448666666667,0.009950798,0.036528,0.006826062,0.8343,0.005559682,0.8700908,23
