dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_1,guide,5,2.0,3,20,20,quantile,1,0.4588749666666667,97.92047333333335,0.026938,93.87828,0.4788,94.28298,0.5273596,2
real_estate,outer_1,guide,5,4.0,3,20,20,quantile,1,0.5660372666666666,79.45055666666667,0.024041,69.3293,0.6151,79.08507,0.6035467,4
real_estate,outer_1,guide,5,6.0,3,20,20,quantile,1,0.5692196333333334,78.97197,0.023519,61.81775,0.6568,64.21009,0.678115,6
real_estate,outer_1,guide,5,8.0,3,20,20,quantile,1,0.5886138333333334,75.10208,0.021981,58.43361,0.6756,70.46064,0.6467809,8
real_estate,outer_1,guide,5,10.0,3,20,20,quantile,1,0.5946002666666667,74.39344,0.025518,56.02883,0.6889,75.15346,0.6232559,10
real_estate,outer_1,guide,5,12.0,3,20,20,quantile,1,0.5927898,74.76937,0.021858,53.9727,0.7003,75.35371,0.622252,12
real_estate,outer_1,guide,5,14.0,3,20,20,quantile,1,0.6021462,72.88976333333333,0.03024,53.12868,0.705,69.86473,0.6497683,13
real_estate,outer_1,guide,5,16.0,3,20,20,quantile,1,0.6050207,72.35074333333334,0.030226,51.4248,0.7145,72.72005,0.6354545,16
real_estate,outer_1,guide,5,20.0,3,20,20,quantile,1,0.5981583666666667,73.76927333333333,0.027385,50.3277,0.7206,73.94594,0.6293091,20
real_estate,outer_1,guide,5,24.0,3,20,20,quantile,1,0.6003829,73.31340666666667,0.028859,50.23018,0.7211,74.32634,0.6274022,22
real_estate,outer_1,guide,5,28.0,3,20,20,quantile,1,0.6003829,73.31340666666667,0.022072,50.23018,0.7211,74.32634,0.6274022,22
real_estate,outer_1,guide,5,32.0,3,20,20,quantile,1,0.6003829,73.31340666666667,0.021786,50.23018,0.7211,74.32634,0.6274022,22
