dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_2,guide,5,2.0,3,20,20,quantile,1,0.2305577,320944.5,0.35134,319549.0,0.234,304443.1,0.2594715,2
seoul_bike,outer_2,guide,5,4.0,3,20,20,quantile,1,0.4535509,227910.9,0.36815,226292.6,0.4576,211496.8,0.4855545,4
seoul_bike,outer_2,guide,5,6.0,3,20,20,quantile,1,0.5260580666666667,197540.66666666666,0.33586,192704.6,0.5381,182330.9,0.5564975,6
seoul_bike,outer_2,guide,5,8.0,3,20,20,quantile,1,0.5646871,181427.6333333333,0.35119,184239.1,0.5584,173412.8,0.57819,7
seoul_bike,outer_2,guide,5,10.0,3,20,20,quantile,1,0.5829903,173796.43333333332,0.35763,167549.0,0.5984,164079.6,0.6008922,10
seoul_bike,outer_2,guide,5,12.0,3,20,20,quantile,1,0.5933041666666666,169504.23333333334,0.37443,161362.0,0.6132,157831.6,0.6160899,12
seoul_bike,outer_2,guide,5,14.0,3,20,20,quantile,1,0.6020937333333333,165863.43333333332,0.35309,156437.4,0.625,154867.6,0.6232994,14
seoul_bike,outer_2,guide,5,16.0,3,20,20,quantile,1,0.6114924,161939.30000000002,0.35168,152726.8,0.6339,150415.2,0.6341295,16
seoul_bike,outer_2,guide,5,20.0,3,20,20,quantile,1,0.62129,157868.53333333335,0.34477,148717.7,0.6435,146515.5,0.6436151,20
seoul_bike,outer_2,guide,5,24.0,3,20,20,quantile,1,0.6248362,156395.16666666666,0.34391,146854.0,0.648,144166.7,0.6493283,24
seoul_bike,outer_2,guide,5,28.0,3,20,20,quantile,1,0.6272799666666667,155371.83333333334,0.35486,146240.5,0.6495,143398.0,0.6511981,28
seoul_bike,outer_2,guide,5,32.0,3,20,20,quantile,1,0.6279632666666667,155086.26666666666,0.35516,146001.1,0.65,143104.5,0.6519121,31
