dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
servo,outer_3,guide,5,2.0,3,20,20,quantile,1,0.5694951,1.0639412333333331,0.010723,1.040726,0.594,0.7685675,0.5667738,2
servo,outer_3,guide,5,4.0,3,20,20,quantile,1,0.5355271,1.1385677,0.010876,1.031602,0.5976,0.6944839,0.6085333,3
servo,outer_3,guide,5,6.0,3,20,20,quantile,1,0.5316405,1.1468224666666667,0.006867,1.014205,0.6044,0.6746732,0.6197002,6
servo,outer_3,guide,5,8.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.010736,1.014197,0.6044,0.6746672,0.6197036,7
servo,outer_3,guide,5,10.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.00869,1.014197,0.6044,0.6746672,0.6197036,7
servo,outer_3,guide,5,12.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.007191,1.014197,0.6044,0.6746672,0.6197036,7
servo,outer_3,guide,5,14.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.009494,1.014197,0.6044,0.6746672,0.6197036,7
servo,outer_3,guide,5,16.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.01108,1.014197,0.6044,0.6746672,0.6197036,7
servo,outer_3,guide,5,20.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.010984,1.014197,0.6044,0.6746672,0.6197036,7
servo,outer_3,guide,5,24.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.01197,1.014197,0.6044,0.6746672,0.6197036,7
servo,outer_3,guide,5,28.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.011767,1.014197,0.6044,0.6746672,0.6197036,7
servo,outer_3,guide,5,32.0,3,20,20,quantile,1,0.5316454,1.1468122666666665,0.010563,1.014197,0.6044,0.6746672,0.6197036,7
