dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_4,guide,5,2.0,3,20,20,quantile,1,0.7136873,0.009381153000000001,0.031605,0.009283317,0.7157,0.008374853,0.7359891,2
synch,outer_4,guide,5,4.0,3,20,20,quantile,1,0.9218282333333333,0.002548474,0.03108,0.002450669,0.925,0.002517157,0.9206485,4
synch,outer_4,guide,5,6.0,3,20,20,quantile,1,0.9565759333333334,0.0014142756666666667,0.026575,0.001328773,0.9593,0.001339426,0.9577756,6
synch,outer_4,guide,5,8.0,3,20,20,quantile,1,0.9788968333333333,0.0006862717000000001,0.02673,0.000627397,0.9808,0.0007615164,0.9759938,8
synch,outer_4,guide,5,10.0,3,20,20,quantile,1,0.9847226666666667,0.0004955152333333333,0.029404,0.0004668742,0.9857,0.0005410456,0.982944,10
synch,outer_4,guide,5,12.0,3,20,20,quantile,1,0.9884983333333334,0.00037294709999999997,0.026976,0.0003415957,0.9895,0.0003357671,0.9894152,12
synch,outer_4,guide,5,14.0,3,20,20,quantile,1,0.9921281333333334,0.0002554536333333333,0.027532,0.000232838,0.9929,0.0002580934,0.9918638,14
synch,outer_4,guide,5,16.0,3,20,20,quantile,1,0.9942545666666667,0.00018756116666666665,0.029946,0.0001537625,0.9953,0.0001883889,0.9940612,16
synch,outer_4,guide,5,20.0,3,20,20,quantile,1,0.9958960666666666,0.00013367316666666667,0.030542,0.0001094212,0.9966,0.0001519314,0.9952105,20
synch,outer_4,guide,5,24.0,3,20,20,quantile,1,0.9968208000000001,0.00010339556,0.031218,7.463203e-05,0.9977,0.0001001245,0.9968437,24
synch,outer_4,guide,5,28.0,3,20,20,quantile,1,0.9978505333333333,7.013635666666667e-05,0.029321,5.159898e-05,0.9984,6.692679e-05,0.9978902,28
synch,outer_4,guide,5,32.0,3,20,20,quantile,1,0.9983327333333333,5.456284666666667e-05,0.027532,4.201759e-05,0.9987,6.162665e-05,0.9980573,31
