dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_max,outer_1,guide,5,2.0,3,20,20,quantile,1,0.44230336666666664,5.431913333333333,0.68497,5.402086,0.4456,5.445531,0.4316219,2
temperature_max,outer_1,guide,5,4.0,3,20,20,quantile,1,0.6155375,3.745308,0.69032,3.621613,0.6283,3.559018,0.628527,4
temperature_max,outer_1,guide,5,6.0,3,20,20,quantile,1,0.6551641666666667,3.3580383333333335,0.68713,3.204682,0.6711,3.177854,0.6683111,6
temperature_max,outer_1,guide,5,8.0,3,20,20,quantile,1,0.6748986333333334,3.1661626666666667,0.68421,3.00342,0.6918,3.029006,0.6838471,8
temperature_max,outer_1,guide,5,10.0,3,20,20,quantile,1,0.6859890333333333,3.058208666666667,0.67487,2.889666,0.7034,2.932064,0.6939654,10
temperature_max,outer_1,guide,5,12.0,3,20,20,quantile,1,0.6937177999999999,2.982943,0.67775,2.855528,0.7069,2.908197,0.6964566,11
temperature_max,outer_1,guide,5,14.0,3,20,20,quantile,1,0.7000000666666666,2.92151,0.68529,2.788043,0.7139,2.880401,0.6993578,13
temperature_max,outer_1,guide,5,16.0,3,20,20,quantile,1,0.7026395000000001,2.896017,0.68563,2.723586,0.7205,2.806774,0.7070425,15
temperature_max,outer_1,guide,5,20.0,3,20,20,quantile,1,0.7122324999999999,2.8026889999999995,0.67981,2.583166,0.7349,2.710893,0.7170502,20
temperature_max,outer_1,guide,5,24.0,3,20,20,quantile,1,0.7154730666666667,2.7710139999999996,0.69253,2.516078,0.7418,2.669028,0.7214198,24
temperature_max,outer_1,guide,5,28.0,3,20,20,quantile,1,0.7190519999999999,2.7361656666666665,0.69159,2.478336,0.7456,2.628383,0.7256622,28
temperature_max,outer_1,guide,5,32.0,3,20,20,quantile,1,0.7193314333333333,2.733667333333333,0.69049,2.460147,0.7475,2.603265,0.7282838,31
