dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_min,outer_4,guide,5,2.0,3,20,20,quantile,1,0.4960673,3.1295136666666665,0.68426,3.084761,0.5037,2.949312,0.5126734,2
temperature_min,outer_4,guide,5,4.0,3,20,20,quantile,1,0.6947001333333334,1.8964746666666665,0.68755,1.85302,0.7019,1.832613,0.6971901,4
temperature_min,outer_4,guide,5,6.0,3,20,20,quantile,1,0.7333221999999999,1.6567716666666668,0.68034,1.605134,0.7417,1.621746,0.7320325,6
temperature_min,outer_4,guide,5,8.0,3,20,20,quantile,1,0.7588026999999999,1.4989080000000001,0.7004,1.452266,0.7663,1.458325,0.7590352,8
temperature_min,outer_4,guide,5,10.0,3,20,20,quantile,1,0.7676354,1.4442580000000003,0.67932,1.382098,0.7776,1.380878,0.771832,10
temperature_min,outer_4,guide,5,12.0,3,20,20,quantile,1,0.7762329333333334,1.3912273333333334,0.68021,1.328827,0.7862,1.340854,0.7784453,12
temperature_min,outer_4,guide,5,14.0,3,20,20,quantile,1,0.7797893666666665,1.3692036666666667,0.68931,1.280056,0.794,1.308031,0.7838688,14
temperature_min,outer_4,guide,5,16.0,3,20,20,quantile,1,0.7833679333333333,1.3470813333333334,0.68792,1.25826,0.7975,1.280872,0.7883565,16
temperature_min,outer_4,guide,5,20.0,3,20,20,quantile,1,0.7912242666666667,1.2979366666666667,0.67644,1.225063,0.8029,1.24385,0.7944738,20
temperature_min,outer_4,guide,5,24.0,3,20,20,quantile,1,0.7963561,1.2652406666666665,0.68657,1.197101,0.8074,1.23471,0.795984,24
temperature_min,outer_4,guide,5,28.0,3,20,20,quantile,1,0.7993831666666665,1.2459673333333334,0.68414,1.176581,0.8107,1.227925,0.7971051,28
temperature_min,outer_4,guide,5,32.0,3,20,20,quantile,1,0.7991409333333334,1.24728,0.69452,1.165314,0.8125,1.212639,0.7996308,31
