dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_4,guide,5,2.0,3,20,20,quantile,1,0.021933526666666665,311175998058.0,0.18497,310543141678.0,0.0248,310612388802.0,0.02471419,2
walmart,outer_4,guide,5,4.0,3,20,20,quantile,1,0.04312515333333333,304304477323.0,0.17632,299024110618.0,0.0609,307362000000.0,0.03492001,4
walmart,outer_4,guide,5,6.0,3,20,20,quantile,1,0.08028303333333332,292601550609.3333,0.17493,288995703984.0,0.0924,291884547710.0,0.08351737,6
walmart,outer_4,guide,5,8.0,3,20,20,quantile,1,0.09630822333333333,287422168816.0,0.18469,283310000000.0,0.1103,290865000000.0,0.08671873,8
walmart,outer_4,guide,5,10.0,3,20,20,quantile,1,0.10552015999999999,284523349898.0,0.18689,279842179763.0,0.1212,288872557176.0,0.09297466,10
walmart,outer_4,guide,5,12.0,3,20,20,quantile,1,0.10814826333333334,283617491514.6667,0.1875,278328461447.0,0.1259,286759358356.0,0.09960986,12
walmart,outer_4,guide,5,14.0,3,20,20,quantile,1,0.10819619666666667,283587576644.6667,0.18717,278328461447.0,0.1259,286759358356.0,0.09960986,12
walmart,outer_4,guide,5,16.0,3,20,20,quantile,1,0.10963487,283055987483.3333,0.18695,276584853846.0,0.1314,286723246118.0,0.09972324,16
walmart,outer_4,guide,5,20.0,3,20,20,quantile,1,0.11054358333333332,282741882545.3333,0.18828,275569379506.0,0.1346,285764778702.0,0.1027327,20
walmart,outer_4,guide,5,24.0,3,20,20,quantile,1,0.11013190333333334,282890772632.6667,0.19059,275121629321.0,0.136,285467664053.0,0.1036656,24
walmart,outer_4,guide,5,28.0,3,20,20,quantile,1,0.10980683666666667,283002125465.3333,0.18588,275086668057.0,0.1361,285494252880.0,0.1035821,27
walmart,outer_4,guide,5,32.0,3,20,20,quantile,1,0.10980683666666667,283002125465.3333,0.17725,275086668057.0,0.1361,285494252880.0,0.1035821,27
