dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_2,guide,5,2.0,3,20,20,quantile,1,0.8008105333333333,40.787036666666665,0.017254,40.43502,0.8081,74.97125,0.7480867,2
yacht,outer_2,guide,5,4.0,3,20,20,quantile,1,0.9479186000000001,10.922155666666667,0.015533,10.17881,0.9517,15.3226,0.948514,4
yacht,outer_2,guide,5,6.0,3,20,20,quantile,1,0.9861739666666667,2.8197186666666667,0.019265,2.578157,0.9878,8.996538,0.9697704,6
yacht,outer_2,guide,5,8.0,3,20,20,quantile,1,0.9902452333333333,1.9944483333333334,0.024576,1.639197,0.9922,7.106306,0.9761219,8
yacht,outer_2,guide,5,10.0,3,20,20,quantile,1,0.9916179333333334,1.7288964,0.018461,1.31204,0.9938,6.583615,0.9778782,10
yacht,outer_2,guide,5,12.0,3,20,20,quantile,1,0.9915689333333333,1.7205696666666668,0.018653,1.081774,0.9949,6.527431,0.978067,12
yacht,outer_2,guide,5,14.0,3,20,20,quantile,1,0.9918775000000001,1.663928,0.023552,0.957478,0.9955,6.231616,0.9790609,14
yacht,outer_2,guide,5,16.0,3,20,20,quantile,1,0.9920017333333333,1.6369526,0.017435,0.8646947,0.9959,6.228836,0.9790703,16
yacht,outer_2,guide,5,20.0,3,20,20,quantile,1,0.9920246666666667,1.6341607,0.026002,0.7857555,0.9963,6.211957,0.979127,20
yacht,outer_2,guide,5,24.0,3,20,20,quantile,1,0.9920246666666667,1.6341607,0.017779,0.7857555,0.9963,6.211957,0.979127,20
yacht,outer_2,guide,5,28.0,3,20,20,quantile,1,0.9920246666666667,1.6341607,0.020123,0.7857555,0.9963,6.211957,0.979127,20
yacht,outer_2,guide,5,32.0,3,20,20,quantile,1,0.9920246666666667,1.6341607,0.018506,0.7857555,0.9963,6.211957,0.979127,20
