dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_0,guide,4,20,3,2.0,,,0.4754057666666667,55947208.66666666,0.19702,69005715.0,0.3524,66785530.0,0.4023134,1.0
auction,outer_0,guide,4,20,3,4.0,,,0.8764147666666666,13157369.333333334,0.18673,11194936.0,0.8949,13919110.0,0.8754331,4.0
auction,outer_0,guide,4,20,3,6.0,,,0.9085750666666668,9776484.0,0.1935,8058618.0,0.9244,8706550.0,0.9220821,6.0
auction,outer_0,guide,4,20,3,8.0,,,0.9235875,8170122.0,0.1941,6546487.0,0.9386,7546771.0,0.9324614,8.0
auction,outer_0,guide,4,20,3,10.0,,,0.9255036666666668,7967835.333333333,0.19496,6524140.0,0.9388,7521321.0,0.9326891,9.0
auction,outer_0,guide,4,20,3,12.0,,,0.9255502666666668,7962946.666666667,0.1893,6500991.0,0.939,7494240.0,0.9329315,12.0
auction,outer_0,guide,4,20,3,14.0,,,0.9255722,7960584.333333333,0.1914,6496403.0,0.939,7490068.0,0.9329688,14.0
auction,outer_0,guide,4,20,3,16.0,,,0.9255734666666666,7960456.333333333,0.19663,6496075.0,0.939,7489782.0,0.9329714,15.0
auction,outer_1,guide,4,20,3,2.0,,,0.7450745333333334,28368745.666666668,0.18614,27647930.0,0.7511,29031682.0,0.688844,2.0
auction,outer_1,guide,4,20,3,4.0,,,0.8829507333333333,13086192.0,0.19356,11347653.0,0.8978,14568532.0,0.8438573,4.0
auction,outer_1,guide,4,20,3,6.0,,,0.9018286333333334,10943986.666666666,0.19327,8762325.0,0.9211,8418893.0,0.9097679,6.0
auction,outer_1,guide,4,20,3,8.0,,,0.9147736333333332,9530412.0,0.18973,7235687.0,0.9349,7387467.0,0.9208225,8.0
auction,outer_1,guide,4,20,3,10.0,,,0.9222907,8680449.0,0.19616,6672049.0,0.9399,6790562.0,0.9272201,10.0
auction,outer_1,guide,4,20,3,12.0,,,0.9224073333333332,8667690.666666666,0.1927,6660589.0,0.94,6784366.0,0.9272865,12.0
auction,outer_1,guide,4,20,3,14.0,,,0.9224151,8666778.0,0.1947,6656924.0,0.9401,6781399.0,0.9273183,14.0
auction,outer_1,guide,4,20,3,16.0,,,0.9224351666666668,8664624.0,0.19692,6655552.0,0.9401,6778343.0,0.927351,15.0
auction,outer_2,guide,4,20,3,2.0,,,0.4679803666666666,56318540.66666666,0.19509,27983921.0,0.7333,27646161.0,0.7651582,2.0
auction,outer_2,guide,4,20,3,4.0,,,0.8678563666666665,13944366.666666666,0.19703,14210608.0,0.8645,13602681.0,0.8844513,3.0
auction,outer_2,guide,4,20,3,6.0,,,0.9030691333333336,10153748.0,0.19558,8363535.0,0.9203,10019785.0,0.9148864,6.0
auction,outer_2,guide,4,20,3,8.0,,,0.9196008333333332,8409364.666666666,0.18876,6988834.0,0.9334,8370982.0,0.9288923,8.0
auction,outer_2,guide,4,20,3,10.0,,,0.9219197666666666,8176533.333333333,0.19384,6434241.0,0.9387,7744663.0,0.9342126,10.0
auction,outer_2,guide,4,20,3,12.0,,,0.9220256666666664,8165097.0,0.19663,6425555.0,0.9388,7727260.0,0.9343604,12.0
auction,outer_2,guide,4,20,3,14.0,,,0.9220570666666666,8161722.666666667,0.19861,6425555.0,0.9388,7727260.0,0.9343604,12.0
auction,outer_2,guide,4,20,3,16.0,,,0.9220637666666668,8161051.666666667,0.18975,6419742.0,0.9388,7724542.0,0.9343835,15.0
auction,outer_3,guide,4,20,3,2.0,,,0.5955859666666666,43281430.333333336,0.19534,28162446.0,0.7377,27094653.0,0.7497678,2.0
auction,outer_3,guide,4,20,3,4.0,,,0.8696552666666667,13975891.0,0.19683,12261644.0,0.8858,10703887.0,0.9011444,4.0
auction,outer_3,guide,4,20,3,6.0,,,0.9072204333333334,9959674.0,0.19745,8473060.0,0.9211,9763752.0,0.909827,6.0
auction,outer_3,guide,4,20,3,8.0,,,0.9221328333333334,8364774.0,0.19584,7028296.0,0.9345,8494314.0,0.9215509,8.0
auction,outer_3,guide,4,20,3,10.0,,,0.9253800666666666,8014796.666666667,0.1958,6449894.0,0.9399,7999065.0,0.9261248,10.0
auction,outer_3,guide,4,20,3,12.0,,,0.9254819333333334,8003860.333333333,0.1938,6438398.0,0.94,7983639.0,0.9262672,12.0
auction,outer_3,guide,4,20,3,14.0,,,0.9255213333333332,7999635.333333333,0.1958,6434132.0,0.9401,7984100.0,0.926263,14.0
auction,outer_3,guide,4,20,3,16.0,,,0.9255279666666668,7998917.333333333,0.1963,6432555.0,0.9401,7981997.0,0.9262824,15.0
auction,outer_4,guide,4,20,3,2.0,,,0.7447131000000001,27516445.0,0.19247,26969366.0,0.7503,31804041.0,0.6995857,2.0
auction,outer_4,guide,4,20,3,4.0,,,0.8725212333333333,13714141.666666666,0.19491,14064539.0,0.8698,14309401.0,0.8648364,3.0
auction,outer_4,guide,4,20,3,6.0,,,0.9141981333333332,9236300.333333334,0.1913,8222850.0,0.9239,10710819.0,0.8988278,6.0
auction,outer_4,guide,4,20,3,8.0,,,0.9260009,7963049.0,0.18578,6830674.0,0.9368,9139281.0,0.9136723,8.0
auction,outer_4,guide,4,20,3,10.0,,,0.9303723666666668,7488117.0,0.1946,6300669.0,0.9417,8388579.0,0.9207632,10.0
auction,outer_4,guide,4,20,3,12.0,,,0.9304520333333334,7479544.0,0.19688,6290353.0,0.9418,8377863.0,0.9208645,12.0
auction,outer_4,guide,4,20,3,14.0,,,0.9304965,7474791.0,0.1933,6286182.0,0.9418,8377853.0,0.9208646,14.0
auction,outer_4,guide,4,20,3,16.0,,,0.9305183333333332,7472408.666666667,0.18474,6284555.0,0.9418,8374230.0,0.9208988,15.0
auction,mean,guide,4,20,3,2.0,,,0.6057519466666668,42286474.06666666,0.193212,35953875.6,0.66496,36472413.4,0.66113382,1.8
auction,mean,guide,4,20,3,4.0,,,0.8738796733333333,13575592.133333335,0.193812,12615876.0,0.88256,13420722.2,0.8739445,3.6
auction,mean,guide,4,20,3,6.0,,,0.90697828,10014038.6,0.19422,8376077.6,0.9221600000000001,9523959.8,0.9110782399999999,6.0
auction,mean,guide,4,20,3,8.0,,,0.92121914,8487544.333333332,0.190842,6925995.6,0.93564,8187763.0,0.92347988,8.0
auction,mean,guide,4,20,3,10.0,,,0.9250933133333333,8065546.266666666,0.195072,6476198.6,0.9398,7688838.0,0.92820196,9.8
auction,mean,guide,4,20,3,12.0,,,0.9251834466666666,8055827.733333332,0.193862,6463177.2,0.9399200000000001,7673473.6,0.92834202,12.0
auction,mean,guide,4,20,3,14.0,,,0.9252124399999999,8052702.266666666,0.19476200000000002,6459839.2,0.9399599999999999,7672136.0,0.92835502,13.6
auction,mean,guide,4,20,3,16.0,,,0.9252237400000001,8051491.6,0.19286799999999998,6457695.8,0.9399599999999999,7669778.8,0.92837742,15.0
auction,std,guide,4,20,3,2.0,,,0.13674379998456082,14109938.193498546,0.004275508156932931,18482158.858774193,0.17489870782827413,17043241.653112367,0.14824933811417848,0.4472135954999579
auction,std,guide,4,20,3,4.0,,,0.00601419200416815,427157.05929530266,0.004209741084674927,1448683.4549467666,0.014866169647895172,1562842.7827672558,0.021451342764848058,0.5477225575051661
auction,std,guide,4,20,3,6.0,,,0.0049126097062445265,622211.1041072435,0.0023574244420553492,265993.06934824446,0.0018541844568434752,948855.7717533784,0.008499160107504773,0.0
auction,std,guide,4,20,3,8.0,,,0.004285809898724029,609222.8405093023,0.004086247667481734,256629.97900147986,0.0020598543637839932,721850.6863552184,0.007364327014873832,0.0
auction,std,guide,4,20,3,10.0,,,0.003392825569132028,428943.76287116914,0.0009309779804055487,135940.03243084796,0.0012083045973594632,596648.2227200547,0.005405460471874762,0.44721359549995804
auction,std,guide,4,20,3,12.0,,,0.003378610529295647,427125.996146817,0.0031199391019697863,134442.31573503936,0.0011882760622010178,595377.3985383557,0.005445560814737106,0.0
auction,std,guide,4,20,3,14.0,,,0.003388496140653292,428444.1909631613,0.002707807230952756,134324.6249527614,0.0011928956366757373,596857.9890882755,0.005452276649437371,0.8944271909999161
auction,std,guide,4,20,3,16.0,,,0.0033915023910584033,428463.31964017375,0.005434525738277457,134787.1713617435,0.0011928956366757373,596612.8014044788,0.005444034651065344,0.0
auction,best_by_mean_val_r2,guide,4,20,3,16.0,,,0.9252237400000001,8051491.6,0.19286799999999998,6457695.8,0.9399599999999999,7669778.8,0.92837742,15.0
