dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_0,guide,4,20,3,2.0,,,0.9496918333333334,4.563573333333333,0.042539,4843.257,0.9524,4623.743,-52.07723,2.0
energe_c,outer_0,guide,4,20,3,4.0,,,0.9649814666666666,3.1909776666666665,0.044786,4841.653,0.97,4621.952,-52.05666,4.0
energe_c,outer_0,guide,4,20,3,6.0,,,0.9642233333333334,3.2673430000000003,0.044084,5320.371,0.9728,6696.524,-75.87125,6.0
energe_c,outer_0,guide,4,20,3,8.0,,,0.9650221,3.190071333333333,0.045205,5320.199,0.9747,6696.731,-75.87362,8.0
energe_c,outer_0,guide,4,20,3,10.0,,,0.9663836666666666,3.069710666666667,0.044078,5320.093,0.9758,6697.009,-75.87682,10.0
energe_c,outer_0,guide,4,20,3,12.0,,,0.9282048666666666,6.655140333333335,0.038316,5320.061,0.9762,6696.977,-75.87644,12.0
energe_c,outer_0,guide,4,20,3,14.0,,,0.9136684333333333,8.020234333333333,0.044252,5320.046,0.9763,6696.984,-75.87653,14.0
energe_c,outer_0,guide,4,20,3,16.0,,,0.8991229666666666,9.277580666666664,0.044852,5321.095,0.9648,6697.081,-75.87763,15.0
energe_c,outer_1,guide,4,20,3,2.0,,,-2.6607768000000003,350.33145,0.044653,4.455711,0.9505,4.922069,0.9462284,2.0
energe_c,outer_1,guide,4,20,3,4.0,,,0.9657024666666666,3.0821953333333334,0.044627,98639.47,0.9696,91779.17,-1001.651,4.0
energe_c,outer_1,guide,4,20,3,6.0,,,0.9608675666666668,3.497215,0.035286,98639.16,0.973,91778.86,-1001.647,6.0
energe_c,outer_1,guide,4,20,3,8.0,,,0.9582705666666668,3.726120666666666,0.043863,98639.07,0.974,91778.88,-1001.647,7.0
energe_c,outer_1,guide,4,20,3,10.0,,,0.9572816666666668,3.819145666666667,0.045564,2.102582,0.9766,2.942397,0.9678555,10.0
energe_c,outer_1,guide,4,20,3,12.0,,,0.9568231333333332,3.860256666666667,0.045719,2.035019,0.9774,2.985965,0.9673795,12.0
energe_c,outer_1,guide,4,20,3,14.0,,,0.9302355666666668,6.233925999999999,0.041581,2.004856,0.9777,3.110976,0.9660138,14.0
energe_c,outer_1,guide,4,20,3,16.0,,,0.9085065,8.17861,0.044114,2.057747,0.9771,3.265156,0.9643295,15.0
energe_c,outer_2,guide,4,20,3,2.0,,,-31888.799869433336,2952985.068139,0.044188,7511.388,0.9487,7766.778,-84.56342,2.0
