dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_h,outer_0,guide,4,20,3,2.0,,,0.9693815999999998,3.1586806666666667,0.042176,164600.5,0.9711,159682.0,-1712.852,2.0
energe_h,outer_0,guide,4,20,3,4.0,,,0.9858298333333332,1.4574470000000002,0.043222,164598.8,0.9873,159680.1,-1712.831,4.0
energe_h,outer_0,guide,4,20,3,6.0,,,0.9921376666666668,0.7988998666666666,0.043761,0.3984176,0.9962,0.4650721,0.9950084,6.0
energe_h,outer_0,guide,4,20,3,8.0,,,0.9961977333333332,0.3926781,0.044324,0.2748156,0.9973,0.3489317,0.996255,8.0
energe_h,outer_0,guide,4,20,3,10.0,,,0.9965233333333332,0.3607975666666667,0.035094,0.2397734,0.9977,0.3177589,0.9965895,9.0
energe_h,outer_0,guide,4,20,3,12.0,,,0.9834463666666666,1.7700013666666663,0.045506,0.2156586,0.9979,0.3181754,0.9965851,12.0
energe_h,outer_0,guide,4,20,3,14.0,,,0.9660788666666664,3.5939134,0.046063,0.2090935,0.998,0.3361165,0.9963925,14.0
energe_h,outer_0,guide,4,20,3,16.0,,,0.9651010333333332,3.6954164666666673,0.044559,0.2088226,0.998,0.3362871,0.9963907,15.0
energe_h,outer_1,guide,4,20,3,2.0,,,0.949751,5.2079596666666665,0.04305,3.124931,0.9692,3.095169,0.9699369,2.0
energe_h,outer_1,guide,4,20,3,4.0,,,0.982465,1.8140317333333331,0.044341,1.336458,0.9868,1.371884,0.986675,4.0
energe_h,outer_1,guide,4,20,3,6.0,,,0.9957003,0.4379558333333334,0.043615,26342.43,0.9961,23724.15,-229.4305,6.0
energe_h,outer_1,guide,4,20,3,8.0,,,0.9966756666666666,0.3391150666666667,0.044148,0.314708,0.9969,0.3062847,0.9970251,8.0
energe_h,outer_1,guide,4,20,3,10.0,,,0.9964739666666668,0.3593658999999999,0.036379,0.2560585,0.9975,0.2482048,0.9975892,10.0
