dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_0,guide,4,20,3,2.0,,,0.7889830999999999,0.0090047633333333,0.037646,0.005015616,0.8827,0.009725201,0.7334145,2.0
optical_net,outer_0,guide,4,20,3,4.0,,,0.7271989333333333,0.011714409,0.032862,0.002869784,0.9329,0.009956858,0.7270643,4.0
optical_net,outer_0,guide,4,20,3,6.0,,,0.7419572,0.0110894603333333,0.03843,0.001952815,0.9543,0.008863789,0.7570273,6.0
optical_net,outer_0,guide,4,20,3,8.0,,,0.7338380333333333,0.011480577,0.039634,0.001487333,0.9652,0.00587286,0.8390142,8.0
optical_net,outer_0,guide,4,20,3,10.0,,,0.53414542,0.0200683923333333,0.033803,0.001090411,0.9745,0.005384673,0.8523963,10.0
optical_net,outer_0,guide,4,20,3,12.0,,,0.7275107333333334,0.0117711306666666,0.03897,0.0009540683,0.9777,0.004719245,0.8706369,12.0
optical_net,outer_0,guide,4,20,3,14.0,,,0.7000754333333333,0.0129141793333333,0.032346,0.001967009,0.954,0.005004922,0.862806,14.0
optical_net,outer_0,guide,4,20,3,16.0,,,0.7050268666666666,0.0126903026666666,0.031441,0.001967009,0.954,0.005004922,0.862806,14.0
optical_net,outer_1,guide,4,20,3,2.0,,,0.8230236,0.007287946,0.03816,0.00548529,0.8668,0.006119195,0.8570171,2.0
optical_net,outer_1,guide,4,20,3,4.0,,,0.7621365,0.010006846,0.033277,0.003063015,0.9256,0.003937468,0.9079959,4.0
optical_net,outer_1,guide,4,20,3,6.0,,,0.7644524,0.0099119253333333,0.038897,0.002412083,0.9414,0.00335968,0.9214967,6.0
optical_net,outer_1,guide,4,20,3,8.0,,,0.6924952666666666,0.0127119533333333,0.039521,0.001808655,0.9561,0.001785365,0.9582826,8.0
optical_net,outer_1,guide,4,20,3,10.0,,,0.6256767,0.0155819993333333,0.031692,0.001319283,0.968,0.001509552,0.9647274,10.0
optical_net,outer_1,guide,4,20,3,12.0,,,-0.0023170999999999,0.042123532,0.040435,0.001179292,0.9714,0.001514383,0.9646145,12.0
optical_net,outer_1,guide,4,20,3,14.0,,,-0.0082171,0.042348355,0.041308,0.00133241,0.9676,0.001565904,0.9634106,13.0
optical_net,outer_1,guide,4,20,3,16.0,,,-0.0144073666666666,0.0425913303333333,0.040433,0.00133241,0.9676,0.001565904,0.9634106,13.0
optical_net,outer_2,guide,4,20,3,2.0,,,0.8360763999999999,0.006836307,0.033447,0.005720455,0.8647,0.004613531,0.8793435,2.0
optical_net,outer_2,guide,4,20,3,4.0,,,0.822563,0.0073549336666666,0.039101,0.003842008,0.9091,0.005133566,0.8657432,4.0
optical_net,outer_2,guide,4,20,3,6.0,,,0.7436344333333333,0.0107915996666666,0.039062,0.002204144,0.9479,0.004308298,0.8873262,6.0
optical_net,outer_2,guide,4,20,3,8.0,,,0.7443471333333332,0.0107462093333333,0.040089,0.001720404,0.9593,0.005524043,0.8555311,8.0
optical_net,outer_2,guide,4,20,3,10.0,,,0.4035967,0.025601196,0.039583,0.001394148,0.967,0.004874207,0.8725261,10.0
optical_net,outer_2,guide,4,20,3,12.0,,,0.4000205666666667,0.025762678,0.041088,0.001277029,0.9698,0.00483789,0.8734759,12.0
optical_net,outer_2,guide,4,20,3,14.0,,,0.3962399333333333,0.0259329316666666,0.041537,0.001223697,0.9711,0.004803693,0.8743703,14.0
optical_net,outer_2,guide,4,20,3,16.0,,,0.3824331666666666,0.0264359466666666,0.040484,0.001720851,0.9593,0.005123981,0.8659938,15.0
optical_net,outer_3,guide,4,20,3,2.0,,,0.8439688666666667,0.0060320589999999,0.038189,0.005173965,0.8666,0.007397336,0.8567071,2.0
optical_net,outer_3,guide,4,20,3,4.0,,,0.8813120333333333,0.0045683323333333,0.038259,0.00312236,0.9195,0.006595057,0.8722479,4.0
optical_net,outer_3,guide,4,20,3,6.0,,,0.8240206,0.0066499133333333,0.038934,0.002634965,0.9321,0.005170524,0.8998424,5.0
optical_net,outer_3,guide,4,20,3,8.0,,,0.8464181666666667,0.0058123603333333,0.043783,0.001679879,0.9567,0.004669268,0.9095522,8.0
optical_net,outer_3,guide,4,20,3,10.0,,,0.8382231666666667,0.006123228,0.03885,0.001391099,0.9641,0.004628006,0.9103514,10.0
optical_net,outer_3,guide,4,20,3,12.0,,,0.7111501333333333,0.010853334,0.031355,0.001167144,0.9699,0.004508792,0.9126607,12.0
optical_net,outer_3,guide,4,20,3,14.0,,,0.7097926,0.010904945,0.039456,0.001056111,0.9728,0.004208457,0.9184785,14.0
optical_net,outer_3,guide,4,20,3,16.0,,,0.6962041666666666,0.011411837,0.039743,0.001676298,0.9568,0.00508017,0.9015926,15.0
optical_net,outer_4,guide,4,20,3,2.0,,,0.8602965666666668,0.0059315349999999,0.032924,0.00473816,0.8885,0.01308618,0.6487738,2.0
optical_net,outer_4,guide,4,20,3,4.0,,,0.8311540333333333,0.0071387513333333,0.03598,0.002944642,0.9307,0.0698523,-0.8747987,4.0
optical_net,outer_4,guide,4,20,3,6.0,,,0.8206533,0.0075859053333333,0.038724,0.001962645,0.9538,0.07009781,-0.8813881,6.0
optical_net,outer_4,guide,4,20,3,8.0,,,0.8100622666666667,0.0080359136666666,0.031051,0.001415021,0.9667,0.06969255,-0.870511,8.0
optical_net,outer_4,guide,4,20,3,10.0,,,0.8457105666666666,0.0065348946666666,0.035478,0.001131299,0.9734,0.06956305,-0.8670353,10.0
optical_net,outer_4,guide,4,20,3,12.0,,,0.8442904999999999,0.0065870616666666,0.03937,0.0009700914,0.9772,0.04390068,-0.178271,12.0
optical_net,outer_4,guide,4,20,3,14.0,,,0.8303087666666666,0.0071780759999999,0.039942,0.0008666122,0.9796,0.04177865,-0.1213167,14.0
optical_net,outer_4,guide,4,20,3,16.0,,,0.8172541,0.007731939,0.039746,0.001093658,0.9743,0.0418082,-0.12211,15.0
optical_net,mean,guide,4,20,3,2.0,,,0.8304697066666666,0.00701852206666662,0.0360732,0.0052266972,0.87386,0.0081882886,0.7950512,2.0
optical_net,mean,guide,4,20,3,4.0,,,0.8048729,0.008156654466666639,0.0358958,0.0031683617999999996,0.9235599999999999,0.019095049800000003,0.49965052,4.0
optical_net,mean,guide,4,20,3,6.0,,,0.7789435866666666,0.009205760799999959,0.0388094,0.0022333303999999997,0.9459,0.0183600202,0.5168609,5.8
optical_net,mean,guide,4,20,3,8.0,,,0.7654321733333334,0.0097574027333333,0.0388156,0.0016222583999999998,0.9608000000000001,0.017508817200000002,0.53837382,8.0
optical_net,mean,guide,4,20,3,10.0,,,0.6494705106666666,0.01478194206666664,0.0358812,0.001265248,0.9693999999999999,0.0171918976,0.54659318,10.0
