dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_0,guide,4,20,3,2.0,,,0.5968802333333333,69.26701333333334,0.029379,53.14234,0.6935,85.65452,0.6136336,2.0
real_estate,outer_0,guide,4,20,3,4.0,,,0.6180520666666666,65.73513333333334,0.030076,37.06589,0.7862,92.50971,0.5827115,4.0
real_estate,outer_0,guide,4,20,3,6.0,,,0.5765071666666667,73.37893666666666,0.030244,31.16976,0.8202,95.98213,0.5670482,6.0
real_estate,outer_0,guide,4,20,3,8.0,,,0.5596693333333334,76.03688666666666,0.029545,28.9063,0.8333,97.03473,0.5623002,7.0
real_estate,outer_0,guide,4,20,3,10.0,,,0.4936072333333333,88.13873666666666,0.029963,24.54606,0.8584,107.5245,0.5149836,9.0
real_estate,outer_0,guide,4,20,3,12.0,,,0.4741666333333333,91.56576333333334,0.031183,23.58913,0.8639,109.058,0.5080662,12.0
real_estate,outer_0,guide,4,20,3,14.0,,,0.4616937666666666,93.61988333333332,0.034812,29.09346,0.8322,109.8584,0.5044556,14.0
real_estate,outer_0,guide,4,20,3,16.0,,,0.4487903666666666,95.65291333333334,0.029937,29.50966,0.8298,132.2293,0.4035461,15.0
real_estate,outer_1,guide,4,20,3,2.0,,,0.6396368333333333,66.93801333333333,0.02728,55.54679,0.6916,75.63416,0.6208461,2.0
real_estate,outer_1,guide,4,20,3,4.0,,,0.5805318666666667,74.03051666666667,0.031355,35.65449,0.802,125.4695,0.3710218,4.0
real_estate,outer_1,guide,4,20,3,6.0,,,0.4479992666666667,98.82489333333336,0.030654,28.06207,0.8442,144.0221,0.2780178,6.0
real_estate,outer_1,guide,4,20,3,8.0,,,0.4322643,101.65877333333331,0.030442,23.60949,0.8689,150.1209,0.2474441,8.0
real_estate,outer_1,guide,4,20,3,10.0,,,0.3932594999999999,109.38109,0.030673,22.14179,0.8771,159.1565,0.2021488,9.0
real_estate,outer_1,guide,4,20,3,12.0,,,0.3885631,110.26812,0.02773,20.85806,0.8842,152.9292,0.2333661,12.0
real_estate,outer_1,guide,4,20,3,14.0,,,0.4342511,100.67349333333334,0.023509,23.84968,0.8676,144.1211,0.277521,14.0
real_estate,outer_1,guide,4,20,3,16.0,,,0.4362275333333333,100.23158666666669,0.031459,25.16984,0.8603,141.81,0.2891069,15.0
real_estate,outer_2,guide,4,20,3,2.0,,,0.6448705666666666,69.22089333333334,0.028859,62.14467,0.6629,74.94909,0.5823407,2.0
real_estate,outer_2,guide,4,20,3,4.0,,,0.4635366666666667,98.4794,0.029685,52.71766,0.7141,71.67741,0.6005724,3.0
real_estate,outer_2,guide,4,20,3,6.0,,,-0.8146496666666666,381.9922266666667,0.029974,35.72964,0.8062,67.69362,0.6227723,6.0
real_estate,outer_2,guide,4,20,3,8.0,,,-0.8214843666666667,382.6210466666666,0.031395,29.85102,0.8381,59.53052,0.6682618,8.0
real_estate,outer_2,guide,4,20,3,10.0,,,-26.33018433333333,6082.886,0.03035,27.32284,0.8518,56.89948,0.6829234,10.0
real_estate,outer_2,guide,4,20,3,12.0,,,-26.3173209,6081.401133333333,0.032809,31.02756,0.8317,61.24122,0.6587288,12.0
real_estate,outer_2,guide,4,20,3,14.0,,,-8.143045333333331,2007.388776666667,0.028531,31.49605,0.8292,61.0029,0.6600568,13.0
real_estate,outer_2,guide,4,20,3,16.0,,,-8.144750799999999,2007.7407100000005,0.032296,36.22745,0.8035,65.93938,0.6325479,15.0
real_estate,outer_3,guide,4,20,3,2.0,,,0.6379591666666667,71.75633333333333,0.029355,81.11351,0.5884,63.09319,0.5253065,1.0
real_estate,outer_3,guide,4,20,3,4.0,,,0.4465052666666667,108.47911333333332,0.024016,48.79582,0.7524,6687.228,-49.31262,3.0
real_estate,outer_3,guide,4,20,3,6.0,,,0.0636828233333333,178.43703333333335,0.02862,32.36157,0.8358,6696.927,-49.3856,6.0
real_estate,outer_3,guide,4,20,3,8.0,,,0.0625217366666666,178.52283333333332,0.029114,27.02922,0.8628,6691.341,-49.34357,8.0
real_estate,outer_3,guide,4,20,3,10.0,,,0.0485644,181.3123666666667,0.026822,24.86679,0.8738,6694.749,-49.36921,10.0
real_estate,outer_3,guide,4,20,3,12.0,,,0.0768193666666666,175.9295,0.038597,23.17528,0.8824,6694.426,-49.36678,12.0
real_estate,outer_3,guide,4,20,3,14.0,,,0.0817774,175.2957,0.029307,24.11972,0.8776,67.1407,0.4948542,14.0
real_estate,outer_3,guide,4,20,3,16.0,,,0.1074967999999999,169.5633,0.0242,24.11972,0.8776,67.1407,0.4948542,14.0
real_estate,outer_4,guide,4,20,3,2.0,,,0.5573868000000001,80.91103,0.024895,83.61783,0.554,51.76694,0.701338,1.0
real_estate,outer_4,guide,4,20,3,4.0,,,0.0813734999999999,157.84650000000002,0.029585,47.42671,0.7471,39.18765,0.7739124,4.0
real_estate,outer_4,guide,4,20,3,6.0,,,0.0669870333333333,160.63133333333334,0.030992,37.51211,0.7999,39.955,0.7694853,6.0
