dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_0,guide,4,20,3,2.0,,,0.5307703333333333,195236.56666666665,0.34735,192004.0,0.5386,185272.4,0.5540682,2.0
seoul_bike,outer_0,guide,4,20,3,4.0,,,0.5661406333333333,180529.56666666665,0.34518,169595.0,0.5924,165911.3,0.6006685,4.0
seoul_bike,outer_0,guide,4,20,3,6.0,,,0.6063208666666667,163794.63333333333,0.34046,151127.3,0.6368,153449.9,0.6306617,6.0
seoul_bike,outer_0,guide,4,20,3,8.0,,,0.6273209666666667,155075.1,0.3488,140001.7,0.6635,145279.0,0.6503283,8.0
seoul_bike,outer_0,guide,4,20,3,10.0,,,0.6550319333333333,143547.19999999998,0.33957,132336.5,0.682,137034.8,0.6701713,10.0
seoul_bike,outer_0,guide,4,20,3,12.0,,,0.6745547333333333,135419.69999999998,0.34672,126000.9,0.6972,131569.4,0.6833258,12.0
seoul_bike,outer_0,guide,4,20,3,14.0,,,0.6827036999999999,132021.03333333333,0.35404,121054.6,0.7091,127727.4,0.6925733,14.0
seoul_bike,outer_0,guide,4,20,3,16.0,,,0.6838075,131557.23333333334,0.34792,120088.8,0.7114,130417.6,0.6860982,15.0
seoul_bike,outer_1,guide,4,20,3,2.0,,,0.5443396666666667,192337.2666666667,0.35503,191284.2,0.5468,193105.4,0.5050055,2.0
seoul_bike,outer_1,guide,4,20,3,4.0,,,0.5837270333333334,175718.7666666667,0.35303,168066.1,0.6019,176287.5,0.5481155,4.0
seoul_bike,outer_1,guide,4,20,3,6.0,,,0.6319948000000001,155340.93333333332,0.34941,149085.7,0.6468,155935.3,0.6002849,6.0
seoul_bike,outer_1,guide,4,20,3,8.0,,,0.6487374333333333,148272.26666666666,0.35089,135795.0,0.6783,148810.8,0.6185474,8.0
seoul_bike,outer_1,guide,4,20,3,10.0,,,0.6673568666666666,140428.6,0.3525,126934.6,0.6993,141066.4,0.6383991,10.0
seoul_bike,outer_1,guide,4,20,3,12.0,,,0.6812346000000001,134569.4,0.37659,120109.5,0.7155,140721.3,0.6392836,12.0
seoul_bike,outer_1,guide,4,20,3,14.0,,,0.6879472999999999,131737.43333333332,0.35234,116555.3,0.7239,140878.6,0.6388805,14.0
seoul_bike,outer_1,guide,4,20,3,16.0,,,0.6908676333333333,130504.7,0.36559,115845.1,0.7256,143964.4,0.6309706,15.0
seoul_bike,outer_2,guide,4,20,3,2.0,,,0.5340362333333334,194406.9,0.34961,193048.5,0.5373,184371.0,0.5515352,2.0
seoul_bike,outer_2,guide,4,20,3,4.0,,,0.5669708666666667,180682.2333333333,0.35734,180794.8,0.5666,172301.3,0.5808936,3.0
seoul_bike,outer_2,guide,4,20,3,6.0,,,0.6225465666666666,157538.33333333334,0.35517,151312.3,0.6373,151801.7,0.6307571,6.0
seoul_bike,outer_2,guide,4,20,3,8.0,,,0.6455801999999999,147820.59999999998,0.3576,137901.0,0.6694,135275.7,0.6709549,8.0
seoul_bike,outer_2,guide,4,20,3,10.0,,,0.6587784333333333,142343.13333333333,0.35726,133578.3,0.6798,132626.5,0.6773988,9.0
seoul_bike,outer_2,guide,4,20,3,12.0,,,0.6767927,134823.66666666666,0.35453,122776.1,0.7057,124495.8,0.6971759,12.0
seoul_bike,outer_2,guide,4,20,3,14.0,,,0.6829483,132233.5,0.35739,117861.8,0.7175,117832.1,0.7133847,14.0
seoul_bike,outer_2,guide,4,20,3,16.0,,,0.6767845333333332,134876.43333333332,0.3581,117252.8,0.7189,120393.0,0.7071556,15.0
