dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_max,outer_0,guide,4,20,3,2.0,,,0.7873578,2.069093666666667,0.7164,1.969771,0.7977,1.963312,0.7957379,2.0
temperature_max,outer_0,guide,4,20,3,4.0,,,0.8070862999999999,1.877239,0.68537,1.757995,0.8194,1.8456,0.8079846,4.0
temperature_max,outer_0,guide,4,20,3,6.0,,,0.8185352,1.7664766666666667,0.68647,1.580592,0.8376,1.773097,0.8155277,6.0
temperature_max,outer_0,guide,4,20,3,8.0,,,0.8314380333333333,1.6406349999999998,0.68858,1.465549,0.8495,1.657467,0.8275579,8.0
temperature_max,outer_0,guide,4,20,3,10.0,,,0.8372487666666667,1.5839513333333333,0.69015,1.375025,0.8588,1.578343,0.8357899,10.0
temperature_max,outer_0,guide,4,20,3,12.0,,,0.8363513666666668,1.592238,0.69382,1.342314,0.8621,1.559947,0.8377038,11.0
temperature_max,outer_0,guide,4,20,3,14.0,,,-7.1738833333333336e+16,6.982143333333334e+17,0.69289,1.247226,0.8719,1.512286,0.8426624,14.0
temperature_max,outer_0,guide,4,20,3,16.0,,,-7.1738833333333336e+16,6.982143333333334e+17,0.69095,1.23601,0.873,1.508762,0.8430291,15.0
temperature_max,outer_1,guide,4,20,3,2.0,,,0.7947986,1.9987803333333332,0.68497,1.960087,0.7988,1.982101,0.7931179,2.0
temperature_max,outer_1,guide,4,20,3,4.0,,,0.8072403333333332,1.877373,0.68199,1.77184,0.8182,1.839282,0.8080247,4.0
temperature_max,outer_1,guide,4,20,3,6.0,,,0.8155140666666667,1.7967483333333334,0.68189,1.617199,0.834,1.765013,0.8157766,6.0
temperature_max,outer_1,guide,4,20,3,8.0,,,0.8250694333333333,1.703704,0.68154,1.486991,0.8474,1.731755,0.8192478,8.0
temperature_max,outer_1,guide,4,20,3,10.0,,,0.8292346333333332,1.663328,0.68391,1.3965,0.8567,1.729475,0.8194858,10.0
temperature_max,outer_1,guide,4,20,3,12.0,,,0.8157517333333333,1.7908816666666667,0.68391,1.317616,0.8648,1.619237,0.8309919,12.0
temperature_max,outer_1,guide,4,20,3,14.0,,,-3924.510399066667,38350.730389,0.68241,1.270408,0.8696,1.572528,0.8358672,14.0
temperature_max,outer_1,guide,4,20,3,16.0,,,-3924.5102159,38350.72869633334,0.7061,1.251676,0.8715,1.558568,0.8373242,15.0
temperature_max,outer_2,guide,4,20,3,2.0,,,0.7959974333333332,1.9931333333333332,0.68563,1.94779,0.8007,2.039574,0.7845029,2.0
temperature_max,outer_2,guide,4,20,3,4.0,,,0.8074099666666666,1.8821146666666664,0.68284,1.73382,0.8226,1.854299,0.8040788,4.0
temperature_max,outer_2,guide,4,20,3,6.0,,,0.8169754,1.789661,0.69072,1.583724,0.8379,1.739319,0.8162273,6.0
temperature_max,outer_2,guide,4,20,3,8.0,,,0.8243213333333334,1.7168789999999998,0.67186,1.476617,0.8489,1.63939,0.8267856,8.0
