dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_min,outer_0,guide,4,20,3,2.0,,,0.8452117666666666,0.9400646,0.69958,0.9171612,0.8491,1.003554,0.8480219,2.0
temperature_min,outer_0,guide,4,20,3,4.0,,,0.2290632666666666,4.6996514000000005,0.68542,471.0254,0.8626,425.1296,-63.3816,4.0
temperature_min,outer_0,guide,4,20,3,6.0,,,-301.2612434,1882.4756376666664,0.68197,60388.87,0.8695,54653.78,-8275.764,6.0
temperature_min,outer_0,guide,4,20,3,8.0,,,-938.7873755,5853.301499,0.68553,60388.86,0.8717,54653.76,-8275.762,7.0
temperature_min,outer_0,guide,4,20,3,10.0,,,-1048.3955056,6521.8715526666665,0.68429,65500.29,0.8777,59648.92,-9032.227,10.0
temperature_min,outer_0,guide,4,20,3,12.0,,,-1074.9986364666668,6687.56958,0.68857,65500.27,0.8809,59648.91,-9032.226,12.0
temperature_min,outer_0,guide,4,20,3,14.0,,,-1075.385187266667,6689.926092666666,0.69031,65500.26,0.8833,59648.89,-9032.224,14.0
temperature_min,outer_0,guide,4,20,3,16.0,,,-2303.5107209,14181.061346333334,0.68874,100284.7,0.8836,89918.8,-13616.3,15.0
temperature_min,outer_1,guide,4,20,3,2.0,,,0.8488692000000001,0.9367750666666668,0.68859,0.8929538,0.8558,0.8949543,0.8542575,2.0
temperature_min,outer_1,guide,4,20,3,4.0,,,0.8629762,0.8487104666666667,0.68378,0.821681,0.8673,0.8262274,0.8654496,4.0
temperature_min,outer_1,guide,4,20,3,6.0,,,0.8658303666666667,0.8305830333333333,0.6697,0.7727464,0.8752,0.8097343,0.8681355,6.0
temperature_min,outer_1,guide,4,20,3,8.0,,,-1.0259636666666666e+18,6.140696666666667e+18,0.688,0.7417616,0.8802,0.789619,0.8714113,8.0
temperature_min,outer_1,guide,4,20,3,10.0,,,-1.0259636666666666e+18,6.140696666666667e+18,0.6841,0.7137488,0.8848,0.8178213,0.8668185,10.0
