dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_0,guide,4,20,3,2.0,,,0.06626928,297416645191.3333,0.60556,297016272187.0,0.0683,298376435298.0,0.05873833,2.0
walmart,outer_0,guide,4,20,3,4.0,,,0.0859995766666666,291084966220.3333,0.60702,282690695130.0,0.1132,287890383107.0,0.09181775,4.0
walmart,outer_0,guide,4,20,3,6.0,,,0.1253564333333333,278409046540.0,0.60696,269454223539.0,0.1548,274364549730.0,0.1344865,6.0
walmart,outer_0,guide,4,20,3,8.0,,,0.1392404666666666,273881756548.3333,0.60834,258708000000.0,0.1885,270099623142.0,0.1479407,8.0
walmart,outer_0,guide,4,20,3,10.0,,,0.1532357666666666,269482634323.3333,0.60689,255957869076.0,0.1971,268779072011.0,0.1521065,9.0
walmart,outer_0,guide,4,20,3,12.0,,,0.1655797666666666,265602062539.0,0.6086,249099212826.0,0.2186,262094592125.0,0.1731934,12.0
walmart,outer_0,guide,4,20,3,14.0,,,0.1681230666666666,264761995202.3333,0.60163,246784322249.0,0.2259,260501456235.0,0.1782192,14.0
walmart,outer_0,guide,4,20,3,16.0,,,0.1698370333333333,264220535418.0,0.60763,245965470916.0,0.2284,260621682262.0,0.1778399,15.0
walmart,outer_1,guide,4,20,3,2.0,,,0.06627065,295348386709.0,0.60038,294256000000.0,0.0704,306277608485.0,0.06012118,2.0
walmart,outer_1,guide,4,20,3,4.0,,,0.0931670466666666,286886577229.0,0.6053,287574880344.0,0.0915,299640824990.0,0.08048758,3.0
walmart,outer_1,guide,4,20,3,6.0,,,0.1193541,278573103184.3333,0.61026,268978747566.0,0.1503,279787141573.0,0.1414129,6.0
walmart,outer_1,guide,4,20,3,8.0,,,0.1370525666666666,272936322343.3333,0.59881,261127659378.0,0.1751,271932199095.0,0.1655175,8.0
walmart,outer_1,guide,4,20,3,10.0,,,0.1403593,271881713586.0,0.59543,255429459828.0,0.1931,265922267992.0,0.1839602,10.0
walmart,outer_1,guide,4,20,3,12.0,,,0.1479601666666666,269488601884.66663,0.60016,253010567198.0,0.2007,265408115614.0,0.185538,11.0
walmart,outer_1,guide,4,20,3,14.0,,,0.1486511,269280822844.3333,0.59968,247888785347.0,0.2169,262594000000.0,0.1941736,14.0
walmart,outer_1,guide,4,20,3,16.0,,,0.1502159666666666,268781788553.0,0.60948,246516721129.0,0.2212,261882824212.0,0.1963561,15.0
walmart,outer_2,guide,4,20,3,2.0,,,0.0619358033333333,299341846958.6667,0.58476,298056247837.0,0.0668,290591244762.0,0.07666481,2.0
walmart,outer_2,guide,4,20,3,4.0,,,0.0846740566666666,292166677229.3333,0.58828,291839196775.0,0.0863,286615000000.0,0.08929896,3.0
walmart,outer_2,guide,4,20,3,6.0,,,0.1007416666666666,286997445651.6667,0.59475,275006367017.0,0.139,265767000000.0,0.1555422,6.0
walmart,outer_2,guide,4,20,3,8.0,,,0.11508327,282505827542.3333,0.59664,268454235851.0,0.1595,261755389510.0,0.1682889,8.0
walmart,outer_2,guide,4,20,3,10.0,,,0.1237791366666666,279709150347.6667,0.59335,263613900015.0,0.1746,259674710964.0,0.1749001,10.0
walmart,outer_2,guide,4,20,3,12.0,,,0.1258528433333333,279082748371.3333,0.61262,259320246136.0,0.1881,258828305799.0,0.1775895,12.0
walmart,outer_2,guide,4,20,3,14.0,,,0.1325262966666666,276965240495.6667,0.58692,256570160052.0,0.1967,257496822637.0,0.1818202,14.0
walmart,outer_2,guide,4,20,3,16.0,,,0.1322271533333333,276987196523.6667,0.5953,256048051636.0,0.1983,257732052182.0,0.1810728,15.0
walmart,outer_3,guide,4,20,3,2.0,,,0.0649115066666666,298183699793.3333,0.59086,297525783826.0,0.0676,296244829626.0,0.06149749,2.0
walmart,outer_3,guide,4,20,3,4.0,,,0.0856136133333333,291614281537.6667,0.58881,283662325919.0,0.1111,290206389266.0,0.08062724,4.0
walmart,outer_3,guide,4,20,3,6.0,,,0.1288098666666666,277970584117.3333,0.59263,272226524797.0,0.1469,281831541453.0,0.1071587,6.0
walmart,outer_3,guide,4,20,3,8.0,,,0.1407725,274040053352.3333,0.59591,264895746648.0,0.1699,281021695621.0,0.1097243,8.0
walmart,outer_3,guide,4,20,3,10.0,,,0.1548736,269573986624.0,0.59592,258437105856.0,0.1901,274540659903.0,0.1302562,10.0
walmart,outer_3,guide,4,20,3,12.0,,,0.1605030333333333,267782937286.66663,0.5945,254390446830.0,0.2028,271865178970.0,0.1387321,12.0
walmart,outer_3,guide,4,20,3,14.0,,,0.1640920666666666,266617322403.3333,0.59228,252877297772.0,0.2076,270982848617.0,0.1415273,13.0
walmart,outer_3,guide,4,20,3,16.0,,,0.1684258,265241106141.3333,0.59565,250236099643.0,0.2158,269368670386.0,0.1466411,15.0
walmart,outer_4,guide,4,20,3,2.0,,,0.0628925366666666,298100889432.6667,0.59229,296649601149.0,0.0684,297265175277.0,0.06662285,2.0
walmart,outer_4,guide,4,20,3,4.0,,,0.08829851,290143541122.3333,0.59202,283367000000.0,0.1101,287228701009.0,0.09813618,4.0
walmart,outer_4,guide,4,20,3,6.0,,,0.1143288666666666,281810421040.6667,0.58749,273509660516.0,0.1411,278546155260.0,0.1253983,6.0
walmart,outer_4,guide,4,20,3,8.0,,,0.1261699666666667,277898101940.3333,0.58836,273509660516.0,0.1411,278546155260.0,0.1253983,6.0
walmart,outer_4,guide,4,20,3,10.0,,,0.1315909,276199989022.3333,0.58911,259988779979.0,0.1835,264461908254.0,0.1696212,10.0
walmart,outer_4,guide,4,20,3,12.0,,,0.1418503666666666,272949832964.0,0.5834,256097671479.0,0.1957,261753494039.0,0.1781253,12.0
walmart,outer_4,guide,4,20,3,14.0,,,0.1480878666666666,270965809642.0,0.59232,252757056277.0,0.2062,262060157631.0,0.1771624,14.0
walmart,outer_4,guide,4,20,3,16.0,,,0.1510915,270015698645.66663,0.59032,251329888785.0,0.2107,260692509230.0,0.1814566,15.0
walmart,mean,guide,4,20,3,2.0,,,0.0644559553333333,297678293617.0,0.59477,296700780999.8,0.0683,297751058689.6,0.064728932,2.0
walmart,mean,guide,4,20,3,4.0,,,0.08755056066666662,290379208667.7333,0.596286,285826819633.6,0.10244,290316259674.4,0.088073542,3.6
walmart,mean,guide,4,20,3,6.0,,,0.11771818666666663,280752120106.8,0.598418,271835104687.0,0.14642,276059277603.2,0.13279972,6.0
walmart,mean,guide,4,20,3,8.0,,,0.131663754,276252412345.3333,0.597612,265339060478.6,0.16682000000000002,272671012525.6,0.14337393999999998,7.6
walmart,mean,guide,4,20,3,10.0,,,0.14076774066666664,273369494780.66666,0.59614,258685422950.8,0.18768,266675723824.8,0.16216884,9.8
walmart,mean,guide,4,20,3,12.0,,,0.14834923533333327,270981236609.1333,0.5998560000000001,254383628893.8,0.20118,263989937309.4,0.17063566,11.8
walmart,mean,guide,4,20,3,14.0,,,0.15229607933333328,269718238117.5333,0.594566,251375524339.4,0.21066000000000001,262727057024.0,0.17458054,13.8
walmart,mean,guide,4,20,3,16.0,,,0.15435949066666663,269049265056.3333,0.599676,250019246421.8,0.21488000000000002,262059547654.4,0.17667329999999998,15.0
walmart,std,guide,4,20,3,2.0,,,0.0019738435935794203,1474648979.0510647,0.00820875751865044,1466034465.2581348,0.0013379088160259652,5631627017.929588,0.0073077530273826284,0.0
walmart,std,guide,4,20,3,4.0,,,0.003410862603353033,2090009338.172256,0.00914680709318837,3865728188.5222054,0.012546234494859403,5386947387.932692,0.007579110424081443,0.5477225575051661
walmart,std,guide,4,20,3,6.0,,,0.01099697812094558,3811139690.975625,0.009741343336521973,2590445074.5101986,0.006497461042591933,6367959662.13797,0.01807273787841787,0.0
walmart,std,guide,4,20,3,8.0,,,0.010891616953192924,3978834313.975765,0.007175762677235044,5881462658.7558,0.017770537414495947,7592099919.906787,0.025433096959041387,0.8944271909999157
walmart,std,guide,4,20,3,10.0,,,0.013485370166747869,4470178677.234589,0.006582552696332972,3320057721.329696,0.008839230735759757,5494637141.275724,0.021284696964321573,0.44721359549995804
walmart,std,guide,4,20,3,12.0,,,0.01575658860005405,5265511729.5242195,0.011607716399016648,3778840095.2612257,0.011263081283556471,4981644122.059198,0.018377360461529837,0.44721359549995804
walmart,std,guide,4,20,3,14.0,,,0.014243227163227507,4702308805.246689,0.006016326121479732,4012003226.5723286,0.011128027677895114,5023176395.81828,0.01967691032169431,0.44721359549995787
walmart,std,guide,4,20,3,16.0,,,0.015452380845940588,5045666402.580559,0.008400555338785622,4086932844.8315673,0.011357244384092472,4362280776.29053,0.018254740256848357,0.0
walmart,best_by_mean_val_r2,guide,4,20,3,16.0,,,0.15435949066666663,269049265056.3333,0.599676,250019246421.8,0.21488000000000002,262059547654.4,0.17667329999999998,15.0
