dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
energe_h,outer_0,guide,4,614.0,3,2.0,,,0.9693815999999998,3.1586806666666667,0.044524,164600.5,0.9711,159682.0,-1712.852,2.0,full
energe_h,outer_0,guide,4,614.0,3,4.0,,,0.9858453,1.4557783333333332,0.03666,164598.8,0.9873,159680.1,-1712.831,4.0,full
energe_h,outer_0,guide,4,614.0,3,6.0,,,0.9921531666666668,0.7972310666666665,0.044147,0.3984176,0.9962,0.4650721,0.9950084,6.0,full
energe_h,outer_0,guide,4,614.0,3,8.0,,,0.9963449333333332,0.3767986666666666,0.037152,0.2748156,0.9973,0.3489317,0.996255,8.0,full
energe_h,outer_0,guide,4,614.0,3,10.0,,,0.9967500333333332,0.3363476,0.045005,0.2397734,0.9977,0.3177589,0.9965895,9.0,full
energe_h,outer_0,guide,4,614.0,3,12.0,,,0.9963850333333334,0.3742551666666666,0.037162,0.2156586,0.9979,0.3181754,0.9965851,12.0,full
energe_h,outer_0,guide,4,614.0,3,14.0,,,0.9956728333333332,0.4480146,0.043546,0.209371,0.998,0.3315732,0.9964413,14.0,full
energe_h,outer_0,guide,4,614.0,3,16.0,,,0.9956258,0.4528985333333333,0.044777,0.2074436,0.998,0.3303211,0.9964547,15.0,full
energe_h,outer_1,guide,4,614.0,3,2.0,,,0.949751,5.2079596666666665,0.046942,3.124931,0.9692,3.095169,0.9699369,2.0,full
energe_h,outer_1,guide,4,614.0,3,4.0,,,0.982465,1.8140317333333331,0.044186,1.336458,0.9868,1.371884,0.986675,4.0,full
energe_h,outer_1,guide,4,614.0,3,6.0,,,0.9957003,0.4379558333333334,0.041441,26342.43,0.9961,23724.15,-229.4305,6.0,full
energe_h,outer_1,guide,4,614.0,3,8.0,,,0.9966756666666666,0.3391150666666667,0.045063,0.314708,0.9969,0.3062847,0.9970251,8.0,full
energe_h,outer_1,guide,4,614.0,3,10.0,,,0.9966813666666666,0.3392222333333333,0.043698,0.2560585,0.9975,0.2482048,0.9975892,10.0,full
energe_h,outer_1,guide,4,614.0,3,12.0,,,0.9968039666666668,0.3256950333333333,0.045121,0.2291555,0.9977,0.2379509,0.9976888,12.0,full
energe_h,outer_1,guide,4,614.0,3,14.0,,,0.9962213,0.3878049,0.036676,0.2254017,0.9978,0.2382539,0.9976859,14.0,full
energe_h,outer_1,guide,4,614.0,3,16.0,,,0.9950747333333334,0.5019149666666667,0.046191,0.2376669,0.9977,0.251501,0.9975572,15.0,full
energe_h,outer_2,guide,4,614.0,3,2.0,,,-18702.4360957,1896937.5905886665,0.043473,3574793.0,0.9573,3707416.0,-34946.92,2.0,full
