dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
optical_net,outer_0,guide,4,504,3,2.0,,,0.7846865666666667,0.0091890966666666,0.036979,0.004982522,0.8835,0.009174432,0.7485121,2.0,full
optical_net,outer_0,guide,4,504,3,4.0,,,0.8073494333333334,0.008224079,0.04851,0.003181154,0.9256,0.006286214,0.8276834,4.0,full
optical_net,outer_0,guide,4,504,3,6.0,,,0.8173508666666667,0.0078105456666666,0.033298,0.002203053,0.9485,0.004230008,0.8840477,6.0,full
optical_net,outer_0,guide,4,504,3,8.0,,,0.8237486333333334,0.007530605,0.038971,0.0015437,0.9639,0.00343051,0.9059634,8.0,full
optical_net,outer_0,guide,4,504,3,10.0,,,0.61571133,0.0164610263333333,0.038343,0.001082894,0.9747,0.003274858,0.9102302,10.0,full
optical_net,outer_0,guide,4,504,3,12.0,,,0.8626274666666666,0.0058247659999999,0.033963,0.0008734804,0.9796,0.003055814,0.9162345,12.0,full
optical_net,outer_0,guide,4,504,3,14.0,,,0.8539393999999999,0.006198821,0.039677,0.0009870998,0.9769,0.003366198,0.9077264,14.0,full
optical_net,outer_0,guide,4,504,3,16.0,,,0.8547893666666666,0.006170674,0.040153,0.001082651,0.9747,0.003240596,0.9111693,15.0,full
optical_net,outer_1,guide,4,504,3,2.0,,,0.812699,0.0077098253333333,0.038768,0.005388221,0.8692,0.005835883,0.863637,2.0,full
optical_net,outer_1,guide,4,504,3,4.0,,,0.7445916666666667,0.010710129,0.0382,0.0034235,0.9169,0.004046444,0.9054496,4.0,full
optical_net,outer_1,guide,4,504,3,6.0,,,0.736132,0.011067989,0.035861,0.002507017,0.9391,0.003873566,0.9094891,6.0,full
optical_net,outer_1,guide,4,504,3,8.0,,,0.7066761666666667,0.0122285886666666,0.040121,0.001916963,0.9535,0.002438089,0.9430309,8.0,full
optical_net,outer_1,guide,4,504,3,10.0,,,0.7103116333333334,0.0120893883333333,0.040313,0.001477041,0.9641,0.002099383,0.9509452,10.0,full
optical_net,outer_1,guide,4,504,3,12.0,,,0.6458488333333333,0.0148557326666666,0.03462,0.001186123,0.9712,0.001927986,0.9549501,12.0,full
optical_net,outer_1,guide,4,504,3,14.0,,,0.6443273333333334,0.01492404,0.039276,0.001049847,0.9745,0.00149781,0.9650017,14.0,full
optical_net,outer_1,guide,4,504,3,16.0,,,0.6735996666666666,0.0137754483333333,0.039857,0.001530539,0.9628,0.002417104,0.9435212,15.0,full
optical_net,outer_2,guide,4,504,3,2.0,,,0.8170187000000001,0.0076755003333333,0.038408,0.005620137,0.8671,0.004361513,0.8859345,2.0,full
optical_net,outer_2,guide,4,504,3,4.0,,,0.8404065666666667,0.0066732626666666,0.037176,0.003898729,0.9078,0.004535857,0.8813749,3.0,full
optical_net,outer_2,guide,4,504,3,6.0,,,0.8710493333333335,0.0054124753333333,0.038651,0.001661539,0.9607,0.002575189,0.9326517,6.0,full
optical_net,outer_2,guide,4,504,3,8.0,,,0.5343778,0.0199591276666666,0.036877,0.001326396,0.9686,0.002704896,0.9292595,8.0,full
optical_net,outer_2,guide,4,504,3,10.0,,,0.5275918,0.0202194533333333,0.030405,0.001196351,0.9717,0.002654737,0.9305713,9.0,full
optical_net,outer_2,guide,4,504,3,12.0,,,0.2830683,0.0308309143333333,0.040242,0.001005542,0.9762,0.002512748,0.9342847,12.0,full
optical_net,outer_2,guide,4,504,3,14.0,,,0.2807765333333333,0.0309230056666666,0.034711,0.0009937761,0.9765,0.002497406,0.934686,14.0,full
optical_net,outer_2,guide,4,504,3,16.0,,,0.2701148,0.0313750396666666,0.038669,0.001293177,0.9694,0.002562413,0.9329859,15.0,full
optical_net,outer_3,guide,4,504,3,2.0,,,0.8138642333333334,0.0071490973333333,0.039038,0.005053928,0.8697,0.007286757,0.8588491,2.0,full
optical_net,outer_3,guide,4,504,3,4.0,,,0.8545741666666666,0.005561396,0.039575,0.002730837,0.9296,0.004162017,0.919378,4.0,full
optical_net,outer_3,guide,4,504,3,6.0,,,0.8693155666666668,0.0049747486666666,0.039169,0.001985543,0.9488,0.003661815,0.9290674,6.0,full
optical_net,outer_3,guide,4,504,3,8.0,,,0.8614987666666667,0.005268045,0.032737,0.001722989,0.9556,0.00356517,0.9309395,7.0,full
optical_net,outer_3,guide,4,504,3,10.0,,,0.9184277,0.0031402516666666,0.039482,0.001299255,0.9665,0.003545631,0.931318,10.0,full
optical_net,outer_3,guide,4,504,3,12.0,,,0.8591679333333334,0.0053873833333333,0.039459,0.00113945,0.9706,0.003783156,0.9267169,12.0,full
optical_net,outer_3,guide,4,504,3,14.0,,,0.8451835666666666,0.0059093916666666,0.040005,0.00112349,0.971,0.003576722,0.9307157,14.0,full
optical_net,outer_3,guide,4,504,3,16.0,,,0.8951682999999999,0.004007946,0.038461,0.00112349,0.971,0.003576722,0.9307157,14.0,full
optical_net,outer_4,guide,4,504,3,2.0,,,0.8583948666666666,0.0060115153333333,0.032784,0.004696996,0.8894,0.01341882,0.6398459,2.0,full
optical_net,outer_4,guide,4,504,3,4.0,,,0.8264419333333333,0.007338008,0.032927,0.002833344,0.9333,0.06962287,-0.8686409,4.0,full
optical_net,outer_4,guide,4,504,3,6.0,,,0.7443226666666666,0.0108113783333333,0.036216,0.001985847,0.9533,0.07181638,-0.9275134,6.0,full
optical_net,outer_4,guide,4,504,3,8.0,,,0.7840374333333333,0.009140094,0.040555,0.001408465,0.9668,0.07155504,-0.9204992,8.0,full
optical_net,outer_4,guide,4,504,3,10.0,,,0.7832624,0.0091726263333333,0.034697,0.001147064,0.973,0.07125988,-0.9125773,10.0,full
optical_net,outer_4,guide,4,504,3,12.0,,,0.7819648666666666,0.0092275306666666,0.039453,0.0009844216,0.9768,0.04261336,-0.14372,12.0,full
optical_net,outer_4,guide,4,504,3,14.0,,,0.7727914333333334,0.0096216653333333,0.039866,0.0008950275,0.9789,0.0450109,-0.2080687,14.0,full
optical_net,outer_4,guide,4,504,3,16.0,,,0.7663993666666666,0.0098945953333333,0.039366,0.0009513153,0.9776,0.04506903,-0.2096288,15.0,full
optical_net,mean,guide,4,504,3,2.0,,,0.8173326733333333,0.00754700699999996,0.0371954,0.0051483608,0.87578,0.008015481,0.79935572,2.0,full
optical_net,mean,guide,4,504,3,4.0,,,0.8146727533333333,0.00770137493333332,0.0392776,0.0032135128,0.92264,0.0177306804,0.5330489999999999,3.8,full
optical_net,mean,guide,4,504,3,6.0,,,0.8076340866666667,0.008015427399999959,0.036639,0.0020685998000000002,0.95008,0.0172313916,0.5455485,6.0,full
optical_net,mean,guide,4,504,3,8.0,,,0.7420677600000001,0.01082529206666664,0.0378522,0.0015837026,0.96168,0.016738741,0.55773882,7.8,full
optical_net,mean,guide,4,504,3,10.0,,,0.7110609726666667,0.01221654919999996,0.036648,0.001240521,0.97,0.0165668978,0.56209748,9.8,full
optical_net,mean,guide,4,504,3,12.0,,,0.68653548,0.01322526539999994,0.037547399999999995,0.0010378034,0.97488,0.0107786128,0.71769324,12.0,full
optical_net,mean,guide,4,504,3,14.0,,,0.6794036533333333,0.013515384733333299,0.038707,0.00100984808,0.97556,0.0111898072,0.7060122200000001,14.0,full
optical_net,mean,guide,4,504,3,16.0,,,0.6920143,0.013044740666666641,0.0393012,0.0011962344600000001,0.9711000000000001,0.011373173,0.70175266,14.8,full
optical_net,std,guide,4,504,3,2.0,,,0.026388783534312035,0.001146248836529775,0.0025906525818797073,0.00036064384869660524,0.010008846087336917,0.0035061520226640913,0.10391810085313338,0.0,full
optical_net,std,guide,4,504,3,4.0,,,0.04288897077556186,0.0019425743725282585,0.0057278643751401785,0.00047227301459081916,0.010295775832835507,0.029022600975506355,0.7843480160549812,0.4472135954999579,full
optical_net,std,guide,4,504,3,6.0,,,0.0652713539741151,0.0028809085844905802,0.0023661962091086194,0.00031214269856781845,0.007871594501751206,0.03052018234979115,0.8236931261198038,0.0,full
optical_net,std,guide,4,504,3,8.0,,,0.1295035407480137,0.005700307984366514,0.0031945492952840772,0.00023925838872294528,0.006762174206569955,0.030646925108434336,0.8264690484253703,0.4472135954999579,full
optical_net,std,guide,4,504,3,10.0,,,0.15080372914735585,0.006590198667728734,0.0040962866110661736,0.00015404777183880325,0.004501110973970775,0.030579450680417553,0.8244939956219068,0.44721359549995776,full
optical_net,std,guide,4,504,3,12.0,,,0.24205282899906672,0.010545128822469748,0.0029984991745871793,0.00012572111782226564,0.003859015418471428,0.017809318362016366,0.48175330060402083,0.0,full
optical_net,std,guide,4,504,3,14.0,,,0.23811809727888364,0.01038693725766862,0.002250597809471963,8.437114133112696e-05,0.0029896488088068155,0.018924368508021375,0.5113930584822667,0.0,full
optical_net,std,guide,4,504,3,16.0,,,0.250818009226009,0.01090153270336239,0.0007321695158909568,0.00022323515365396202,0.005634713834792348,0.01884260398360017,0.5096117165649972,0.44721359549995787,full
optical_net,best_by_mean_val_r2,guide,4,504,3,2.0,,,0.8173326733333333,0.00754700699999996,0.0371954,0.0051483608,0.87578,0.008015481,0.79935572,2.0,full
