dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
servo,outer_0,guide,4,133.0,3,2.0,,,0.5557864666666666,1.0520015,0.009812,0.9617179,0.5938,0.9280703,0.6404624,2.0,full
servo,outer_0,guide,4,133.0,3,4.0,,,0.5551560666666667,1.0544705333333333,0.011089,0.9466924,0.6001,0.9268719,0.6409266,4.0,full
servo,outer_0,guide,4,133.0,3,6.0,,,0.5555207999999999,1.0537076333333333,0.008187,0.9463855,0.6003,0.926898,0.6409165,6.0,full
servo,outer_0,guide,4,133.0,3,8.0,,,0.5555207999999999,1.0537076333333333,0.006742,0.9463847,0.6003,0.9268948,0.6409178,8.0,full
servo,outer_0,guide,4,133.0,3,10.0,,,0.5555207999999999,1.0537076333333333,0.01152,0.9463847,0.6003,0.9268948,0.6409178,9.0,full
servo,outer_0,guide,4,133.0,3,12.0,,,0.5555207999999999,1.0537076333333333,0.008874,0.9463847,0.6003,0.9268948,0.6409178,9.0,full
servo,outer_0,guide,4,133.0,3,14.0,,,0.5555207999999999,1.0537076333333333,0.008389,0.9463847,0.6003,0.9268948,0.6409178,9.0,full
servo,outer_0,guide,4,133.0,3,16.0,,,0.5555207999999999,1.0537076333333333,0.00798,0.9463847,0.6003,0.9268948,0.6409178,9.0,full
servo,outer_1,guide,4,133.0,3,2.0,,,0.5991371,0.9859102666666668,0.011221,0.8903056,0.6588,1.373061,0.1523681,2.0,full
servo,outer_1,guide,4,133.0,3,4.0,,,0.6015406333333334,0.9794494666666664,0.010082,0.8801787,0.6626,1.358963,0.1610715,4.0,full
servo,outer_1,guide,4,133.0,3,6.0,,,0.6013764666666667,0.9799364,0.01082,0.8801619,0.6627,1.359073,0.1610033,6.0,full
servo,outer_1,guide,4,133.0,3,8.0,,,0.6013764666666667,0.9799364,0.011617,0.8801619,0.6627,1.356372,0.1626709,7.0,full
servo,outer_1,guide,4,133.0,3,10.0,,,0.6013764666666667,0.9799364,0.006372,0.8801619,0.6627,1.356372,0.1626709,7.0,full
servo,outer_1,guide,4,133.0,3,12.0,,,0.6013764666666667,0.9799364,0.01121,0.8801619,0.6627,1.356372,0.1626709,7.0,full
servo,outer_1,guide,4,133.0,3,14.0,,,0.6013764666666667,0.9799364,0.011702,0.8801619,0.6627,1.356372,0.1626709,7.0,full
servo,outer_1,guide,4,133.0,3,16.0,,,0.6013764666666667,0.9799364,0.011662,0.8801619,0.6627,1.356372,0.1626709,7.0,full
servo,outer_2,guide,4,134.0,3,2.0,,,0.5625860666666668,1.1756036,0.005307,1.041742,0.6123,0.6355531,0.4589715,2.0,full
servo,outer_2,guide,4,134.0,3,4.0,,,0.5633869333333333,1.1731389,0.010534,1.039151,0.6133,0.6335229,0.4606998,4.0,full
servo,outer_2,guide,4,134.0,3,6.0,,,0.5640137,1.1715417333333331,0.010403,1.039151,0.6133,0.6335229,0.4606998,6.0,full
servo,outer_2,guide,4,134.0,3,8.0,,,0.5640137,1.1715417333333331,0.005455,1.039151,0.6133,0.6335229,0.4606998,8.0,full
servo,outer_2,guide,4,134.0,3,10.0,,,0.5640137,1.1715417333333331,0.011631,1.039151,0.6133,0.6335229,0.4606998,8.0,full
servo,outer_2,guide,4,134.0,3,12.0,,,0.5640137,1.1715417333333331,0.010027,1.039151,0.6133,0.6335229,0.4606998,8.0,full
servo,outer_2,guide,4,134.0,3,14.0,,,0.5640137,1.1715417333333331,0.010844,1.039151,0.6133,0.6335229,0.4606998,8.0,full
servo,outer_2,guide,4,134.0,3,16.0,,,0.5640137,1.1715417333333331,0.010212,1.039151,0.6133,0.6335229,0.4606998,8.0,full
servo,outer_3,guide,4,134.0,3,2.0,,,0.5348766666666668,1.1393604333333334,0.010741,1.017335,0.6031,0.7010523,0.6048308,2.0,full
servo,outer_3,guide,4,134.0,3,4.0,,,0.5322565666666667,1.1445008666666667,0.011056,1.012808,0.6049,0.673105,0.6205842,4.0,full
servo,outer_3,guide,4,134.0,3,6.0,,,0.5322475,1.1445302,0.010733,1.012808,0.6049,0.673105,0.6205842,6.0,full
servo,outer_3,guide,4,134.0,3,8.0,,,0.5322234,1.1445806,0.011471,1.012816,0.6049,0.6731556,0.6205556,8.0,full
servo,outer_3,guide,4,134.0,3,10.0,,,0.5322234,1.1445806,0.006311,1.012816,0.6049,0.6731556,0.6205556,8.0,full
servo,outer_3,guide,4,134.0,3,12.0,,,0.5322234,1.1445806,0.012274,1.012816,0.6049,0.6731556,0.6205556,8.0,full
servo,outer_3,guide,4,134.0,3,14.0,,,0.5322234,1.1445806,0.011188,1.012816,0.6049,0.6731556,0.6205556,8.0,full
servo,outer_3,guide,4,134.0,3,16.0,,,0.5322234,1.1445806,0.010975,1.012816,0.6049,0.6731556,0.6205556,8.0,full
servo,outer_4,guide,4,134.0,3,2.0,,,0.4139411,1.0117999333333334,0.0069,0.7486384,0.5904,1.913152,0.5631829,2.0,full
servo,outer_4,guide,4,134.0,3,4.0,,,0.4196806666666666,1.0015463999999998,0.009954,0.7388245,0.5958,1.89072,0.5683046,4.0,full
servo,outer_4,guide,4,134.0,3,6.0,,,0.4196679,1.0015660333333332,0.009532,0.7388239,0.5958,1.890717,0.5683053,6.0,full
servo,outer_4,guide,4,134.0,3,8.0,,,0.4196602,1.0015779,0.007455,0.7388239,0.5958,1.890717,0.5683053,7.0,full
servo,outer_4,guide,4,134.0,3,10.0,,,0.4196602,1.0015779,0.005538,0.7388239,0.5958,1.890717,0.5683053,7.0,full
servo,outer_4,guide,4,134.0,3,12.0,,,0.4196602,1.0015779,0.010806,0.7388239,0.5958,1.890717,0.5683053,7.0,full
servo,outer_4,guide,4,134.0,3,14.0,,,0.4196602,1.0015779,0.010702,0.7388239,0.5958,1.890717,0.5683053,7.0,full
servo,outer_4,guide,4,134.0,3,16.0,,,0.4196602,1.0015779,0.010446,0.7388239,0.5958,1.890717,0.5683053,7.0,full
