dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
yacht,outer_0,guide,4,246.0,3,2.0,,,0.9804957,4.375494333333333,0.020355,3.272173,0.9861,2.284251,0.988882,2.0,full
yacht,outer_0,guide,4,246.0,3,4.0,,,0.9900491,2.2163733333333333,0.021687,0.8237203,0.9965,0.6521814,0.9968257,4.0,full
yacht,outer_0,guide,4,246.0,3,6.0,,,0.9862924666666668,3.305026,0.024053,0.3792213,0.9984,0.8771234,0.9957308,6.0,full
yacht,outer_0,guide,4,246.0,3,8.0,,,0.9860037666666668,3.3694813333333333,0.028427,0.3048962,0.9987,0.8592151,0.995818,8.0,full
yacht,outer_0,guide,4,246.0,3,10.0,,,0.9843983,3.650404333333333,0.020279,0.2756388,0.9988,0.8259578,0.9959799,10.0,full
yacht,outer_0,guide,4,246.0,3,12.0,,,0.9748819666666666,6.155849333333333,0.025765,0.273209,0.9988,0.8242308,0.9959883,12.0,full
yacht,outer_0,guide,4,246.0,3,14.0,,,0.9724504,6.743172666666666,0.026342,1.679719,0.9929,5.817227,0.9716862,14.0,full
yacht,outer_0,guide,4,246.0,3,16.0,,,0.9724504,6.743172666666666,0.025099,1.818186,0.9923,5.812558,0.9717089,15.0,full
yacht,outer_1,guide,4,246.0,3,2.0,,,0.9797771333333336,4.787516666666667,0.017005,3.199883,0.9865,2.522028,0.9868518,2.0,full
yacht,outer_1,guide,4,246.0,3,4.0,,,0.9918071666666668,2.0323883666666664,0.024509,0.8414229,0.9965,0.6148156,0.9967948,4.0,full
yacht,outer_1,guide,4,246.0,3,6.0,,,0.9486615,9.859824666666666,0.014303,0.4189614,0.9982,0.3545396,0.9981517,6.0,full
yacht,outer_1,guide,4,246.0,3,8.0,,,0.9451501333333332,11.023469333333331,0.018852,0.3426861,0.9986,0.4026779,0.9979007,8.0,full
yacht,outer_1,guide,4,246.0,3,10.0,,,0.9359958333333332,14.002513333333331,0.025246,0.308805,0.9987,0.3872038,0.9979814,10.0,full
yacht,outer_1,guide,4,246.0,3,12.0,,,0.9406388,13.668182,0.024573,0.3045323,0.9987,0.3973164,0.9979287,12.0,full
yacht,outer_1,guide,4,246.0,3,14.0,,,0.9443439333333332,12.897225333333331,0.021508,0.8172561,0.9966,0.4003495,0.9979128,14.0,full
yacht,outer_1,guide,4,246.0,3,16.0,,,0.9443439333333332,12.897225333333331,0.02601,0.9327632,0.9961,0.4739554,0.9975291,15.0,full
yacht,outer_2,guide,4,246.0,3,2.0,,,0.9859735666666666,2.8441793333333334,0.023177,2.305241,0.9891,6.704441,0.9774722,2.0,full
yacht,outer_2,guide,4,246.0,3,4.0,,,0.9955425,0.9344726333333332,0.024284,0.5085941,0.9976,2.279086,0.992342,4.0,full
yacht,outer_2,guide,4,246.0,3,6.0,,,0.9963246,0.7888417333333333,0.025118,0.2480805,0.9988,1.428988,0.9951984,6.0,full
yacht,outer_2,guide,4,246.0,3,8.0,,,0.9772745,4.130927733333333,0.026126,0.1866054,0.9991,1.472455,0.9950524,8.0,full
yacht,outer_2,guide,4,246.0,3,10.0,,,0.9609517333333332,7.9884067,0.024795,0.1763221,0.9992,1.433614,0.9951829,10.0,full
yacht,outer_2,guide,4,246.0,3,12.0,,,0.9600434666666668,8.185025433333333,0.026315,0.1740529,0.9992,1.432574,0.9951864,12.0,full
yacht,outer_2,guide,4,246.0,3,14.0,,,0.9634022666666668,7.643276033333334,0.022262,1.2022,0.9943,1.518275,0.9948984,14.0,full
yacht,outer_2,guide,4,246.0,3,16.0,,,0.9632025333333334,7.6782793666666675,0.025915,1.315676,0.9938,1.556222,0.9947709,15.0,full
yacht,outer_3,guide,4,247.0,3,2.0,,,0.9815083333333332,4.226086333333334,0.024442,3.066605,0.9865,3.215816,0.9863255,2.0,full
yacht,outer_3,guide,4,247.0,3,4.0,,,0.9946606333333332,1.2198782666666668,0.017024,0.7024679,0.9969,1.19878,0.9949025,4.0,full
yacht,outer_3,guide,4,247.0,3,6.0,,,0.994343,1.2859225,0.024201,0.3095726,0.9986,0.8533686,0.9963713,6.0,full
yacht,outer_3,guide,4,247.0,3,8.0,,,0.9944156333333334,1.2799386666666666,0.024206,0.2536875,0.9989,0.7913022,0.9966352,8.0,full
yacht,outer_3,guide,4,247.0,3,10.0,,,0.9943905666666668,1.286435166666667,0.025037,0.2494053,0.9989,0.7819934,0.9966748,10.0,full
yacht,outer_3,guide,4,247.0,3,12.0,,,0.9730092666666668,5.6809346666666665,0.025998,0.2479781,0.9989,0.7833349,0.9966691,12.0,full
