dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_4,m5,4,20,3,0.1,,,0.31060200323716597,32.77946973871112,0.00584864616394043,31.492427697272813,0.3356087976604192,32.79655401413654,0.3191278487314657,3
airfoil,outer_4,m5,4,20,3,0.08,,,0.31060200323716597,32.77946973871112,0.005392313003540039,31.492427697272813,0.3356087976604192,32.79655401413654,0.3191278487314657,3
airfoil,outer_4,m5,4,20,3,0.05,,,0.36517507418669837,30.274814866657085,0.007220029830932617,28.368249676766144,0.4015191304972575,30.7185586510852,0.36226802658542423,4
airfoil,outer_4,m5,4,20,3,0.03,,,0.40445305174294227,28.54422583902866,0.010641098022460938,25.338667788215645,0.4654337823897374,29.332259781007426,0.3910482543363073,6
airfoil,outer_4,m5,4,20,3,0.01,,,0.5040280152019518,23.481860846208985,0.020535945892333984,19.893966776902584,0.5802998538802843,21.820290371580032,0.5470003330167573,12
airfoil,outer_4,m5,4,20,3,0.008,,,0.5176062175230046,22.88879651987862,0.023590564727783203,19.031021486032337,0.598505286146918,20.840075097781927,0.5673500710376944,14
airfoil,outer_4,m5,4,20,3,0.005,,,0.5201492501738076,22.752844439085887,0.026666879653930664,18.44299951522661,0.6109107008053611,20.666776189066024,0.5709478392891707,16
airfoil,outer_4,m5,4,20,3,0.003,,,0.5212188703513082,22.705574142905892,0.02667403221130371,18.44299951522661,0.6109107008053611,20.666776189066024,0.5709478392891707,16
airfoil,outer_4,m5,4,20,3,0.001,,,0.5261672636117056,22.488684246147788,0.026604413986206055,18.44299951522661,0.6109107008053611,20.666776189066024,0.5709478392891707,16
airfoil,outer_4,m5,4,20,3,0.0005,,,0.5264275309564984,22.477182112275297,0.027755260467529297,18.44299951522661,0.6109107008053611,20.666776189066024,0.5709478392891707,16
airfoil,outer_4,m5,4,20,3,0.0001,,,0.5264275309564984,22.477182112275297,0.026706218719482422,18.44299951522661,0.6109107008053611,20.666776189066024,0.5709478392891707,16
