dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_0,m5,4,20,3,0.1,,,0.8503029737649968,15979582.88022924,0.0074250698089599,15905832.813432924,0.8507225666615501,18048983.98101576,0.8384734491558216,4.0
auction,outer_0,m5,4,20,3,0.08,,,0.8503029737649968,15979582.88022924,0.0071275234222412,15905832.813432924,0.8507225666615501,18048983.98101576,0.8384734491558216,4.0
auction,outer_0,m5,4,20,3,0.05,,,0.8503029737649968,15979582.88022924,0.0069577693939208,15905832.813432924,0.8507225666615501,18048983.98101576,0.8384734491558216,4.0
auction,outer_0,m5,4,20,3,0.03,,,0.8503029737649968,15979582.88022924,0.0070452690124511,15905832.813432924,0.8507225666615501,18048983.98101576,0.8384734491558216,4.0
auction,outer_0,m5,4,20,3,0.01,,,0.8605110467373365,14894458.03090772,0.0084178447723388,14573954.53233342,0.8632223441742278,17417254.425580237,0.8441270137145332,5.0
auction,outer_0,m5,4,20,3,0.008,,,0.874004606004504,13466411.089265684,0.0119853019714355,12575870.177397888,0.8819745156321468,15578200.906908002,0.8605853346926794,7.0
auction,outer_0,m5,4,20,3,0.005,,,0.874004606004504,13466411.089265684,0.0117795467376708,12575870.177397888,0.8819745156321468,15578200.906908002,0.8605853346926794,7.0
auction,outer_0,m5,4,20,3,0.003,,,0.882574084110204,12550341.826212876,0.0152173042297363,11662542.400054716,0.8905461652903375,14905458.039792763,0.8666059414506246,9.0
auction,outer_0,m5,4,20,3,0.001,,,0.8839411971375801,12404746.572646435,0.0163934230804443,11485947.112206005,0.8922035253053037,14923226.425270775,0.8664469260720664,10.0
auction,outer_0,m5,4,20,3,0.0005,,,0.8845738949804279,12338577.82555722,0.017878770828247,11424413.77127994,0.8927810203227557,14770496.046754465,0.8678137626362084,11.0
auction,outer_0,m5,4,20,3,0.0001,,,0.8848499366101518,12309398.72642456,0.0179889202117919,11424413.77127994,0.8927810203227557,14770496.046754465,0.8678137626362084,11.0
auction,outer_1,m5,4,20,3,0.1,,,0.8562376927996027,16054969.40228356,0.0074377059936523,15885742.397570089,0.8569951493204984,18257150.372238103,0.8043233520916352,4.0
auction,outer_1,m5,4,20,3,0.08,,,0.8562376927996027,16054969.40228356,0.0070788860321044,15885742.397570089,0.8569951493204984,18257150.372238103,0.8043233520916352,4.0
auction,outer_1,m5,4,20,3,0.05,,,0.8562376927996027,16054969.40228356,0.0069265365600585,15885742.397570089,0.8569951493204984,18257150.372238103,0.8043233520916352,4.0
auction,outer_1,m5,4,20,3,0.03,,,0.8562376927996027,16054969.40228356,0.0069375038146972,15885742.397570089,0.8569951493204984,18257150.372238103,0.8043233520916352,4.0
auction,outer_1,m5,4,20,3,0.01,,,0.8619239036125977,15402058.13449417,0.0083811283111572,14539267.839928132,0.8691162317502871,17796212.90255334,0.8092635917853626,5.0
auction,outer_1,m5,4,20,3,0.008,,,0.8855230789982759,12774303.133467317,0.0120365619659423,12502162.326093655,0.8874544348089524,16123835.427095572,0.8271878138990523,7.0
auction,outer_1,m5,4,20,3,0.005,,,0.8855230789982759,12774303.133467317,0.0116827487945556,12502162.326093655,0.8874544348089524,16123835.427095572,0.8271878138990523,7.0
auction,outer_1,m5,4,20,3,0.003,,,0.8911337296017824,12165381.447060684,0.0151746273040771,11620173.495436434,0.8953941758592929,15326815.992283989,0.8357301158542851,9.0
auction,outer_1,m5,4,20,3,0.001,,,0.8926411069637054,12001048.081440276,0.0163521766662597,11442912.227055904,0.8969898973925777,15348859.385032434,0.8354938589843136,10.0
auction,outer_1,m5,4,20,3,0.0005,,,0.8930434817168504,11955934.70033743,0.0177338123321533,11373762.175371869,0.8976123922416109,15217709.116811002,0.8368995024902617,11.0
auction,outer_1,m5,4,20,3,0.0001,,,0.8930434817168504,11955934.70033743,0.0179853439331054,11373762.175371869,0.8976123922416109,15217709.116811002,0.8368995024902617,11.0
auction,outer_2,m5,4,20,3,0.1,,,0.8438639963136695,16552913.71416464,0.0077235698699951,16451962.78951125,0.8431793140642173,15910065.14649006,0.8648511106524177,4.0
auction,outer_2,m5,4,20,3,0.08,,,0.8438639963136695,16552913.71416464,0.0075747966766357,16451962.78951125,0.8431793140642173,15910065.14649006,0.8648511106524177,4.0
auction,outer_2,m5,4,20,3,0.05,,,0.8438639963136695,16552913.71416464,0.0080618858337402,16451962.78951125,0.8431793140642173,15910065.14649006,0.8648511106524177,4.0
auction,outer_2,m5,4,20,3,0.03,,,0.8423264130562996,16706687.253704978,0.0082299709320068,16451962.78951125,0.8431793140642173,15910065.14649006,0.8648511106524177,4.0
auction,outer_2,m5,4,20,3,0.01,,,0.8446533271966351,16441190.384616427,0.0099895000457763,14246190.877635907,0.8642048092384895,17154014.409851976,0.8542843178831754,5.0
auction,outer_2,m5,4,20,3,0.008,,,0.8538311801481339,15431955.029955046,0.0135872364044189,12373503.333755923,0.8820553325427292,14815732.64761935,0.8741469759073736,7.0
