dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_2,m5,4,20,3,0.1,,,0.8438639963136695,16552913.714164639,0.007723569869995117,16451962.78951125,0.8431793140642173,15910065.14649006,0.8648511106524177,4
auction,outer_2,m5,4,20,3,0.08,,,0.8438639963136695,16552913.714164639,0.007574796676635742,16451962.78951125,0.8431793140642173,15910065.14649006,0.8648511106524177,4
auction,outer_2,m5,4,20,3,0.05,,,0.8438639963136695,16552913.714164639,0.008061885833740234,16451962.78951125,0.8431793140642173,15910065.14649006,0.8648511106524177,4
auction,outer_2,m5,4,20,3,0.03,,,0.8423264130562996,16706687.253704978,0.008229970932006836,16451962.78951125,0.8431793140642173,15910065.14649006,0.8648511106524177,4
auction,outer_2,m5,4,20,3,0.01,,,0.8446533271966351,16441190.384616429,0.009989500045776367,14246190.877635907,0.8642048092384895,17154014.409851976,0.8542843178831754,5
auction,outer_2,m5,4,20,3,0.008,,,0.8538311801481339,15431955.029955046,0.013587236404418945,12373503.333755923,0.8820553325427292,14815732.64761935,0.8741469759073736,7
auction,outer_2,m5,4,20,3,0.005,,,0.8578254500739925,15032488.515582725,0.013245582580566406,12373503.333755923,0.8820553325427292,14815732.64761935,0.8741469759073736,7
auction,outer_2,m5,4,20,3,0.003,,,0.8660349591437115,14178834.934737407,0.017342805862426758,11514840.712788906,0.8902401347411218,13924990.873602064,0.8817134289888362,9
auction,outer_2,m5,4,20,3,0.001,,,0.8674487304917156,14027020.366391132,0.018796443939208984,11344772.476783127,0.8918612311274641,13910782.868718017,0.8818341196373184,10
auction,outer_2,m5,4,20,3,0.0005,,,0.8681181906565851,13960168.4880765,0.020925521850585938,11269273.78257335,0.8925808873268315,13811348.301179247,0.8826787718271045,11
auction,outer_2,m5,4,20,3,0.0001,,,0.8684582218545532,13921134.547672814,0.02103900909423828,11269273.78257335,0.8925808873268315,13811348.301179247,0.8826787718271045,11
