dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_0,m5,4,20,3,0.1,,,0.7661981941540104,34101898.12023086,0.0056016445159912,33866185.373748295,0.7673652809073982,37742651.00626953,0.7486851807172727,3.0
insurance,outer_0,m5,4,20,3,0.08,,,0.7661981941540104,34101898.12023086,0.0054283142089843,33866185.373748295,0.7673652809073982,37742651.00626953,0.7486851807172727,3.0
insurance,outer_0,m5,4,20,3,0.05,,,0.8196836365201742,26350307.075872157,0.0098185539245605,25507383.95182182,0.8247838357071378,24646403.20595625,0.8358884126436898,4.0
insurance,outer_0,m5,4,20,3,0.03,,,0.8196836365201742,26350307.075872157,0.0068905353546142,25507383.95182182,0.8247838357071378,24646403.20595625,0.8358884126436898,4.0
insurance,outer_0,m5,4,20,3,0.01,,,0.824893033199586,25582394.41996506,0.0084288120269775,23771667.338653363,0.8367068775930954,24780576.636553857,0.8349949997390802,5.0
insurance,outer_0,m5,4,20,3,0.008,,,0.831660000797843,24597737.643708583,0.0086944103240966,23771667.338653363,0.8367068775930954,24780576.636553857,0.8349949997390802,5.0
insurance,outer_0,m5,4,20,3,0.005,,,0.8433608573417413,22892384.273447797,0.0136468410491943,20642153.927803326,0.8582042344756327,22388468.93740381,0.8509231896803976,8.0
insurance,outer_0,m5,4,20,3,0.003,,,0.8425133714032279,23008631.855037507,0.0133862495422363,20642153.927803326,0.8582042344756327,22388468.93740381,0.8509231896803976,8.0
insurance,outer_0,m5,4,20,3,0.001,,,0.8444015717153341,22723588.9107818,0.022428274154663,19086082.94615373,0.8688932486562734,21172442.923156075,0.8590202721551554,14.0
insurance,outer_0,m5,4,20,3,0.0005,,,0.8429526589030848,22944009.872629628,0.0238735675811767,18959588.064549956,0.8697621714748249,21287626.652284503,0.8582533048834231,15.0
insurance,outer_0,m5,4,20,3,0.0001,,,0.8427649859397303,22969665.607776765,0.0266129970550537,18911729.653269224,0.8700909220542492,21133432.661471702,0.859280027540747,16.0
insurance,outer_1,m5,4,20,3,0.1,,,0.7459598327222893,35001072.051326714,0.0055813789367675,34720422.830643624,0.7490287182933824,34665940.419412926,0.8062455317142108,3.0
insurance,outer_1,m5,4,20,3,0.08,,,0.7459598327222893,35001072.051326714,0.0055510997772216,34720422.830643624,0.7490287182933824,34665940.419412926,0.8062455317142108,3.0
insurance,outer_1,m5,4,20,3,0.05,,,0.8103492509242832,26121525.17710486,0.0073130130767822,25199481.162726223,0.8178493932346523,26072610.62902579,0.8542752699586258,4.0
insurance,outer_1,m5,4,20,3,0.03,,,0.8103492509242832,26121525.17710486,0.0072267055511474,25199481.162726223,0.8178493932346523,26072610.62902579,0.8542752699586258,4.0
insurance,outer_1,m5,4,20,3,0.01,,,0.8109866103893352,26039958.50396388,0.0072793960571289,25199481.162726223,0.8178493932346523,26072610.62902579,0.8542752699586258,4.0
insurance,outer_1,m5,4,20,3,0.008,,,0.8221994172021608,24541710.507996943,0.0106410980224609,22885105.083872125,0.8345785077876153,23443807.545502804,0.8689681453721775,6.0
insurance,outer_1,m5,4,20,3,0.005,,,0.8381408605242887,22261308.6270347,0.0138838291168212,21007706.324333284,0.8481489984251898,22675688.20645205,0.8732613089880265,8.0
insurance,outer_1,m5,4,20,3,0.003,,,0.8381226444500819,22272520.94896305,0.0172736644744873,20143396.78587298,0.8543965281202254,20926285.18835911,0.8830390518528454,10.0
