dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_2,m5,4,20,3,0.1,,,0.7551910229760089,35741330.99294281,0.005601167678833008,34964530.86643968,0.7609396266590878,33328224.025924575,0.7741739263439866,3
insurance,outer_2,m5,4,20,3,0.08,,,0.7551910229760089,35741330.99294281,0.005547523498535156,34964530.86643968,0.7609396266590878,33328224.025924575,0.7741739263439866,3
insurance,outer_2,m5,4,20,3,0.05,,,0.8162027080613355,26870741.11153395,0.007422208786010742,25896001.049655825,0.8229432077148371,23448373.446664594,0.841118023421793,4
insurance,outer_2,m5,4,20,3,0.03,,,0.8162027080613355,26870741.11153395,0.007318735122680664,25896001.049655825,0.8229432077148371,23448373.446664594,0.841118023421793,4
insurance,outer_2,m5,4,20,3,0.01,,,0.8161776221213692,26874211.468709122,0.007303714752197266,25896001.049655825,0.8229432077148371,23448373.446664594,0.841118023421793,4
insurance,outer_2,m5,4,20,3,0.008,,,0.825044073213523,25559106.18288363,0.00901484489440918,24610226.589904428,0.8317343373185639,21524547.664077956,0.8541535221792967,5
insurance,outer_2,m5,4,20,3,0.005,,,0.8265885037760645,25512851.35161383,0.0140533447265625,21416937.839223534,0.8535675717995059,20581251.76028853,0.8605451261868451,8
insurance,outer_2,m5,4,20,3,0.003,,,0.8051253494227181,28519705.823149502,0.014001846313476562,21416937.839223534,0.8535675717995059,20581251.76028853,0.8605451261868451,8
insurance,outer_2,m5,4,20,3,0.001,,,0.8074566717912756,28154577.647647094,0.024041414260864258,19766028.90057338,0.8648552080824903,20975884.58148598,0.8578711649077353,14
insurance,outer_2,m5,4,20,3,0.0005,,,0.8063221461488199,28311526.48867054,0.025692224502563477,19649869.97341737,0.8656494128324088,20862224.293956473,0.8586413066483645,15
insurance,outer_2,m5,4,20,3,0.0001,,,0.8063221461488199,28311526.48867054,0.027240991592407227,19580404.338793624,0.8661243650235579,20895855.858560525,0.858413425193309,16
