dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_1,m5,4,20,3,0.1,,,0.47925508207084117,0.021366802925654,0.003863096237182617,0.020353719802309548,0.5057961703055165,0.019175503255830385,0.5519394968554561,2
optical_net,outer_1,m5,4,20,3,0.08,,,0.5690006524253788,0.017746617551440066,0.0074312686920166016,0.01369534862106928,0.6674664973640101,0.012788004066834351,0.7011916996411499,4
optical_net,outer_1,m5,4,20,3,0.05,,,0.6363777901531184,0.014867829540193113,0.007401704788208008,0.01369534862106928,0.6674664973640101,0.012788004066834351,0.7011916996411499,4
optical_net,outer_1,m5,4,20,3,0.03,,,0.6907151445459494,0.012636196404538119,0.011095762252807617,0.010435961727984102,0.7466068953189786,0.011480370359575165,0.7317462571401909,6
optical_net,outer_1,m5,4,20,3,0.01,,,0.7291234843675215,0.011081465646314521,0.014021635055541992,0.00907655677793373,0.7796142835971791,0.009345736861728569,0.7816247373195068,8
optical_net,outer_1,m5,4,20,3,0.008,,,0.7319840404018344,0.010964176230584032,0.015552520751953125,0.008667769894875953,0.7895399406809079,0.008687532778086256,0.7970045293882702,9
optical_net,outer_1,m5,4,20,3,0.005,,,0.7359166085347807,0.010797890923648851,0.017187833786010742,0.00834355271195218,0.7974121809893111,0.008893093658033147,0.7922013328271664,10
optical_net,outer_1,m5,4,20,3,0.003,,,0.735251386668382,0.010827800862148997,0.0186614990234375,0.008157170338542102,0.8019376870698437,0.008826536675400206,0.7937565230471275,11
optical_net,outer_1,m5,4,20,3,0.001,,,0.738315929275605,0.01069563900454088,0.023502588272094727,0.007911812523824202,0.807895161814352,0.008818638757417143,0.7939410681439666,14
optical_net,outer_1,m5,4,20,3,0.0005,,,0.738315929275605,0.01069563900454088,0.023451566696166992,0.007911812523824202,0.807895161814352,0.008818638757417143,0.7939410681439666,14
optical_net,outer_1,m5,4,20,3,0.0001,,,0.7381443960716852,0.010702494198611884,0.024866580963134766,0.007904655139587996,0.8080689485587152,0.0088264458585404,0.7937586451008413,15
