dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_1,m5,4,20,3,0.1,,,0.40319915269093487,251931.81265681496,0.014473676681518555,247051.54964763997,0.4147371624614936,242999.30588269662,0.3771104987850268,3
seoul_bike,outer_1,m5,4,20,3,0.08,,,0.40319915269093487,251931.81265681496,0.014332056045532227,247051.54964763997,0.4147371624614936,242999.30588269662,0.3771104987850268,3
seoul_bike,outer_1,m5,4,20,3,0.05,,,0.46952544702473586,223953.07067062028,0.01832294464111328,199041.9004114593,0.5284715777334114,203454.17161642667,0.4784780680014047,5
seoul_bike,outer_1,m5,4,20,3,0.03,,,0.5313835857707372,197783.77663502228,0.018040895462036133,199041.9004114593,0.5284715777334114,203454.17161642667,0.4784780680014047,5
seoul_bike,outer_1,m5,4,20,3,0.01,,,0.5746886626072863,179525.98505607,0.023383140563964844,171088.17123110895,0.5946937037763721,182243.62697959028,0.5328478758547437,8
seoul_bike,outer_1,m5,4,20,3,0.008,,,0.590777298722659,172736.355510883,0.02520918846130371,167136.83169210338,0.6040543906207769,178997.57700726207,0.5411686010553269,9
seoul_bike,outer_1,m5,4,20,3,0.005,,,0.6019712949162698,168009.16538643002,0.02880859375,160767.92519805464,0.6191422712353318,172083.99452919143,0.5588904539047865,11
seoul_bike,outer_1,m5,4,20,3,0.003,,,0.6082609851193509,165356.8351376023,0.031000614166259766,158815.82775082748,0.6237667720439499,169319.91443544245,0.5659757271102362,12
seoul_bike,outer_1,m5,4,20,3,0.001,,,0.6119948210176581,163777.54708090075,0.03532266616821289,156464.1241679828,0.629337936094158,166923.77677333797,0.5721178392770552,15
seoul_bike,outer_1,m5,4,20,3,0.0005,,,0.6135079822320237,163139.5774846413,0.03529000282287598,156464.1241679828,0.629337936094158,166923.77677333797,0.5721178392770552,15
seoul_bike,outer_1,m5,4,20,3,0.0001,,,0.6136736847163474,163069.79969863078,0.03687119483947754,156257.81253833204,0.6298266864377962,166823.1960474055,0.5723756617345324,16
