dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_0,m5,4,20,3,0.1,,,0.4108793643224198,245120.05549023865,0.0143141746520996,244501.13498569943,0.4123960315634901,250417.3097435932,0.3972711670325231,3.0
seoul_bike,outer_0,m5,4,20,3,0.08,,,0.4108793643224198,245120.05549023865,0.0141963958740234,244501.13498569943,0.4123960315634901,250417.3097435932,0.3972711670325231,3.0
seoul_bike,outer_0,m5,4,20,3,0.05,,,0.515565978203243,201564.7974297651,0.0180385112762451,198403.7364375373,0.523180851941047,203447.96395913087,0.5103215747655258,5.0
seoul_bike,outer_0,m5,4,20,3,0.03,,,0.515565978203243,201564.7974297651,0.0179543495178222,198403.7364375373,0.523180851941047,203447.96395913087,0.5103215747655258,5.0
seoul_bike,outer_0,m5,4,20,3,0.01,,,0.5769914791692059,176003.73097060187,0.0236105918884277,172414.14179068146,0.5856410485100403,177922.0920617309,0.5717597357095532,8.0
seoul_bike,outer_0,m5,4,20,3,0.008,,,0.588856561664242,171080.91793443213,0.0267534255981445,164848.65777612984,0.6038230026770568,176508.21352932497,0.5751627966188304,10.0
seoul_bike,outer_0,m5,4,20,3,0.005,,,0.5982152571544949,167181.5562228014,0.0289576053619384,161945.09116454376,0.6108010777018927,170988.6580311094,0.5884478017462518,11.0
seoul_bike,outer_0,m5,4,20,3,0.003,,,0.6015876228453231,165777.20745698118,0.0308594703674316,160258.65897146752,0.6148540415018712,169489.84586879556,0.5920552892092943,12.0
seoul_bike,outer_0,m5,4,20,3,0.001,,,0.6065683129972008,163704.08078614392,0.0351972579956054,157878.67179885815,0.620573810072823,167983.38751821883,0.5956811802648565,15.0
seoul_bike,outer_0,m5,4,20,3,0.0005,,,0.6065683129972008,163704.08078614392,0.0362532138824462,157878.67179885815,0.620573810072823,167983.38751821883,0.5956811802648565,15.0
seoul_bike,outer_0,m5,4,20,3,0.0001,,,0.6069345872392885,163551.8961040354,0.0369958877563476,157736.92772252884,0.6209144603596134,167756.11475070426,0.5962282025536496,16.0
seoul_bike,outer_1,m5,4,20,3,0.1,,,0.4031991526909348,251931.81265681496,0.0144736766815185,247051.54964764,0.4147371624614936,242999.30588269664,0.3771104987850268,3.0
seoul_bike,outer_1,m5,4,20,3,0.08,,,0.4031991526909348,251931.81265681496,0.0143320560455322,247051.54964764,0.4147371624614936,242999.30588269664,0.3771104987850268,3.0
seoul_bike,outer_1,m5,4,20,3,0.05,,,0.4695254470247358,223953.07067062028,0.0183229446411132,199041.9004114593,0.5284715777334114,203454.17161642667,0.4784780680014047,5.0
seoul_bike,outer_1,m5,4,20,3,0.03,,,0.5313835857707372,197783.77663502228,0.0180408954620361,199041.9004114593,0.5284715777334114,203454.17161642667,0.4784780680014047,5.0
seoul_bike,outer_1,m5,4,20,3,0.01,,,0.5746886626072863,179525.98505607,0.0233831405639648,171088.17123110895,0.5946937037763721,182243.62697959028,0.5328478758547437,8.0
seoul_bike,outer_1,m5,4,20,3,0.008,,,0.590777298722659,172736.355510883,0.0252091884613037,167136.83169210338,0.6040543906207769,178997.5770072621,0.5411686010553269,9.0
