dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_3,m5,4,20,3,0.1,,,0.8427699810239311,0.005171460265084083,0.00474095344543457,0.004905322434281945,0.8522669172043003,0.004762440014045357,0.8390709187200767,3
synch,outer_3,m5,4,20,3,0.08,,,0.8741219420787293,0.00416118707670387,0.0045855045318603516,0.004905322434281945,0.8522669172043003,0.004762440014045357,0.8390709187200767,3
synch,outer_3,m5,4,20,3,0.05,,,0.914653593531615,0.0028127199710898058,0.006189107894897461,0.002557145723983624,0.9229867096356854,0.0020747636890572022,0.9298910194420897,4
synch,outer_3,m5,4,20,3,0.03,,,0.914653593531615,0.0028127199710898058,0.006186008453369141,0.002557145723983624,0.9229867096356854,0.0020747636890572022,0.9298910194420897,4
synch,outer_3,m5,4,20,3,0.01,,,0.9633987965770596,0.0011978638324439655,0.012263774871826172,0.0006606769197613225,0.9801024622956116,0.0006205027331537898,0.979032400516621,8
synch,outer_3,m5,4,20,3,0.008,,,0.9745320490951584,0.0008376071843387645,0.01247859001159668,0.0006606769197613225,0.9801024622956116,0.0006205027331537898,0.979032400516621,8
synch,outer_3,m5,4,20,3,0.005,,,0.9779366149534602,0.0007278998011640684,0.01218271255493164,0.0006606769197613225,0.9801024622956116,0.0006205027331537898,0.979032400516621,8
synch,outer_3,m5,4,20,3,0.003,,,0.9819789470942522,0.0005950632896112373,0.01214909553527832,0.0006606769197613225,0.9801024622956116,0.0006205027331537898,0.979032400516621,8
synch,outer_3,m5,4,20,3,0.001,,,0.9926177795014514,0.00024276540846018086,0.024348735809326172,0.00016170480949959784,0.9951299531620363,0.00016285594939762275,0.9944968843197529,16
synch,outer_3,m5,4,20,3,0.0005,,,0.9940217219225179,0.00019674089362651688,0.024511337280273438,0.00016170480949959784,0.9951299531620363,0.00016285594939762275,0.9944968843197529,16
synch,outer_3,m5,4,20,3,0.0001,,,0.9940217219225179,0.00019674089362651688,0.024367094039916992,0.00016170480949959784,0.9951299531620363,0.00016285594939762275,0.9944968843197529,16
