dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_0,m5,4,20,3,0.1,,,0.8348092489929971,0.0052387170425826,0.0050184726715087,0.0050839562170927,0.8421370158195974,0.0048151468684957,0.8550148155984667,3.0
synch,outer_0,m5,4,20,3,0.08,,,0.8863031902127405,0.0034971783872088,0.0067217350006103,0.0023976738199403,0.9255493304536242,0.0026805163593694,0.9192890332801164,4.0
synch,outer_0,m5,4,20,3,0.05,,,0.9207261585165312,0.0025161980614365,0.0064179897308349,0.0023976738199403,0.9255493304536242,0.0026805163593694,0.9192890332801164,4.0
synch,outer_0,m5,4,20,3,0.03,,,0.9207261585165312,0.0025161980614365,0.0064265727996826,0.0023976738199403,0.9255493304536242,0.0026805163593694,0.9192890332801164,4.0
synch,outer_0,m5,4,20,3,0.01,,,0.9729367392601448,0.0008487122565424,0.014582872390747,0.0006401595107654,0.9801222735984348,0.0006929025516759,0.9791365441240584,8.0
synch,outer_0,m5,4,20,3,0.008,,,0.9777216219471034,0.0007123534238116,0.0123267173767089,0.0006401595107654,0.9801222735984348,0.0006929025516759,0.9791365441240584,8.0
synch,outer_0,m5,4,20,3,0.005,,,0.9777216219471034,0.0007123534238116,0.0119726657867431,0.0006401595107654,0.9801222735984348,0.0006929025516759,0.9791365441240584,8.0
synch,outer_0,m5,4,20,3,0.003,,,0.9786136609016106,0.000682893468606,0.0138247013092041,0.0005429808686605,0.983139787870037,0.00063623745318,0.980842743328142,9.0
synch,outer_0,m5,4,20,3,0.001,,,0.9928427797834578,0.0002278214475133,0.0250158309936523,0.0001543776796595,0.9952063864909036,0.0001682666496657,0.9949334523127362,16.0
synch,outer_0,m5,4,20,3,0.0005,,,0.9939437590917608,0.0001940503095636,0.0265531539916992,0.0001543776796595,0.9952063864909036,0.0001682666496657,0.9949334523127362,16.0
synch,outer_0,m5,4,20,3,0.0001,,,0.9939437590917608,0.0001940503095636,0.0243113040924072,0.0001543776796595,0.9952063864909036,0.0001682666496657,0.9949334523127362,16.0
synch,outer_1,m5,4,20,3,0.1,,,0.8851086618307905,0.0035319242558354,0.0052359104156494,0.0052894097061411,0.8335039895240528,0.0061135712029526,0.8208513847365592,3.0
synch,outer_1,m5,4,20,3,0.08,,,0.8851086618307905,0.0035319242558354,0.006972312927246,0.0023562477275187,0.9258318284799512,0.0027222786096607,0.9202278951054864,4.0
synch,outer_1,m5,4,20,3,0.05,,,0.922869726276658,0.0024414811915136,0.0070552825927734,0.0023562477275187,0.9258318284799512,0.0027222786096607,0.9202278951054864,4.0
synch,outer_1,m5,4,20,3,0.03,,,0.922869726276658,0.0024414811915136,0.0069277286529541,0.0023562477275187,0.9258318284799512,0.0027222786096607,0.9202278951054864,4.0
synch,outer_1,m5,4,20,3,0.01,,,0.9681281640888688,0.0009982812844534,0.012171983718872,0.0009031445750206,0.971571502875008,0.0009359469028947,0.9725735439978656,7.0
synch,outer_1,m5,4,20,3,0.008,,,0.973796008194094,0.000815530874768,0.0138709545135498,0.0006456527956071,0.979676633009459,0.0006835493923336,0.9799696571716384,8.0
synch,outer_1,m5,4,20,3,0.005,,,0.9781515535675084,0.0006897538524972,0.0136168003082275,0.0006456527956071,0.979676633009459,0.0006835493923336,0.9799696571716384,8.0
synch,outer_1,m5,4,20,3,0.003,,,0.9807325735471408,0.0006078342170149,0.0153717994689941,0.0005474719299684,0.9827670955264662,0.0006466292263568,0.9810515447281032,9.0
synch,outer_1,m5,4,20,3,0.001,,,0.9929233913186638,0.0002203682327809,0.0268921852111816,0.0001549949390518,0.99512118734797,0.0002138278001134,0.9937341116961784,16.0
synch,outer_1,m5,4,20,3,0.0005,,,0.9942789199706826,0.000179876580152,0.0270936489105224,0.0001549949390518,0.99512118734797,0.0002138278001134,0.9937341116961784,16.0
synch,outer_1,m5,4,20,3,0.0001,,,0.9942789199706826,0.000179876580152,0.0266399383544921,0.0001549949390518,0.99512118734797,0.0002138278001134,0.9937341116961784,16.0
