dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_4,m5,4,20,3,0.1,,,-0.001625978627439591,318701502544.4672,0.007089138031005859,318425549885.63367,0.0,318627561084.7171,-0.0004524953788742625,1
walmart,outer_4,m5,4,20,3,0.08,,,-0.001625978627439591,318701502544.4672,0.0070743560791015625,318425549885.63367,0.0,318627561084.7171,-0.0004524953788742625,1
walmart,outer_4,m5,4,20,3,0.05,,,-0.001625978627439591,318701502544.4672,0.0070116519927978516,318425549885.63367,0.0,318627561084.7171,-0.0004524953788742625,1
walmart,outer_4,m5,4,20,3,0.03,,,-0.001625978627439591,318701502544.4672,0.0068781375885009766,318425549885.63367,0.0,318627561084.7171,-0.0004524953788742625,1
walmart,outer_4,m5,4,20,3,0.01,,,0.09832084737338953,286645835855.704,0.019458293914794922,282017978818.0871,0.11433621165331354,290890814109.912,0.08663757815452655,7
walmart,outer_4,m5,4,20,3,0.008,,,0.10246041164295379,285361999311.6667,0.020972490310668945,279073348283.9744,0.12358368107016848,288448888173.0677,0.09430493401266193,8
walmart,outer_4,m5,4,20,3,0.005,,,0.10750640859429687,283751576375.0429,0.02307605743408203,276804208971.3792,0.13070980305821323,288163138080.6388,0.09520215518226816,9
walmart,outer_4,m5,4,20,3,0.003,,,0.10786189637568566,283646396798.16016,0.028428316116333008,273247235811.67532,0.14188030480024194,285053038596.6311,0.10496749619375945,12
walmart,outer_4,m5,4,20,3,0.001,,,0.11402195839702949,281665188058.52374,0.029427289962768555,272161568137.2643,0.14528979149124677,284368164594.5516,0.10711791878139754,14
walmart,outer_4,m5,4,20,3,0.0005,,,0.11451514640240827,281516716147.68713,0.03359341621398926,271972521802.55627,0.1458834823391575,284375358748.92474,0.1070953299956997,15
walmart,outer_4,m5,4,20,3,0.0001,,,0.11457976588700099,281493055228.2676,0.0347898006439209,271939147701.30057,0.14598829208594988,284347611601.43024,0.10718245272562288,16
