dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_0,m5,4,20,3,0.1,,,-0.0015268633630303,319052893523.88776,0.0070221424102783,318793364733.2247,1.1102230246251563e-16,317160282428.2182,-0.0005174065927695,1.0
walmart,outer_0,m5,4,20,3,0.08,,,-0.0015268633630303,319052893523.88776,0.0067694187164306,318793364733.2247,1.1102230246251563e-16,317160282428.2182,-0.0005174065927695,1.0
walmart,outer_0,m5,4,20,3,0.05,,,-0.0015268633630303,319052893523.88776,0.0066835880279541,318793364733.2247,1.1102230246251563e-16,317160282428.2182,-0.0005174065927695,1.0
walmart,outer_0,m5,4,20,3,0.03,,,0.0064750858409785,316363736224.1114,0.0068366527557373,318793364733.2247,1.1102230246251563e-16,317160282428.2182,-0.0005174065927695,1.0
walmart,outer_0,m5,4,20,3,0.01,,,0.0878701248535045,290537470533.8353,0.0145876407623291,288821763419.8324,0.0940157626507484,291776009249.0284,0.0795601080791171,5.0
walmart,outer_0,m5,4,20,3,0.008,,,0.0921482271655787,289100888702.7188,0.0178284645080566,283219903489.5959,0.1115878345629862,287192807409.9238,0.0940183283292835,7.0
walmart,outer_0,m5,4,20,3,0.005,,,0.1001166503396147,286537623579.8665,0.0179343223571777,283219903489.5959,0.1115878345629862,287192807409.9238,0.0940183283292835,7.0
walmart,outer_0,m5,4,20,3,0.003,,,0.1032211468256927,285563993455.55566,0.0213024616241455,280321540569.34863,0.1206795009553302,282995199694.31323,0.1072601490054491,9.0
walmart,outer_0,m5,4,20,3,0.001,,,0.1056409606740109,284788801935.9448,0.0278382301330566,278015108905.6197,0.1279143807203435,282335905008.4778,0.1093399674625467,13.0
walmart,outer_0,m5,4,20,3,0.0005,,,0.1060720578166343,284644024794.39545,0.0289797782897949,277820387341.4407,0.1285251888039495,282353022993.60785,0.1092859668734523,14.0
walmart,outer_0,m5,4,20,3,0.0001,,,0.1063438602056377,284550231342.8837,0.0336458683013916,277702908843.1083,0.1288936986643436,283391849380.8148,0.1060088734276054,16.0
walmart,outer_1,m5,4,20,3,0.1,,,-0.001396234892118,316783879815.0382,0.007127046585083,316541206230.5084,0.0,326202828071.31665,-0.0010236440390629,1.0
walmart,outer_1,m5,4,20,3,0.08,,,-0.001396234892118,316783879815.0382,0.0070235729217529,316541206230.5084,0.0,326202828071.31665,-0.0010236440390629,1.0
walmart,outer_1,m5,4,20,3,0.05,,,-0.001396234892118,316783879815.0382,0.0066170692443847,316541206230.5084,0.0,326202828071.31665,-0.0010236440390629,1.0
walmart,outer_1,m5,4,20,3,0.03,,,-0.001396234892118,316783879815.0382,0.0071043968200683,316541206230.5084,0.0,326202828071.31665,-0.0010236440390629,1.0
walmart,outer_1,m5,4,20,3,0.01,,,0.0894188550406937,288019489888.3029,0.014617919921875,287078892516.2861,0.0930757611783649,299776985656.56305,0.0800697457001435,5.0
walmart,outer_1,m5,4,20,3,0.008,,,0.0944672524182827,286449881914.65533,0.0181865692138671,281670656833.3771,0.1101611692593926,297004085783.44617,0.0885789862605473,7.0
walmart,outer_1,m5,4,20,3,0.005,,,0.1034589299462747,283576097535.40314,0.0216126441955566,277474722798.3216,0.1234167390002876,294805960686.36383,0.0953244066106555,9.0
walmart,outer_1,m5,4,20,3,0.003,,,0.1114957346510582,281053231440.9357,0.0215218067169189,277474722798.3216,0.1234167390002876,294805960686.36383,0.0953244066106555,9.0
walmart,outer_1,m5,4,20,3,0.001,,,0.1132711030312673,280504312457.1548,0.0249288082122802,276008515481.68976,0.1280487025101634,296246016604.6748,0.0909052848283867,11.0
walmart,outer_1,m5,4,20,3,0.0005,,,0.1143856899475804,280152990275.16034,0.0259797573089599,275709720577.02814,0.1289926393461279,296191184108.46735,0.0910735501542572,12.0
walmart,outer_1,m5,4,20,3,0.0001,,,0.1145442353656319,280101438457.9465,0.0293035507202148,275542847335.2896,0.1295198163406359,295978071146.1389,0.0917275331850094,14.0
walmart,outer_2,m5,4,20,3,0.1,,,-0.0015788764333931,319669166435.95703,0.0068912506103515,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1.0
walmart,outer_2,m5,4,20,3,0.08,,,-0.0015788764333931,319669166435.95703,0.0069222450256347,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1.0
walmart,outer_2,m5,4,20,3,0.05,,,-0.0015788764333931,319669166435.95703,0.0069139003753662,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1.0
walmart,outer_2,m5,4,20,3,0.03,,,0.0062493183921735,317296354636.5537,0.0069353580474853,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1.0
walmart,outer_2,m5,4,20,3,0.01,,,0.0895388420139078,290561847770.01105,0.0169131755828857,287429308587.71454,0.1000820754086173,291067465695.94214,0.0751516488417523,6.0
walmart,outer_2,m5,4,20,3,0.008,,,0.0978986243095914,287929258005.7236,0.0167627334594726,287429308587.71454,0.1000820754086173,291067465695.94214,0.0751516488417523,6.0
walmart,outer_2,m5,4,20,3,0.005,,,0.1071669264992413,284954566655.4707,0.0203859806060791,283121196670.1686,0.1135704254825702,288508018830.77484,0.083284128394104,8.0
walmart,outer_2,m5,4,20,3,0.003,,,0.1099728646344509,284038914091.4698,0.0224788188934326,281527116601.70435,0.1185613612848148,288209418978.0977,0.0842329104255971,9.0
