dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
airfoil,outer_0,pilot,4,20,3,1202.0,,,0.4844160879826467,24.040836245756065,0.0195164680480957,20.571010053207797,0.5577379422849111,25.702090380123767,0.5030397950164464,4.0,1202.0,0,1.0,2.0,
airfoil,outer_0,pilot,4,20,3,601.0,,,0.4844160879826467,24.040836245756065,0.0193076133728027,20.571010053207797,0.5577379422849111,25.702090380123767,0.5030397950164464,4.0,601.0,1,2.0,4.0,
airfoil,outer_0,pilot,4,20,3,300.0,,,0.4844160879826467,24.040836245756065,0.0192782878875732,20.571010053207797,0.5577379422849111,25.702090380123767,0.5030397950164464,4.0,300.0,2,5.0,10.0,
airfoil,outer_0,pilot,4,20,3,150.0,,,0.4844160879826467,24.040836245756065,0.0192351341247558,20.571010053207797,0.5577379422849111,25.702090380123767,0.5030397950164464,4.0,150.0,3,9.0,18.0,
airfoil,outer_0,pilot,4,20,3,75.0,,,0.4500235847643813,25.566128689105312,0.0192198753356933,20.571010053207797,0.5577379422849111,25.702090380123767,0.5030397950164464,4.0,75.0,4,17.0,34.0,
airfoil,outer_0,pilot,4,20,3,64.0,,,0.4500235847643813,25.566128689105312,0.0176088809967041,23.334670093955488,0.4983212207294498,27.190575258128085,0.474259344121293,3.0,64.0,5,19.0,38.0,
airfoil,outer_0,pilot,4,20,3,32.0,,,0.4500235847643813,25.566128689105312,0.0176529884338378,23.334670093955488,0.4983212207294498,27.190575258128085,0.474259344121293,3.0,32.0,6,38.0,76.0,
airfoil,outer_0,pilot,4,20,3,24.0,,,0.4500235847643813,25.566128689105312,0.0177505016326904,23.334670093955488,0.4983212207294498,27.190575258128085,0.474259344121293,3.0,24.0,7,51.0,102.0,
airfoil,outer_0,pilot,4,20,3,20.0,,,0.4500235847643813,25.566128689105312,0.0177464485168457,23.334670093955488,0.4983212207294498,27.190575258128085,0.474259344121293,3.0,20.0,8,61.0,122.0,
airfoil,outer_0,pilot,4,20,3,16.0,,,0.4500235847643813,25.566128689105312,0.0175628662109375,23.334670093955488,0.4983212207294498,27.190575258128085,0.474259344121293,3.0,16.0,9,76.0,152.0,
