dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_2,pilot,4,20,3,1202.0,,,0.5226522594355966,23.129509842859225,0.008139371871948242,23.531766612030566,0.5166939929445906,21.11333942173654,0.5095452399578344,2
airfoil,outer_2,pilot,4,20,3,601.0,,,0.5226522594355966,23.129509842859225,0.007822751998901367,23.531766612030566,0.5166939929445906,21.11333942173654,0.5095452399578344,2
airfoil,outer_2,pilot,4,20,3,300.0,,,0.5226522594355966,23.129509842859225,0.007776737213134766,23.531766612030566,0.5166939929445906,21.11333942173654,0.5095452399578344,2
airfoil,outer_2,pilot,4,20,3,150.0,,,0.5226522594355966,23.129509842859225,0.007797718048095703,23.531766612030566,0.5166939929445906,21.11333942173654,0.5095452399578344,2
airfoil,outer_2,pilot,4,20,3,75.0,,,0.4470706215406794,26.876985946369643,0.00779271125793457,23.531766612030566,0.5166939929445906,21.11333942173654,0.5095452399578344,2
airfoil,outer_2,pilot,4,20,3,64.0,,,0.4470706215406794,26.876985946369643,0.008118629455566406,23.531766612030566,0.5166939929445906,21.11333942173654,0.5095452399578344,2
airfoil,outer_2,pilot,4,20,3,32.0,,,0.4470706215406794,26.876985946369643,0.011806011199951172,24.19189403688542,0.5031359989735278,22.651605855532228,0.47381190191982303,3
airfoil,outer_2,pilot,4,20,3,24.0,,,0.4470706215406794,26.876985946369643,0.012096405029296875,24.19189403688542,0.5031359989735278,22.651605855532228,0.47381190191982303,3
airfoil,outer_2,pilot,4,20,3,20.0,,,0.4470706215406794,26.876985946369643,0.011759519577026367,24.19189403688542,0.5031359989735278,22.651605855532228,0.47381190191982303,3
airfoil,outer_2,pilot,4,20,3,16.0,,,0.4470706215406794,26.876985946369643,0.011606693267822266,24.19189403688542,0.5031359989735278,22.651605855532228,0.47381190191982303,3
airfoil,outer_2,pilot,4,20,3,14.0,,,0.4470706215406794,26.876985946369643,0.01137089729309082,24.19189403688542,0.5031359989735278,22.651605855532228,0.47381190191982303,3
airfoil,outer_2,pilot,4,20,3,12.0,,,0.4470706215406794,26.876985946369643,0.011999368667602539,24.19189403688542,0.5031359989735278,22.651605855532228,0.47381190191982303,3
airfoil,outer_2,pilot,4,20,3,10.0,,,0.4470706215406794,26.876985946369643,0.010126590728759766,24.469224045702454,0.49744007051189343,22.572214749129408,0.47565612680829295,3
airfoil,outer_2,pilot,4,20,3,8.0,,,0.4470706215406794,26.876985946369643,0.010007381439208984,24.469224045702454,0.49744007051189343,22.572214749129408,0.47565612680829295,3
airfoil,outer_2,pilot,4,20,3,6.0,,,0.4470706215406794,26.876985946369643,0.00913858413696289,24.629128723174105,0.4941558763222912,22.734629317314624,0.47188329881194935,3
airfoil,outer_2,pilot,4,20,3,4.0,,,0.4470706215406794,26.876985946369643,0.008255720138549805,26.133211789476928,0.4632643417834933,23.629220792581595,0.4511022826697979,1
airfoil,outer_2,pilot,4,20,3,2.0,,,-0.004650120699273137,48.810616733527176,0.0013415813446044922,48.68916642563628,0.0,43.050167673171906,-3.884909760576427e-05,1
