dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
auction,outer_0,pilot,4,20,3,1634.0,,,0.8581918148683304,15156102.560707606,0.0318837165832519,13546439.902479408,0.8728656460032762,15777998.09153053,0.8587972811305289,13.0,1634.0,0,1.0,2.0,
auction,outer_0,pilot,4,20,3,817.0,,,0.8581918148683304,15156102.560707606,0.0316803455352783,13546439.902479408,0.8728656460032762,15777998.09153053,0.8587972811305289,13.0,817.0,1,2.0,4.0,
auction,outer_0,pilot,4,20,3,408.0,,,0.8581916257740296,15156123.743349548,0.030076265335083,13546844.574610744,0.8728618481249872,15778644.394882107,0.8587914971400676,12.0,408.0,2,5.0,10.0,
auction,outer_0,pilot,4,20,3,204.0,,,0.8613333042580287,14811162.513108725,0.0298588275909423,13546844.574610744,0.8728618481249872,15778644.394882107,0.8587914971400676,12.0,204.0,3,9.0,18.0,
auction,outer_0,pilot,4,20,3,102.0,,,0.8613277464751409,14811830.618018692,0.0279498100280761,13550074.386246497,0.8728315361006621,15781253.84580461,0.8587681442683741,11.0,102.0,4,17.0,34.0,
auction,outer_0,pilot,4,20,3,64.0,,,0.8613266338999975,14811942.897406928,0.0274159908294677,13550102.65647068,0.8728312707824889,15781263.644535068,0.858768056576173,11.0,64.0,5,26.0,52.0,
auction,outer_0,pilot,4,20,3,32.0,,,0.860872634542321,14865619.759499168,0.0259568691253662,13554787.733166844,0.8727873009864775,15785504.638410872,0.8587301024667544,10.0,32.0,6,52.0,104.0,
auction,outer_0,pilot,4,20,3,24.0,,,0.8626294017315819,14691990.86330138,0.0210099220275878,14674755.144322705,0.8622763228741676,17595017.16163286,0.8425361539933763,10.0,24.0,7,69.0,138.0,
auction,outer_0,pilot,4,20,3,20.0,,,0.8540049022272401,15583234.480734913,0.0211148262023925,14674755.144322705,0.8622763228741676,17595017.16163286,0.8425361539933763,10.0,20.0,8,82.0,164.0,
auction,outer_0,pilot,4,20,3,16.0,,,0.800286280748712,21316483.26397049,0.0213494300842285,13528285.45683848,0.8730360268365684,17127601.650745608,0.8467192157858905,9.0,16.0,9,103.0,206.0,
auction,outer_0,pilot,4,20,3,14.0,,,0.7797322231977137,23489158.75302179,0.0194251537322998,14506619.08181639,0.8638542924251476,18115505.3840002,0.8378781262948398,8.0,14.0,10,117.0,234.0,
auction,outer_0,pilot,4,20,3,12.0,,,0.7768114977260101,23805863.1869135,0.0162115097045898,15854870.205552734,0.8512008545569292,18766177.034902085,0.8320550424241457,6.0,12.0,11,137.0,274.0,
auction,outer_0,pilot,4,20,3,10.0,,,0.5288996106530803,50216036.31877471,0.016397476196289,23336095.44136574,0.7809889948870693,26104544.154246025,0.7663814770388188,6.0,10.0,12,164.0,328.0,
auction,outer_0,pilot,4,20,3,8.0,,,0.528833082883706,50223081.36097735,0.012749433517456,23901862.899341952,0.7756792248810761,26152532.71680497,0.7659520109260298,5.0,8.0,13,205.0,410.0,
auction,outer_0,pilot,4,20,3,6.0,,,0.528833082883706,50223081.36097735,0.0082068443298339,49930360.702202536,0.5313998217689597,51535979.29917005,0.5387868375678264,3.0,6.0,14,273.0,546.0,
auction,outer_0,pilot,4,20,3,4.0,,,0.184199343453504,86907812.92560528,0.008430004119873,49930360.70220254,0.5313998217689596,51535979.29917004,0.5387868375678266,3.0,4.0,15,409.0,818.0,
auction,outer_0,pilot,4,20,3,2.0,,,-0.0005134861825898,106585708.58962569,0.0017950534820556,106552159.00832348,0.0,111773457.53908622,-0.000299024654615,1.0,2.0,16,817.0,1634.0,
auction,outer_1,pilot,4,20,3,1634.0,,,0.8638577745024337,15221028.454122905,0.0313961505889892,13270473.5152455,0.880538029888723,17283205.858436704,0.8147619032249596,13.0,1634.0,0,1.0,2.0,
auction,outer_1,pilot,4,20,3,817.0,,,0.8638550332664999,15221310.394867435,0.0311248302459716,13270473.5152455,0.880538029888723,17283205.858436704,0.8147619032249596,13.0,817.0,1,2.0,4.0,
auction,outer_1,pilot,4,20,3,408.0,,,0.8638633889455233,15220363.330398671,0.0296080112457275,13270624.57606408,0.8805366700259438,17282756.273603298,0.8147667217892677,12.0,408.0,2,5.0,10.0,
auction,outer_1,pilot,4,20,3,204.0,,,0.8668380629948432,14874326.289631022,0.0293414592742919,13270624.57606408,0.8805366700259438,17282756.273603298,0.8147667217892677,12.0,204.0,3,9.0,18.0,
auction,outer_1,pilot,4,20,3,102.0,,,0.8668185635778798,14876564.976123303,0.0276961326599121,13273757.84844628,0.8805084640322962,17285995.089889828,0.8147320087753955,11.0,102.0,4,17.0,34.0,
auction,outer_1,pilot,4,20,3,64.0,,,0.8668034792543705,14878281.351587534,0.0274455547332763,13273757.84844628,0.8805084640322962,17285995.089889828,0.8147320087753955,11.0,64.0,5,26.0,52.0,
auction,outer_1,pilot,4,20,3,32.0,,,0.8639736575983118,15202805.85210643,0.0269019603729248,13277452.318531942,0.8804752060875481,17292146.297524504,0.8146660813077458,11.0,32.0,6,52.0,104.0,
auction,outer_1,pilot,4,20,3,24.0,,,0.8692290715728782,14632140.88154135,0.020714521408081,14397212.71189138,0.8703950245107853,19414649.27586908,0.791917500093805,10.0,24.0,7,69.0,138.0,
auction,outer_1,pilot,4,20,3,20.0,,,0.8595834995919373,15709311.346293945,0.0207915306091308,14397212.71189138,0.8703950245107853,19414649.27586908,0.791917500093805,10.0,20.0,8,82.0,164.0,
