dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
energe_c,outer_0,pilot,4,20,3,614.0,,,0.8837323066399746,10.570523772095337,0.0178439617156982,9.003328749491457,0.90112292094436,11.716505166630412,0.8655030100837322,10.0,614.0,0,1.0,2.0,
energe_c,outer_0,pilot,4,20,3,307.0,,,0.8837323066399746,10.570523772095337,0.0173113346099853,9.003328749491457,0.90112292094436,11.716505166630414,0.8655030100837322,10.0,307.0,1,2.0,4.0,
energe_c,outer_0,pilot,4,20,3,153.0,,,0.8825776329674833,10.672006764527884,0.0123713016510009,9.206851486568254,0.8988877772188019,11.802055845731768,0.8645209502748742,7.0,153.0,2,5.0,10.0,
energe_c,outer_0,pilot,4,20,3,76.0,,,0.8825776329674833,10.672006764527884,0.0125598907470703,9.206851486568254,0.8988877772188019,11.802055845731765,0.8645209502748743,7.0,76.0,3,9.0,18.0,
energe_c,outer_0,pilot,4,20,3,64.0,,,0.8814708750669386,10.767677832285765,0.0126991271972656,9.206851486568254,0.8988877772188019,11.802055845731765,0.8645209502748743,7.0,64.0,4,10.0,20.0,
energe_c,outer_0,pilot,4,20,3,32.0,,,0.859865216906749,12.70338911128232,0.008819580078125,12.47308969526563,0.863017034012389,14.386276193492913,0.834855973124166,4.0,32.0,5,20.0,40.0,
energe_c,outer_0,pilot,4,20,3,24.0,,,0.859865216906749,12.70338911128232,0.008610725402832,12.47308969526563,0.863017034012389,14.386276193492913,0.834855973124166,4.0,24.0,6,26.0,52.0,
energe_c,outer_0,pilot,4,20,3,20.0,,,0.8558527938984968,13.083653361058447,0.0086631774902343,12.47308969526563,0.863017034012389,14.386276193492913,0.834855973124166,4.0,20.0,7,31.0,62.0,
energe_c,outer_0,pilot,4,20,3,16.0,,,0.8437003094709604,14.170941854377274,0.0087287425994873,12.47308969526563,0.863017034012389,14.386276193492913,0.834855973124166,4.0,16.0,8,39.0,78.0,
energe_c,outer_0,pilot,4,20,3,14.0,,,0.8437003094709604,14.170941854377274,0.0086405277252197,12.47308969526563,0.863017034012389,14.386276193492913,0.834855973124166,4.0,14.0,9,44.0,88.0,
