dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
energe_h,outer_0,pilot,4,20,3,614.0,,,0.923506917471486,7.917278441378261,0.0173397064208984,7.201238442263838,0.9305211236232812,9.422823928760842,0.8988657463146733,9.0,614.0,0,1.0,2.0,
energe_h,outer_0,pilot,4,20,3,307.0,,,0.923506917471486,7.917278441378261,0.016829490661621,7.201238442263838,0.9305211236232812,9.422823928760842,0.8988657463146733,9.0,307.0,1,2.0,4.0,
energe_h,outer_0,pilot,4,20,3,153.0,,,0.923506917471486,7.917278441378261,0.0169816017150878,7.201238442263838,0.9305211236232812,9.422823928760842,0.8988657463146733,9.0,153.0,2,5.0,10.0,
energe_h,outer_0,pilot,4,20,3,76.0,,,0.9229430983583996,7.975105633672604,0.0160484313964843,7.2013799609650055,0.9305197582247569,9.423113271222656,0.8988626408301439,9.0,76.0,3,9.0,18.0,
energe_h,outer_0,pilot,4,20,3,64.0,,,0.9229430983583996,7.975105633672604,0.0161619186401367,7.2013799609650055,0.9305197582247569,9.423113271222656,0.8988626408301439,9.0,64.0,4,10.0,20.0,
energe_h,outer_0,pilot,4,20,3,32.0,,,0.8463928825782365,15.85367771235125,0.0102851390838623,13.49462494136935,0.8698013701992017,15.433467960251106,0.834354087931933,5.0,32.0,5,20.0,40.0,
energe_h,outer_0,pilot,4,20,3,24.0,,,0.8463928825782365,15.85367771235125,0.0066125392913818,15.532731495251944,0.8501373423468934,16.75065562394928,0.8202168407182782,2.0,24.0,6,26.0,52.0,
energe_h,outer_0,pilot,4,20,3,20.0,,,0.8463928825782365,15.85367771235125,0.00663423538208,15.532731495251944,0.8501373423468934,16.75065562394928,0.8202168407182782,2.0,20.0,7,31.0,62.0,
energe_h,outer_0,pilot,4,20,3,16.0,,,0.8463928825782365,15.85367771235125,0.0066626071929931,15.532731495251944,0.8501373423468934,16.75065562394928,0.8202168407182782,2.0,16.0,8,39.0,78.0,
energe_h,outer_0,pilot,4,20,3,14.0,,,0.8463928825782365,15.85367771235125,0.0068116188049316,15.532731495251944,0.8501373423468934,16.75065562394928,0.8202168407182782,2.0,14.0,9,44.0,88.0,
energe_h,outer_0,pilot,4,20,3,12.0,,,0.8463928825782365,15.85367771235125,0.0065855979919433,15.532731495251944,0.8501373423468934,16.75065562394928,0.8202168407182782,2.0,12.0,10,52.0,104.0,
energe_h,outer_0,pilot,4,20,3,10.0,,,0.8463928825782365,15.85367771235125,0.0066926479339599,15.532731495251944,0.8501373423468934,16.75065562394928,0.8202168407182782,2.0,10.0,11,62.0,124.0,
energe_h,outer_0,pilot,4,20,3,8.0,,,0.8463928825782365,15.85367771235125,0.006484031677246,15.532731495251944,0.8501373423468934,16.75065562394928,0.8202168407182782,2.0,8.0,12,77.0,154.0,
energe_h,outer_0,pilot,4,20,3,6.0,,,0.7999666134473918,20.711559868942494,0.0064153671264648,15.532731495251944,0.8501373423468934,16.75065562394928,0.8202168407182782,2.0,6.0,13,103.0,206.0,
energe_h,outer_0,pilot,4,20,3,4.0,,,0.7923191789423872,21.487369627336975,0.0047767162322998,20.35326017410617,0.8036279927629557,19.940066019164,0.7859852088364883,2.0,4.0,14,154.0,308.0,
energe_h,outer_0,pilot,4,20,3,2.0,,,-0.000621272495462,103.6757828186263,0.0013673305511474,103.646443607094,0.0,94.0041589458905,-0.0089375043177415,1.0,2.0,15,307.0,614.0,
energe_h,outer_1,pilot,4,20,3,614.0,,,0.9165364983112462,8.432763548863852,0.0149533748626708,7.422421922763477,0.926734827552854,8.620209543402485,0.9162726997572042,8.0,614.0,0,1.0,2.0,
energe_h,outer_1,pilot,4,20,3,307.0,,,0.9165364983112464,8.432763548863848,0.0147721767425537,7.422421922763477,0.926734827552854,8.620209543402485,0.9162726997572042,8.0,307.0,1,2.0,4.0,
energe_h,outer_1,pilot,4,20,3,153.0,,,0.9165364983112464,8.432763548863848,0.0148453712463378,7.422421922763477,0.926734827552854,8.620209543402485,0.9162726997572042,8.0,153.0,2,5.0,10.0,
energe_h,outer_1,pilot,4,20,3,76.0,,,0.9160299952207496,8.484115867153415,0.0145702362060546,7.422421922763477,0.926734827552854,8.620209543402485,0.9162726997572042,8.0,76.0,3,9.0,18.0,
energe_h,outer_1,pilot,4,20,3,64.0,,,0.9160299952207492,8.484115867153418,0.0140547752380371,7.471439534890763,0.926250984968476,8.665666549473336,0.915831180049792,8.0,64.0,4,10.0,20.0,
energe_h,outer_1,pilot,4,20,3,32.0,,,0.8474565070733275,15.428499697861591,0.0102295875549316,13.184514350121264,0.8698584198600954,16.610896303870437,0.8386598962434095,5.0,32.0,5,20.0,40.0,
energe_h,outer_1,pilot,4,20,3,24.0,,,0.8474565070733275,15.428499697861591,0.0063221454620361,15.082314661966604,0.8511256304061339,18.508313938665356,0.8202304537577523,2.0,24.0,6,26.0,52.0,
energe_h,outer_1,pilot,4,20,3,20.0,,,0.8474565070733275,15.428499697861591,0.0064661502838134,15.082314661966604,0.8511256304061339,18.508313938665356,0.8202304537577523,2.0,20.0,7,31.0,62.0,
energe_h,outer_1,pilot,4,20,3,16.0,,,0.8474565070733275,15.428499697861591,0.0064108371734619,15.082314661966604,0.8511256304061339,18.508313938665356,0.8202304537577523,2.0,16.0,8,39.0,78.0,
energe_h,outer_1,pilot,4,20,3,14.0,,,0.8474565070733275,15.428499697861591,0.006376028060913,15.082314661966604,0.8511256304061339,18.508313938665356,0.8202304537577523,2.0,14.0,9,44.0,88.0,
energe_h,outer_1,pilot,4,20,3,12.0,,,0.8474565070733275,15.428499697861591,0.006359577178955,15.082314661966604,0.8511256304061339,18.508313938665356,0.8202304537577523,2.0,12.0,10,52.0,104.0,
energe_h,outer_1,pilot,4,20,3,10.0,,,0.8474565070733275,15.428499697861591,0.006406545639038,15.082314661966604,0.8511256304061339,18.508313938665356,0.8202304537577523,2.0,10.0,11,62.0,124.0,
energe_h,outer_1,pilot,4,20,3,8.0,,,0.8474565070733275,15.428499697861591,0.0065064430236816,15.082314661966604,0.8511256304061339,18.508313938665356,0.8202304537577523,2.0,8.0,12,77.0,154.0,
energe_h,outer_1,pilot,4,20,3,6.0,,,0.8063239279098084,19.64571733914387,0.0062921047210693,15.082314661966604,0.8511256304061339,18.508313938665356,0.8202304537577523,2.0,6.0,13,103.0,206.0,
energe_h,outer_1,pilot,4,20,3,4.0,,,0.7963738151903081,20.65743867914136,0.0046582221984863,19.56294950090681,0.8068982222146276,23.08022793478528,0.7758238747865547,2.0,4.0,14,154.0,308.0,
energe_h,outer_1,pilot,4,20,3,2.0,,,-0.0002231395243118,101.31855125741087,0.00132417678833,101.30900774331823,0.0,103.20692883394815,-0.0024393808652194,1.0,2.0,15,307.0,614.0,
energe_h,outer_2,pilot,4,20,3,614.0,,,0.911082692776992,8.924630626896274,0.015254259109497,8.136253547397091,0.9190056850393435,5.871060641878166,0.9446564989897726,8.0,614.0,0,1.0,2.0,
energe_h,outer_2,pilot,4,20,3,307.0,,,0.911082692776992,8.924630626896274,0.0146718025207519,8.136253547397091,0.9190056850393435,5.871060641878166,0.9446564989897726,8.0,307.0,1,2.0,4.0,
energe_h,outer_2,pilot,4,20,3,153.0,,,0.911082692776992,8.924630626896274,0.0143826007843017,8.136253547397091,0.9190056850393435,5.871060641878166,0.9446564989897726,8.0,153.0,2,5.0,10.0,
energe_h,outer_2,pilot,4,20,3,76.0,,,0.9108767387314796,8.945081041764483,0.0144107341766357,8.136253547397091,0.9190056850393435,5.871060641878166,0.9446564989897726,8.0,76.0,3,9.0,18.0,
energe_h,outer_2,pilot,4,20,3,64.0,,,0.9108767387314796,8.945081041764483,0.0137121677398681,8.17484327726009,0.9186215341870424,5.959623099483197,0.9438216657695242,8.0,64.0,4,10.0,20.0,
energe_h,outer_2,pilot,4,20,3,32.0,,,0.8286326357239909,17.205204122378134,0.006371259689331,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,32.0,5,20.0,40.0,
energe_h,outer_2,pilot,4,20,3,24.0,,,0.8286326357239909,17.205204122378134,0.006521463394165,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,24.0,6,26.0,52.0,
energe_h,outer_2,pilot,4,20,3,20.0,,,0.8286326357239909,17.205204122378134,0.0065424442291259,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,20.0,7,31.0,62.0,
energe_h,outer_2,pilot,4,20,3,16.0,,,0.8286326357239909,17.205204122378134,0.0064558982849121,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,16.0,8,39.0,78.0,
energe_h,outer_2,pilot,4,20,3,14.0,,,0.8286326357239909,17.205204122378134,0.0064404010772705,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,14.0,9,44.0,88.0,
energe_h,outer_2,pilot,4,20,3,12.0,,,0.8286326357239909,17.205204122378134,0.0063428878784179,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,12.0,10,52.0,104.0,
energe_h,outer_2,pilot,4,20,3,10.0,,,0.8286326357239909,17.205204122378134,0.0064582824707031,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,10.0,11,62.0,124.0,
energe_h,outer_2,pilot,4,20,3,8.0,,,0.8286326357239909,17.205204122378134,0.0064520835876464,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,8.0,12,77.0,154.0,
energe_h,outer_2,pilot,4,20,3,6.0,,,0.8132786745081079,18.754236425051413,0.0063066482543945,16.255452178581635,0.8381811473904804,13.928898420367034,0.8686993627181588,2.0,6.0,13,103.0,206.0,
energe_h,outer_2,pilot,4,20,3,4.0,,,0.7863239177260315,21.455810686419625,0.0046203136444091,17.0838846974851,0.8299343143771234,15.445775122157425,0.8544005379574131,2.0,4.0,14,154.0,308.0,
energe_h,outer_2,pilot,4,20,3,2.0,,,-0.0033114595243145,100.63959359741884,0.0012786388397216,100.4546251344842,0.0,106.6831406233736,-0.0056476778231919,1.0,2.0,15,307.0,614.0,
energe_h,outer_3,pilot,4,20,3,615.0,,,0.9174947699183552,8.209481563071295,0.0193793773651123,7.534917035622,0.9244262291996348,8.027846670549792,0.9266950903450256,9.0,615.0,0,1.0,2.0,
energe_h,outer_3,pilot,4,20,3,307.0,,,0.9174749686545702,8.211442922028544,0.0236847400665283,7.534917035622,0.9244262291996348,8.027846670549792,0.9266950903450256,9.0,307.0,1,3.0,6.0,
energe_h,outer_3,pilot,4,20,3,153.0,,,0.9176367271457668,8.195420385837771,0.0192019939422607,7.534917035622,0.9244262291996348,8.027846670549792,0.9266950903450256,9.0,153.0,2,5.0,10.0,
energe_h,outer_3,pilot,4,20,3,76.0,,,0.9175171274818352,8.207157301558247,0.0182044506072998,7.535090410371948,0.924424490284189,8.027951743455718,0.9266941308897456,9.0,76.0,3,9.0,18.0,
energe_h,outer_3,pilot,4,20,3,64.0,,,0.9175171274818352,8.207157301558247,0.0181877613067626,7.535090410371948,0.924424490284189,8.027951743455718,0.9266941308897456,9.0,64.0,4,10.0,20.0,
energe_h,outer_3,pilot,4,20,3,32.0,,,0.8405040874740123,15.87092877308076,0.0109193325042724,9.382840065241604,0.9058919161027608,10.709855544487498,0.9022047847542268,5.0,32.0,5,20.0,40.0,
energe_h,outer_3,pilot,4,20,3,24.0,,,0.8405040874740123,15.87092877308076,0.0069062709808349,15.497153865684924,0.8445665229270056,17.08929455148316,0.8439520279131186,2.0,24.0,6,26.0,52.0,
energe_h,outer_3,pilot,4,20,3,20.0,,,0.8405040874740123,15.87092877308076,0.0072205066680908,15.497153865684924,0.8445665229270056,17.08929455148316,0.8439520279131186,2.0,20.0,7,31.0,62.0,
energe_h,outer_3,pilot,4,20,3,16.0,,,0.8405040874740123,15.87092877308076,0.0069720745086669,15.497153865684924,0.8445665229270056,17.08929455148316,0.8439520279131186,2.0,16.0,8,39.0,78.0,
energe_h,outer_3,pilot,4,20,3,14.0,,,0.8405040874740123,15.87092877308076,0.0071933269500732,15.497153865684924,0.8445665229270056,17.08929455148316,0.8439520279131186,2.0,14.0,9,44.0,88.0,
energe_h,outer_3,pilot,4,20,3,12.0,,,0.8405040874740123,15.87092877308076,0.0073463916778564,15.497153865684924,0.8445665229270056,17.08929455148316,0.8439520279131186,2.0,12.0,10,52.0,104.0,
energe_h,outer_3,pilot,4,20,3,10.0,,,0.8405040874740123,15.87092877308076,0.00712251663208,15.497153865684924,0.8445665229270056,17.08929455148316,0.8439520279131186,2.0,10.0,11,62.0,124.0,
energe_h,outer_3,pilot,4,20,3,8.0,,,0.8405040874740123,15.87092877308076,0.0072362422943115,15.497153865684924,0.8445665229270056,17.08929455148316,0.8439520279131186,2.0,8.0,12,77.0,154.0,
energe_h,outer_3,pilot,4,20,3,6.0,,,0.8142814927667917,18.47005318136725,0.0075728893280029,15.497153865684924,0.8445665229270056,17.08929455148316,0.8439520279131186,2.0,6.0,13,103.0,206.0,
energe_h,outer_3,pilot,4,20,3,4.0,,,0.7855493322702731,21.311515522206594,0.0050714015960693,16.64968926213782,0.8330068142428808,17.19861147948198,0.8429538190708759,2.0,4.0,14,154.0,308.0,
energe_h,outer_3,pilot,4,20,3,2.0,,,-0.0050091458280799,99.97676557763236,0.0056042671203613,21.18164379069901,0.787552180674923,19.548028059846647,0.8215005231581207,1.0,2.0,15,307.0,614.0,
