dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
insurance,outer_0,pilot,4,20,3,1070.0,,,0.8355192784711934,24039416.88945829,0.0100717544555664,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,1070.0,0,1.0,2.0,
insurance,outer_0,pilot,4,20,3,535.0,,,0.8355192784711934,24039416.88945829,0.0095641613006591,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,535.0,1,2.0,4.0,
insurance,outer_0,pilot,4,20,3,267.0,,,0.8355192784711934,24039416.88945829,0.0097169876098632,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,267.0,2,5.0,10.0,
insurance,outer_0,pilot,4,20,3,133.0,,,0.8355192784711934,24039416.88945829,0.0095932483673095,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,133.0,3,9.0,18.0,
insurance,outer_0,pilot,4,20,3,66.0,,,0.8355192784711934,24039416.88945829,0.009533405303955,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,66.0,4,17.0,34.0,
insurance,outer_0,pilot,4,20,3,32.0,,,0.8355192784711934,24039416.88945829,0.009514570236206,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,32.0,5,34.0,68.0,
insurance,outer_0,pilot,4,20,3,24.0,,,0.8355192784711934,24039416.88945829,0.0095925331115722,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,24.0,6,45.0,90.0,
insurance,outer_0,pilot,4,20,3,20.0,,,0.8355192784711934,24039416.88945829,0.0094177722930908,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,20.0,7,54.0,108.0,
insurance,outer_0,pilot,4,20,3,16.0,,,0.8355192784711934,24039416.88945829,0.0096485614776611,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,16.0,8,67.0,134.0,
insurance,outer_0,pilot,4,20,3,14.0,,,0.699546732839086,43779984.64877265,0.0094678401947021,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,14.0,9,77.0,154.0,
