dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
servo,outer_0,pilot,4,20,3,133.0,,,0.5729481438459334,1.0062128366249885,0.0014550685882568,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,133.0,0,1.0,2.0,
servo,outer_0,pilot,4,20,3,66.0,,,0.5729481438459334,1.0062128366249885,0.0012753009796142,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,66.0,1,3.0,6.0,
servo,outer_0,pilot,4,20,3,32.0,,,0.5729481438459334,1.0062128366249885,0.0012345314025878,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,32.0,2,5.0,10.0,
servo,outer_0,pilot,4,20,3,24.0,,,0.5729481438459334,1.0062128366249885,0.0012657642364501,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,24.0,3,6.0,12.0,
servo,outer_0,pilot,4,20,3,20.0,,,0.5729481438459334,1.0062128366249885,0.0012085437774658,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,20.0,4,7.0,14.0,
servo,outer_0,pilot,4,20,3,16.0,,,0.5729481438459334,1.0062128366249885,0.0012300014495849,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,16.0,5,9.0,18.0,
servo,outer_0,pilot,4,20,3,14.0,,,0.5729481438459334,1.0062128366249885,0.0011978149414062,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,14.0,6,10.0,20.0,
servo,outer_0,pilot,4,20,3,12.0,,,0.5729481438459334,1.0062128366249885,0.0011978149414062,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,12.0,7,12.0,24.0,
servo,outer_0,pilot,4,20,3,10.0,,,0.5729481438459334,1.0062128366249885,0.0012283325195312,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,10.0,8,14.0,28.0,
servo,outer_0,pilot,4,20,3,8.0,,,0.5729481438459334,1.0062128366249885,0.0011920928955078,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,8.0,9,17.0,34.0,
servo,outer_0,pilot,4,20,3,6.0,,,0.5729481438459334,1.0062128366249885,0.0011615753173828,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,6.0,10,23.0,46.0,
servo,outer_0,pilot,4,20,3,4.0,,,0.1087925683870522,2.083986460189198,0.0011992454528808,1.0030874651759536,0.5763261087324202,0.9261153177896406,0.641219729856278,2.0,4.0,11,34.0,68.0,
servo,outer_0,pilot,4,20,3,2.0,,,-0.0128546379808499,2.382815118201293,0.0009126663208007,2.045394429825994,0.1360870837824666,2.303273083117099,0.1077040589849966,1.0,2.0,12,66.0,132.0,
servo,outer_1,pilot,4,20,3,133.0,,,0.5750753299367107,1.064165903472435,0.0023078918457031,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,133.0,0,1.0,2.0,
servo,outer_1,pilot,4,20,3,66.0,,,0.5750753299367107,1.064165903472435,0.0012452602386474,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,66.0,1,3.0,6.0,
servo,outer_1,pilot,4,20,3,32.0,,,0.5750753299367107,1.064165903472435,0.0012414455413818,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,32.0,2,5.0,10.0,
servo,outer_1,pilot,4,20,3,24.0,,,0.5750753299367107,1.064165903472435,0.0011518001556396,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,24.0,3,6.0,12.0,
servo,outer_1,pilot,4,20,3,20.0,,,0.5750753299367107,1.064165903472435,0.0013129711151123,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,20.0,4,7.0,14.0,
servo,outer_1,pilot,4,20,3,16.0,,,0.5750753299367107,1.064165903472435,0.0012435913085937,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,16.0,5,9.0,18.0,
servo,outer_1,pilot,4,20,3,14.0,,,0.5750753299367107,1.064165903472435,0.0012307167053222,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,14.0,6,10.0,20.0,
servo,outer_1,pilot,4,20,3,12.0,,,0.5750753299367107,1.064165903472435,0.0012273788452148,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,12.0,7,12.0,24.0,
servo,outer_1,pilot,4,20,3,10.0,,,0.5750753299367105,1.0641659034724351,0.0012075901031494,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,10.0,8,14.0,28.0,
servo,outer_1,pilot,4,20,3,8.0,,,0.5750753299367105,1.0641659034724351,0.0012564659118652,1.0083481246844097,0.6135205970813944,0.9331542797444228,0.4239357956046189,2.0,8.0,9,17.0,34.0,
servo,outer_1,pilot,4,20,3,6.0,,,0.5750753299367105,1.0641659034724351,0.0011472702026367,1.0083481246844097,0.6135205970813944,0.9331542797444232,0.4239357956046187,2.0,6.0,10,23.0,46.0,
servo,outer_1,pilot,4,20,3,4.0,,,0.0901710754994546,2.338240920928472,0.0011889934539794,1.0083481246844097,0.6135205970813944,0.9331542797444232,0.4239357956046187,2.0,4.0,11,34.0,68.0,
servo,outer_1,pilot,4,20,3,2.0,,,-0.0242227236825835,2.6411460853475046,0.0008955001831054,2.3016818756733186,0.1178119785791135,1.3080298847918028,0.1925138090623697,1.0,2.0,12,66.0,132.0,
servo,outer_2,pilot,4,20,3,134.0,,,0.5986148777507416,1.078324809079359,0.0016264915466308,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,134.0,0,1.0,2.0,
servo,outer_2,pilot,4,20,3,67.0,,,0.5986148777507416,1.078324809079359,0.0012392997741699,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,67.0,1,2.0,4.0,
servo,outer_2,pilot,4,20,3,64.0,,,0.5986148777507416,1.078324809079359,0.0012636184692382,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,64.0,2,3.0,6.0,
servo,outer_2,pilot,4,20,3,32.0,,,0.5986148777507416,1.078324809079359,0.0013043880462646,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,32.0,3,5.0,10.0,
servo,outer_2,pilot,4,20,3,24.0,,,0.5986148777507416,1.078324809079359,0.0012164115905761,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,24.0,4,6.0,12.0,
servo,outer_2,pilot,4,20,3,20.0,,,0.5986148777507416,1.078324809079359,0.0012650489807128,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,20.0,5,7.0,14.0,
servo,outer_2,pilot,4,20,3,16.0,,,0.5986148777507416,1.078324809079359,0.0013198852539062,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,16.0,6,9.0,18.0,
servo,outer_2,pilot,4,20,3,14.0,,,0.5986148777507416,1.078324809079359,0.0012001991271972,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,14.0,7,10.0,20.0,
servo,outer_2,pilot,4,20,3,12.0,,,0.5986148777507416,1.078324809079359,0.0011966228485107,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,12.0,8,12.0,24.0,
servo,outer_2,pilot,4,20,3,10.0,,,0.5986148777507417,1.078324809079359,0.0011951923370361,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,10.0,9,14.0,28.0,
servo,outer_2,pilot,4,20,3,8.0,,,0.5986148777507417,1.078324809079359,0.0012440681457519,1.0568210843393713,0.6067201068000724,0.7194755918320649,0.3875307099801763,2.0,8.0,10,17.0,34.0,
servo,outer_2,pilot,4,20,3,6.0,,,0.5986148777507417,1.078324809079359,0.0012605190277099,1.056821084339371,0.6067201068000725,0.719475591832065,0.3875307099801762,2.0,6.0,11,23.0,46.0,
servo,outer_2,pilot,4,20,3,4.0,,,0.144100304798227,2.289543415980182,0.0012309551239013,1.056821084339371,0.6067201068000725,0.719475591832065,0.3875307099801762,2.0,4.0,12,34.0,68.0,
servo,outer_2,pilot,4,20,3,2.0,,,-0.0133383389442995,2.705653250236858,0.000554084777832,2.687198360792185,0.0,1.3612212562914954,-0.1587692839972569,1.0,2.0,13,67.0,134.0,
servo,outer_3,pilot,4,20,3,134.0,,,0.5694950965969107,1.0639410924816193,0.0019919872283935,1.04072629971922,0.5940216285269498,0.7685675246533397,0.5667738466241703,2.0,134.0,0,1.0,2.0,
servo,outer_3,pilot,4,20,3,67.0,,,0.5694950965969107,1.0639410924816193,0.0011720657348632,1.04072629971922,0.5940216285269498,0.7685675246533397,0.5667738466241703,2.0,67.0,1,2.0,4.0,
servo,outer_3,pilot,4,20,3,64.0,,,0.5694950965969107,1.0639410924816193,0.0011258125305175,1.04072629971922,0.5940216285269498,0.7685675246533397,0.5667738466241703,2.0,64.0,2,3.0,6.0,
