dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
temperature_min,outer_0,pilot,4,20,3,6072.0,,,0.8292331855562352,1.037869708353761,0.5117576122283936,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,6072.0,0,1.0,2.0,
temperature_min,outer_0,pilot,4,20,3,3036.0,,,0.8292331855562352,1.037869708353761,0.5088193416595459,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,3036.0,1,2.0,4.0,
temperature_min,outer_0,pilot,4,20,3,1518.0,,,0.8292331855562352,1.037869708353761,0.5276157855987549,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,1518.0,2,4.0,8.0,
temperature_min,outer_0,pilot,4,20,3,759.0,,,0.8292331855562352,1.037869708353761,0.5229287147521973,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,759.0,3,8.0,16.0,
temperature_min,outer_0,pilot,4,20,3,379.0,,,0.8292331855562352,1.037869708353761,0.5251846313476562,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,379.0,4,17.0,34.0,
temperature_min,outer_0,pilot,4,20,3,189.0,,,0.8292331855562352,1.037869708353761,0.5121915340423584,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,189.0,5,33.0,66.0,
temperature_min,outer_0,pilot,4,20,3,94.0,,,0.8292331855562352,1.037869708353761,0.5126285552978516,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,94.0,6,65.0,130.0,
temperature_min,outer_0,pilot,4,20,3,64.0,,,0.8292331855562352,1.037869708353761,0.521806001663208,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,64.0,7,95.0,190.0,
temperature_min,outer_0,pilot,4,20,3,32.0,,,0.8292331855562352,1.037869708353761,0.514507532119751,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,32.0,8,190.0,380.0,
temperature_min,outer_0,pilot,4,20,3,24.0,,,0.8292331855562352,1.037869708353761,0.5280663967132568,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,24.0,9,253.0,506.0,
temperature_min,outer_0,pilot,4,20,3,20.0,,,0.8292331855562352,1.037869708353761,0.5303831100463867,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,20.0,10,304.0,608.0,
temperature_min,outer_0,pilot,4,20,3,16.0,,,0.8292331855562352,1.037869708353761,0.5285344123840332,1.0223162593498625,0.8318017376771888,1.1044274936015357,0.8327455824959046,1.0,16.0,11,380.0,760.0,
