dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_4,pilot,4,5,3,1071.0,,,0.8389620049713541,25041618.242550988,0.017369747161865234,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,535.0,,,0.8389620049713541,25041618.242550988,0.009479284286499023,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,267.0,,,0.8389620049713541,25041618.242550988,0.009669780731201172,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,133.0,,,0.8389620049713541,25041618.242550988,0.009443044662475586,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,66.0,,,0.8389620049713541,25041618.242550988,0.00941920280456543,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,32.0,,,0.8389620049713541,25041618.242550988,0.009312629699707031,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,24.0,,,0.8389620049713541,25041618.242550988,0.009434700012207031,24650121.689606678,0.8407850864537705,19403224.457343645,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,20.0,,,0.8389620049713541,25041618.242550988,0.00934457778930664,24650121.689606678,0.8407850864537705,19403224.457343645,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,16.0,,,0.8389620049713541,25041618.242550988,0.009288549423217773,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,14.0,,,0.7072292528556945,45174238.9625364,0.009248733520507812,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,12.0,,,0.7072292528556945,45174238.9625364,0.00918126106262207,24650121.68960668,0.8407850864537705,19403224.45734365,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,10.0,,,0.7072292528556945,45174238.9625364,0.009627819061279297,24650121.689606678,0.8407850864537705,19403224.457343645,0.8278527633987938,2
insurance,outer_4,pilot,4,5,3,8.0,,,0.7072292528556945,45174238.9625364,0.007174491882324219,44668533.69014114,0.7114863439919132,42538854.80621512,0.6225912698598753,2
insurance,outer_4,pilot,4,5,3,6.0,,,0.12108918499226218,136135104.00877827,0.007147312164306641,44668533.69014114,0.7114863439919132,42538854.80621512,0.6225912698598753,2
insurance,outer_4,pilot,4,5,3,4.0,,,0.12108918499226218,136135104.00877827,0.005144357681274414,135080187.11446542,0.12751829041452178,107888106.70039737,0.04280654633255021,1
insurance,outer_4,pilot,4,5,3,2.0,,,-0.000171124798456009,154837595.494026,0.004995822906494141,135080187.11446542,0.12751829041452178,107888106.70039737,0.04280654633255021,1
