dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_4,pilot,4,5,3,446.0,,,0.9999496851221016,1.6890380313199113e-06,0.00244903564453125,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,223.0,,,0.9999496851221016,1.6890380313199113e-06,0.0022041797637939453,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,111.0,,,0.9999496851221016,1.6890380313199113e-06,0.002186298370361328,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,64.0,,,0.9999496851221016,1.6890380313199113e-06,0.002208709716796875,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,32.0,,,0.9999496851221016,1.6890380313199113e-06,0.0021982192993164062,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,24.0,,,0.9999496851221016,1.6890380313199113e-06,0.0021371841430664062,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,20.0,,,0.9999496851221016,1.6890380313199113e-06,0.002129077911376953,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,16.0,,,0.9999496851221016,1.6890380313199113e-06,0.002089262008666992,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,14.0,,,0.9999496851221016,1.6890380313199113e-06,0.0020170211791992188,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,12.0,,,0.9999496851221016,1.6890380313199113e-06,0.0021049976348876953,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,10.0,,,0.9999496851221016,1.6890380313199113e-06,0.0020651817321777344,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,8.0,,,0.9999496851221016,1.6890380313199113e-06,0.0021169185638427734,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,6.0,,,0.9999496851221016,1.6890380313199113e-06,0.0020799636840820312,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,4.0,,,0.9999496851221016,1.6890380313199113e-06,0.0021126270294189453,1.3486691485000483e-32,1.0,9.771925627737759e-33,1.0,1
synch,outer_4,pilot,4,5,3,2.0,,,-3.8906065574625025e-05,0.032650383913515,0.0008652210235595703,0.03265621862494721,0.0,0.032195043807889206,-0.01492419652150323,1
