dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
walmart,outer_0,pilot,4,5,3,5148.0,,,0.0214555494815074,311730708022.1753,0.0110573768615722,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,5148.0,0,1.0,2.0,
walmart,outer_0,pilot,4,5,3,2574.0,,,0.0214555494815074,311730708022.1753,0.0107393264770507,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,2574.0,1,2.0,4.0,
walmart,outer_0,pilot,4,5,3,1287.0,,,0.0214555494815074,311730708022.1753,0.0108945369720458,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,1287.0,2,4.0,8.0,
walmart,outer_0,pilot,4,5,3,643.0,,,0.0214555494815075,311730708022.1753,0.0106351375579833,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,643.0,3,9.0,18.0,
walmart,outer_0,pilot,4,5,3,321.0,,,0.0214555494815075,311730708022.1753,0.0105752944946289,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,321.0,4,17.0,34.0,
walmart,outer_0,pilot,4,5,3,160.0,,,0.0214555494815074,311730708022.1753,0.010657787322998,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,160.0,5,33.0,66.0,
walmart,outer_0,pilot,4,5,3,80.0,,,0.0214555494815074,311730708022.1754,0.0105743408203125,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,80.0,6,65.0,130.0,
walmart,outer_0,pilot,4,5,3,64.0,,,0.0214555494815074,311730708022.1753,0.0113861560821533,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,64.0,7,81.0,162.0,
walmart,outer_0,pilot,4,5,3,32.0,,,0.0214555494815074,311730708022.1754,0.0108013153076171,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,32.0,8,161.0,322.0,
walmart,outer_0,pilot,4,5,3,24.0,,,0.0214555494815074,311730708022.1754,0.0105729103088378,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,24.0,9,215.0,430.0,
walmart,outer_0,pilot,4,5,3,20.0,,,0.0214555494815074,311730708022.1753,0.0106375217437744,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,20.0,10,258.0,516.0,
walmart,outer_0,pilot,4,5,3,16.0,,,0.0214555494815074,311730708022.1753,0.0106444358825683,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,16.0,11,322.0,644.0,
walmart,outer_0,pilot,4,5,3,14.0,,,0.0214555494815075,311730708022.1753,0.0105054378509521,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,14.0,12,368.0,736.0,
walmart,outer_0,pilot,4,5,3,12.0,,,0.0214555494815074,311730708022.1753,0.0109839439392089,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,12.0,13,429.0,858.0,
walmart,outer_0,pilot,4,5,3,10.0,,,0.0214555494815075,311730708022.1753,0.0106863975524902,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,10.0,14,515.0,1030.0,
walmart,outer_0,pilot,4,5,3,8.0,,,0.0214555494815074,311730708022.1753,0.0107142925262451,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,8.0,15,644.0,1288.0,
walmart,outer_0,pilot,4,5,3,6.0,,,0.0214555494815075,311730708022.1753,0.0106034278869628,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,6.0,16,858.0,1716.0,
walmart,outer_0,pilot,4,5,3,4.0,,,0.0214555494815075,311730708022.1753,0.0105845928192138,310767293117.3655,0.0251764073652401,311843486500.1136,0.0162550178503011,1.0,4.0,17,1287.0,2574.0,
walmart,outer_0,pilot,4,5,3,2.0,,,-0.0015268633630303,319052893523.8879,0.0032408237457275,318793364733.22473,0.0,317160282428.21814,-0.0005174065927693,1.0,2.0,18,2574.0,5148.0,
walmart,outer_1,pilot,4,5,3,5148.0,,,0.0167852431032168,311019655139.2389,0.0092573165893554,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,5148.0,0,1.0,2.0,
walmart,outer_1,pilot,4,5,3,2574.0,,,0.0167852431032168,311019655139.23883,0.0085301399230957,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,2574.0,1,2.0,4.0,
