dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
yacht,outer_0,pilot,4,5,3,246.0,,,0.6404566704358596,83.1103234887444,0.0068962574005126,63.07737590032334,0.73156116920907,56.06064867497894,0.7271395473763664,3.0,246.0,0,1.0,2.0,
yacht,outer_0,pilot,4,5,3,123.0,,,0.6404566704358596,83.1103234887444,0.0064940452575683,63.07737590032334,0.73156116920907,56.060648674978935,0.7271395473763664,3.0,123.0,1,2.0,4.0,
yacht,outer_0,pilot,4,5,3,64.0,,,0.6404566704358597,83.11032348874438,0.0063796043395996,63.07737590032334,0.73156116920907,56.060648674978935,0.7271395473763664,3.0,64.0,2,4.0,8.0,
yacht,outer_0,pilot,4,5,3,32.0,,,0.6404566704358596,83.1103234887444,0.0059127807617187,63.0775276248701,0.7315605235138527,56.06058681145815,0.7271398484807718,3.0,32.0,3,8.0,16.0,
yacht,outer_0,pilot,4,5,3,24.0,,,0.6404566704358597,83.11032348874438,0.0053575038909912,63.0775276248701,0.7315605235138527,56.06058681145815,0.7271398484807718,3.0,24.0,4,11.0,22.0,
yacht,outer_0,pilot,4,5,3,20.0,,,0.6404566704358597,83.11032348874438,0.0053389072418212,63.07752762487012,0.7315605235138527,56.06058681145818,0.7271398484807717,3.0,20.0,5,13.0,26.0,
yacht,outer_0,pilot,4,5,3,16.0,,,0.6404566704358597,83.11032348874438,0.0051450729370117,63.0775276248701,0.7315605235138527,56.06058681145815,0.7271398484807718,3.0,16.0,6,16.0,32.0,
yacht,outer_0,pilot,4,5,3,14.0,,,0.6404566704358596,83.1103234887444,0.0033800601959228,71.48179708964842,0.6957944150387307,65.90835306252559,0.6792084381223809,2.0,14.0,7,18.0,36.0,
yacht,outer_0,pilot,4,5,3,12.0,,,0.6404566704358596,83.1103234887444,0.0016098022460937,80.75297775611277,0.6563389864855527,71.00250723332012,0.6544139834446213,1.0,12.0,8,21.0,42.0,
yacht,outer_0,pilot,4,5,3,10.0,,,0.6404566704358596,83.1103234887444,0.0017180442810058,80.75297775611277,0.6563389864855527,71.00250723332012,0.6544139834446213,1.0,10.0,9,25.0,50.0,
