dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_4,pilot,4,1203,3,1203.0,,,0.6988970973726656,14.168552754278506,0.025456666946411133,13.01197279934223,0.7254882876586377,13.75061880845608,0.7145305752137401,10
airfoil,outer_4,pilot,4,1203,3,601.0,,,0.6993920796405001,14.144320921108667,0.025083541870117188,13.01197279934223,0.7254882876586377,13.75061880845608,0.7145305752137401,10
airfoil,outer_4,pilot,4,1203,3,300.0,,,0.6992079362965663,14.152458866325508,0.024930477142333984,13.01197279934223,0.7254882876586377,13.75061880845608,0.7145305752137401,10
airfoil,outer_4,pilot,4,1203,3,150.0,,,0.699447526538556,14.139468552736936,0.024546146392822266,13.020189218008941,0.7253149470597682,13.759508086375817,0.7143460295514785,10
airfoil,outer_4,pilot,4,1203,3,75.0,,,0.692350915406266,14.433845552439415,0.0233004093170166,13.06846132041422,0.7242965574816512,13.78699935449385,0.7137752976734723,9
airfoil,outer_4,pilot,4,1203,3,64.0,,,0.692350915406266,14.433845552439415,0.022417545318603516,13.089101290966338,0.7238611190015444,13.80879240645489,0.7133228634889227,9
airfoil,outer_4,pilot,4,1203,3,32.0,,,0.6355712415964639,17.290740465558013,0.02031087875366211,13.927539505677542,0.7061727089839303,16.354518577977537,0.6604723702877738,9
airfoil,outer_4,pilot,4,1203,3,24.0,,,0.5717184775406564,20.11576220082622,0.017760515213012695,14.421253847834357,0.6957568887572074,16.654388223345038,0.6542469329917244,8
airfoil,outer_4,pilot,4,1203,3,20.0,,,0.5551445397076892,20.87120887281957,0.017682313919067383,14.50113320312468,0.6940716855263354,16.708863788331698,0.6531159942013854,8
airfoil,outer_4,pilot,4,1203,3,16.0,,,0.5239301519556138,22.54456060687525,0.015380382537841797,18.874985115066355,0.6017971629469963,18.312241648577366,0.6198291027636067,7
airfoil,outer_4,pilot,4,1203,3,14.0,,,0.4874279935148263,24.279389263251108,0.015248298645019531,18.874985115066355,0.6017971629469963,18.312241648577366,0.6198291027636067,7
airfoil,outer_4,pilot,4,1203,3,12.0,,,0.41721070872277904,27.519631148433174,0.015030860900878906,18.874985115066355,0.6017971629469963,18.312241648577366,0.6198291027636067,7
airfoil,outer_4,pilot,4,1203,3,10.0,,,0.4718103120399639,24.48751307483541,0.01271677017211914,21.852780466286337,0.5389750441590698,22.172435413691275,0.5396896334756567,6
airfoil,outer_4,pilot,4,1203,3,8.0,,,0.5024304331578896,23.188479470875393,0.012423992156982422,24.972954315132785,0.4731491867538903,24.604920631964916,0.489190076638649,6
airfoil,outer_4,pilot,4,1203,3,6.0,,,0.4606430008604872,25.37710256835184,0.008935213088989258,32.138572866735636,0.3219771662678831,35.99123277109914,0.2528047893964077,4
airfoil,outer_4,pilot,4,1203,3,4.0,,,0.3463382587075355,30.75194701582512,0.008378267288208008,33.04203097397124,0.3029170409609452,35.60158936221731,0.2608939729709572,3
airfoil,outer_4,pilot,4,1203,3,2.0,,,-0.002791176513267916,47.469517912188564,0.005679130554199219,29.21046310762396,0.3837510752894139,31.418204747641127,0.34774303890887337,2
