dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
auction,outer_0,pilot,4,1634.0,3,1634.0,,,0.8864126746667648,12158428.37271971,0.031243085861206,10746501.363390494,0.8991432790906563,12861733.358157994,0.8848959348955079,16.0,full,1634.0,0,1.0,2.0,
auction,outer_0,pilot,4,1634.0,3,817.0,,,0.8864126748502207,12158428.35300592,0.0368578433990478,10746501.363390494,0.8991432790906563,12861733.358157994,0.8848959348955079,16.0,full,817.0,1,2.0,4.0,
auction,outer_0,pilot,4,1634.0,3,408.0,,,0.8865288699028273,12136649.557336569,0.028761863708496,10746501.38080931,0.8991432789271794,12861733.358157992,0.8848959348955079,15.0,full,408.0,2,5.0,10.0,
auction,outer_0,pilot,4,1634.0,3,204.0,,,0.8831888700341156,12495421.02054073,0.0288705825805664,10760590.859116497,0.8990110481170456,12865126.684716124,0.8848655668517775,15.0,full,204.0,3,9.0,18.0,
auction,outer_0,pilot,4,1634.0,3,102.0,,,0.8874905821976437,12033569.839560583,0.0266461372375488,11181873.565095391,0.8950572783398795,12051535.362173147,0.8921466747670679,13.0,full,102.0,4,17.0,34.0,
auction,outer_0,pilot,4,1634.0,3,64.0,,,0.8920873902598374,11531136.160739826,0.026430606842041,11182320.099547409,0.8950530875805728,12051740.967715353,0.8921448347325206,13.0,full,64.0,5,26.0,52.0,
auction,outer_0,pilot,4,1634.0,3,32.0,,,0.8871038694244859,12058177.103380516,0.0289819240570068,10386329.365862438,0.902523520287833,13029544.886131937,0.8833941319500328,12.0,full,32.0,6,52.0,104.0,
auction,outer_0,pilot,4,1634.0,3,24.0,,,0.8824202281489805,12580104.1795678,0.0225603580474853,11508159.578483537,0.8919950596441264,14842782.809893666,0.8671668435889176,11.0,full,24.0,7,69.0,138.0,
auction,outer_0,pilot,4,1634.0,3,20.0,,,0.8677549637151151,14117128.22161452,0.0256769657135009,10534292.629343174,0.9011348739679664,14013497.779873146,0.8745883998774499,13.0,full,20.0,8,82.0,164.0,
auction,outer_0,pilot,4,1634.0,3,16.0,,,0.8627454485208418,14650607.37247234,0.023977518081665,10535164.68457136,0.9011266896642762,14014092.595540494,0.874583076667942,12.0,full,16.0,9,103.0,206.0,
auction,outer_0,pilot,4,1634.0,3,14.0,,,0.8643115424421106,14475006.18411612,0.0219485759735107,11513498.309549266,0.8919449552528553,15001996.328795092,0.8657419871768912,11.0,full,14.0,10,117.0,234.0,
auction,outer_0,pilot,4,1634.0,3,12.0,,,0.8644672698271645,14459565.570555544,0.0167212486267089,14228083.04138684,0.8664683740450966,16772267.682631273,0.8498992213932783,8.0,full,12.0,11,137.0,274.0,
auction,outer_0,pilot,4,1634.0,3,10.0,,,0.5175289481263597,50841283.97081452,0.0161523818969726,14347646.69853253,0.8653462601596675,16857246.596188772,0.8491387159368013,7.0,full,10.0,12,164.0,328.0,
auction,outer_0,pilot,4,1634.0,3,8.0,,,0.4362726060371067,59914884.11326996,0.0134291648864746,14364928.008119004,0.8651840737737011,16874160.620641194,0.8489873465282204,6.0,full,8.0,13,205.0,410.0,
auction,outer_0,pilot,4,1634.0,3,6.0,,,0.3470353537199495,69519853.68006824,0.0092642307281494,59248617.59714651,0.4439472822646586,62899072.42340509,0.4370946181493021,4.0,full,6.0,14,273.0,546.0,
auction,outer_0,pilot,4,1634.0,3,4.0,,,0.3391039602168456,70370353.06958288,0.0070776939392089,69348611.57292217,0.3491580816536539,76400425.85547629,0.3162663735287458,3.0,full,4.0,15,409.0,818.0,
auction,outer_0,pilot,4,1634.0,3,2.0,,,-0.0005134861825898,106585708.58962569,0.0020668506622314,106552159.00832348,0.0,111773457.53908622,-0.000299024654615,1.0,full,2.0,16,817.0,1634.0,
auction,outer_1,pilot,4,1634.0,3,1634.0,,,0.8940330809319234,11873850.918284085,0.0307791233062744,10379525.275086807,0.9065626002902484,14364854.858755331,0.8460402314084214,16.0,full,1634.0,0,1.0,2.0,
auction,outer_1,pilot,4,1634.0,3,817.0,,,0.8940330808195892,11873850.92999574,0.0306463241577148,10379525.275086807,0.9065626002902484,14364854.858755331,0.8460402314084214,16.0,full,817.0,1,2.0,4.0,
auction,outer_1,pilot,4,1634.0,3,408.0,,,0.8924227623457429,12048898.83895834,0.0293385982513427,10358246.316907054,0.9067541553438906,14364854.858755331,0.8460402314084214,15.0,full,408.0,2,5.0,10.0,
auction,outer_1,pilot,4,1634.0,3,204.0,,,0.893955073309492,11870986.57636688,0.0292065143585205,10382163.495386876,0.9065388507989984,14304621.594099984,0.8466858000256499,15.0,full,204.0,3,9.0,18.0,
auction,outer_1,pilot,4,1634.0,3,102.0,,,0.8956263619495651,11674588.996017411,0.0289411544799804,10590464.394784603,0.9046637077764518,14036789.202267172,0.8495563764062233,15.0,full,102.0,4,17.0,34.0,
auction,outer_1,pilot,4,1634.0,3,64.0,,,0.8955003342889704,11678582.6863008,0.0271806716918945,10563153.940072276,0.904909558892527,13889406.038880495,0.8511360009796993,13.0,full,64.0,5,26.0,52.0,
auction,outer_1,pilot,4,1634.0,3,32.0,,,0.8929493758694925,12014677.45001922,0.0298159122467041,10369749.32270272,0.9066506042736916,13019582.029850934,0.8604586084450974,13.0,full,32.0,6,52.0,104.0,
auction,outer_1,pilot,4,1634.0,3,24.0,,,0.8910151195652345,12234765.970553445,0.035487413406372,10484950.145765606,0.9056135563291912,14339708.543528223,0.846309744808408,13.0,full,24.0,7,69.0,138.0,
auction,outer_1,pilot,4,1634.0,3,20.0,,,0.8746295974075945,14035828.811692722,0.0273470878601074,11546356.081731375,0.8960586867118707,15495861.343693549,0.8339183200902204,12.0,full,20.0,8,82.0,164.0,
auction,outer_1,pilot,4,1634.0,3,16.0,,,0.8702580358243862,14512903.897360468,0.0235407352447509,11808645.651632592,0.8936975329275658,15684945.440443598,0.8318917528839223,12.0,full,16.0,9,103.0,206.0,
auction,outer_1,pilot,4,1634.0,3,14.0,,,0.8702424865280679,14514673.1188128,0.0219464302062988,12856749.707465658,0.8842624080054902,16385163.46571792,0.8243869499329074,11.0,full,14.0,10,117.0,234.0,
auction,outer_1,pilot,4,1634.0,3,12.0,,,0.8689743191450244,14647949.372720756,0.0169391632080078,14235022.605325248,0.8718550741194665,16881273.401109923,0.8190697384748061,8.0,full,12.0,11,137.0,274.0,
auction,outer_1,pilot,4,1634.0,3,10.0,,,0.6290990253470921,40334412.68501794,0.014742374420166,14342337.624608276,0.8708890148743799,17014746.635645747,0.8176391978599262,7.0,full,10.0,12,164.0,328.0,
auction,outer_1,pilot,4,1634.0,3,8.0,,,0.4557950530695852,60263421.113104224,0.0137419700622558,14496449.581802707,0.8695016854770526,16936650.096723735,0.8184762216362512,5.0,full,8.0,13,205.0,410.0,
auction,outer_1,pilot,4,1634.0,3,6.0,,,0.3452479888736302,72516074.40349233,0.0090384483337402,60088126.830674574,0.4590813957586295,59923027.529439166,0.3577564449865507,4.0,full,6.0,14,273.0,546.0,
auction,outer_1,pilot,4,1634.0,3,4.0,,,0.3385023031353816,73257014.15309134,0.0069115161895751,72173176.36758389,0.3502907165931125,65348992.41340992,0.2996019905116414,3.0,full,4.0,15,409.0,818.0,
auction,outer_1,pilot,4,1634.0,3,2.0,,,-0.0022379791670869,111221148.81175846,0.001936912536621,111085339.56776582,0.0,93744711.56828544,-0.0047378996621525,1.0,full,2.0,16,817.0,1634.0,
auction,outer_2,pilot,4,1634.0,3,1634.0,,,0.8766697256193191,12996480.193617305,0.0318431854248046,11036314.40478011,0.8948014642809685,11360146.738050794,0.9035006330686312,16.0,full,1634.0,0,1.0,2.0,
auction,outer_2,pilot,4,1634.0,3,817.0,,,0.8766697255192474,12996480.203734737,0.0306184291839599,11036314.40478011,0.8948014642809685,11360146.738050794,0.9035006330686312,16.0,full,817.0,1,2.0,4.0,
auction,outer_2,pilot,4,1634.0,3,408.0,,,0.8751736902703139,13158638.33848908,0.0296781063079834,11036314.422198929,0.8948014641149318,11360146.738050794,0.9035006330686312,15.0,full,408.0,2,5.0,10.0,
auction,outer_2,pilot,4,1634.0,3,204.0,,,0.8741236523202817,13263652.523219695,0.029642105102539,11052710.992566096,0.8946451714315072,11328849.166959506,0.9037664919405668,15.0,full,204.0,3,9.0,18.0,
auction,outer_2,pilot,4,1634.0,3,102.0,,,0.8747275867571037,13195211.94943349,0.0266141891479492,11283065.307167944,0.8924494260310155,11534495.239554605,0.902019620507042,13.0,full,102.0,4,17.0,34.0,
auction,outer_2,pilot,4,1634.0,3,64.0,,,0.8747752487188354,13188459.808133336,0.0266032218933105,11322431.129478602,0.8920741896330145,13712964.676690346,0.8835144967256037,13.0,full,64.0,5,26.0,52.0,
auction,outer_2,pilot,4,1634.0,3,32.0,,,0.8790802567015,12734254.277707262,0.0264763832092285,11701976.376870189,0.8884563510321661,13319346.03748114,0.8868581110619262,13.0,full,32.0,6,52.0,104.0,
auction,outer_2,pilot,4,1634.0,3,24.0,,,0.8800184427970391,12640387.24970024,0.0266265869140625,10326705.579382412,0.901565480475796,10421520.286941942,0.911473845070696,13.0,full,24.0,7,69.0,138.0,
auction,outer_2,pilot,4,1634.0,3,20.0,,,0.8635926414201308,14474433.408210034,0.0267775058746337,10326705.579382412,0.901565480475796,10421520.286941942,0.911473845070696,13.0,full,20.0,8,82.0,164.0,
auction,outer_2,pilot,4,1634.0,3,16.0,,,0.8570107492237383,15174478.427914524,0.0247752666473388,10327562.424093047,0.9015573130019824,10422174.17907671,0.9114682905493944,12.0,full,16.0,9,103.0,206.0,
auction,outer_2,pilot,4,1634.0,3,14.0,,,0.8569607632846217,15179771.53633488,0.0224726200103759,12178181.725671764,0.8839171449568302,11629044.014758429,0.9012164709384942,10.0,full,14.0,10,117.0,234.0,
auction,outer_2,pilot,4,1634.0,3,12.0,,,0.8567241682211502,15204031.045115016,0.0166175365447998,15013755.488513662,0.8568883564651693,14080622.884360544,0.8803914046471836,8.0,full,12.0,11,137.0,274.0,
auction,outer_2,pilot,4,1634.0,3,10.0,,,0.731562993715371,28189407.603782613,0.0150995254516601,15044595.87325346,0.8565943848369023,14127867.01150252,0.8799900869119861,7.0,full,10.0,12,164.0,328.0,
